Topic,Term,Value
2,664135,0.0
1,iraqno,0.0
0,people,0.008
0,u,0.039
0,t,0.015
0,s,0.014
3,illustrate,0.0
7,bulge,0.0
8,opravdu,0.0
3,heeft,0.0
6,therell,0.0
1,475000,0.0
8,summet,0.0
3,1991_1992,0.0
1,10604870,0.0
5,ellison,0.0
5,revo,0.0
3,treno,0.0
3,regenerating,0.0
0,get,0.005
4,plague,0.0
5,exchequers,0.0
7,nwnfkne,0.0
9,overestimated,0.0
0,like,0.005
2,andrajo,0.0
6,56p,0.0
7,atall,0.0
0,don,0.005
4,puss,0.0
3,glossy,0.0
0,vote,0.004
5,hahahahhaa,0.0
1,milward,0.0
1,internally,0.0
9,350billion,0.0
3,allawite,0.0
5,turnbull,0.0
7,dimostra,0.0
2,andsaunders,0.0
8,avaricous,0.0
3,20obama,0.0
4,syop,0.0
3,tricolori,0.0
1,indepedence,0.0
2,deicision,0.0
8,accomadation,0.0
3,helbow,0.0
6,timereligion,0.0
2,veer,0.0
7,pirates,0.0
5,nigeria,0.0
0,will,0.01
8,pirinoli,0.0
0,uk,0.005
1,model,0.0
5,corrupted,0.0
2,islamicthey,0.0
6,21years,0.0
0,us,0.004
8,qqbhkpsrbhm,0.0
2,100m,0.0
3,provider,0.0
1,meteen,0.0
3,understanding,0.0
0,00bd,0.007
0,ed,0.019
3,evilvilelyingignorantb,0.0
6,directionless,0.0
4,impatient,0.0
7,fingerprints,0.0
2,syrer,0.0
2,europhilic,0.0
8,swann,0.0
6,imieniu,0.0
8,ooos,0.0
3,pembrokeshire,0.0
2,dsl,0.0
4,auctions,0.0
5,extracomunitaria,0.0
4,freefall,0.0
2,canzukaus,0.0
2,tolerable,0.0
8,appreciate,0.0
5,24months,0.0
4,thunderfoot,0.0
4,appartements,0.0
9,signpost,0.0
1,iiiwe,0.0
3,posseses,0.0
4,logical,0.0
8,ukranian,0.0
9,wedlock,0.0
6,panama,0.0
9,newspaper,0.0
6,9c,0.0
6,sch_nen,0.0
5,considering,0.0
0,00b8,0.005
7,discernable,0.0
1,endorsements,0.0
0,think,0.004
1,facce,0.0
7,678612,0.0
1,lugg,0.0
7,fullfill,0.0
0,can,0.006
4,nth,0.0
3,231,0.0
8,6962667,0.0
1,blackmans,0.0
5,dearborn,0.0
9,dismember,0.0
1,dishonourable,0.0
9,lend,0.0
2,peuple,0.0
1,deplorable,0.0
6,heartwrenching,0.0
4,quinsey,0.0
6,royaly,0.0
7,simionescu,0.0
2,sumtin,0.0
8,fueling,0.0
1,touble,0.0
5,xavier,0.0
4,davidwatkinson,0.0
6,unready,0.0
6,philby,0.0
6,malexit,0.0
9,ruleswhich,0.0
0,just,0.006
8,triumphalism,0.0
2,wellmingly,0.0
3,henrique,0.0
7,reins,0.0
4,penetrated,0.0
9,lai,0.0
4,begotten,0.0
1,dishonesty,0.0
0,eu,0.011
1,imbalance,0.0
6,bethell,0.0
1,clotted,0.0
7,unsound,0.0
6,rnli,0.0
9,diffeent,0.0
7,bush,0.0
2,075,0.0
9,brexteers,0.0
6,idc,0.0
2,tremendously,0.0
8,elementary,0.0
8,gambe,0.0
9,mobilize,0.0
7,bains,0.0
9,summet,0.0
6,1206238306082747,0.0
8,mugave,0.0
5,tension,0.0
9,proponents,0.0
9,bostock,0.0
4,displayed,0.0
4,farmhouse,0.0
8,backhand,0.0
9,quoise,0.0
1,telephoning,0.0
3,toonot,0.0
7,monopolising,0.0
6,independentbritain,0.0
8,benton,0.0
2,enlarging,0.0
7,franks,0.0
8,mayes,0.0
5,thisspeaks,0.0
0,00a0,0.009
4,dore,0.0
7,brickie,0.0
5,rentrer,0.0
4,electioneering,0.0
3,a7395811,0.0
6,doney,0.0
9,allplus,0.0
8,laidler,0.0
4,todaymuch,0.0
0,one,0.004
4,familyfriendscountry,0.0
7,dianna,0.0
5,unief,0.0
2,thirst,0.0
9,meritano,0.0
7,xxxxxxxxxxxxxxxxxxxxxxxxx,0.0
3,greedily,0.0
5,wangers,0.0
9,retiree,0.0
5,8288,0.0
9,sir,0.0
2,piety,0.0
7,fruitloops,0.0
5,taxpaying,0.0
5,gigant,0.0
