Topic,Term,Value
12,immigration,0.002
16,xvi,0.001
11,transmission,0.002
1,day,0.002
13,stretch,0.002
10,victori,0.002
9,airway,0.002
7,asio,0.002
12,score,0.002
0,terrorism,0.002
5,game,0.002
12,volleyball,0.002
5,crompton,0.002
11,hundred,0.002
10,commissioner,0.002
12,lockett,0.002
9,event,0.001
6,report,0.002
15,person,0.003
5,permission,0.001
7,ryan,0.002
5,veteran,0.002
17,total,0.002
17,attack,0.001
2,saeed,0.003
1,sharon,0.002
8,transformation,0.002
3,compensation,0.002
10,end,0.002
16,market,0.002
14,lakhdar,0.001
6,review,0.002
3,alan,0.002
16,content,0.001
17,page,0.002
18,friedli,0.002
15,country,0.002
13,hectare,0.002
17,group,0.001
6,school,0.002
1,kon,0.002
16,collapse,0.001
0,call,0.002
3,company,0.005
8,century,0.002
15,australia,0.003
2,gabriel,0.002
18,drug,0.002
13,wave,0.001
17,crompton,0.001
17,gaming,0.002
13,adam,0.002
11,ash,0.003
7,megawati,0.002
7,require,0.002
7,indonesia,0.002
15,fox,0.002
16,dressing,0.002
10,macgill,0.002
5,buchanan,0.002
13,brutality,0.002
18,murder,0.002
12,blizzard,0.002
0,security,0.002
4,road,0.003
8,prospect,0.001
11,tamworth,0.002
3,dispatch,0.002
3,uncertainty,0.002
0,person,0.002
3,hideout,0.002
8,commonwealth,0.002
6,israeli_force,0.002
8,afghanistan,0.004
14,consideration,0.002
3,apache,0.001
17,alliance,0.002
1,australia,0.002
1,match,0.002
18,rafter,0.004
5,establishment,0.002
2,bonn,0.002
7,summit,0.002
14,wednesday,0.002
10,stringer,0.002
18,double,0.002
11,devotee,0.002
9,bombshell,0.002
1,france,0.002
12,river,0.002
8,goshen,0.002
14,voyage,0.002
14,calculation,0.002
10,ill,0.002
7,merger,0.002
13,set,0.002
11,river,0.002
6,hectare,0.002
15,village,0.002
14,rachael,0.001
18,ask,0.002
11,sequel,0.002
4,night,0.003
3,vehicle,0.001
16,remember,0.002
10,vandalism,0.002
4,kandahar,0.002
11,harrison,0.002
13,traveller,0.001
1,brink,0.002
4,bombing,0.002
15,friedli,0.004
2,guide,0.002
13,meal,0.001
12,jury,0.002
12,ghulam,0.002
1,amateur,0.002
13,review,0.001
17,employee,0.002
8,calypso,0.002
7,price,0.002
18,tennis,0.001
7,ceremony,0.002
12,aca,0.002
10,crisis,0.002
7,pain,0.002
2,mujaheddin,0.002
5,bedeharris,0.002
16,material,0.002
5,quake,0.002
17,brendan,0.002
1,guarantee,0.002
18,pursuit,0.002
12,attitude,0.002
3,pain,0.001
13,agriculture,0.002
10,land,0.002
4,airport,0.004
3,kofi,0.002
6,commitment,0.002
4,operation,0.002
3,morning,0.002
6,company,0.003
15,visa,0.002
0,morning,0.002
2,faction,0.002
15,pilkem,0.002
7,wal,0.002
13,cable,0.003
14,reputation,0.002
4,reference,0.002
5,nail,0.002
1,stringer,0.002
