Term,Value
suicidal,0.002
hordes,0.002
doubts,0.005
crisisgrexit,0.001
skynews,0.006
holyrood,0.002
chaos,0.001
asian,0.002
hanging,0.005
john_holtke,0.013
oldest,0.002
saved,0.005
forget,0.002
votes,0.004
poorest,0.005
inlike,0.002
voted,0.004
whatsoever,0.005
bethrigby,0.005
sorry,0.004
765106024957214720,0.006
regrets,0.004
sinking,0.003
void,0.002
rise,0.001
jacob,0.003
bringing,0.004
school,0.001
supports,0.029
solution,0.005
296,0.002
shows,0.001
heading,0.005
kevinpbreslin,0.001
enjoy,0.004
makinghistory,0.002
leaders,0.001
warns,0.002
withorpe,0.005
271,0.001
second,0.002
street,0.006
chris_meloni,0.005
bbcqt,0.006
even,0.005
brexit,0.027
erexit,0.001
326577,0.003
incompatible,0.002
1vnxyl0,0.001
reasoning,0.001
nyt,0.002
new,0.004
net,0.001
ever,0.001
mogg,0.005
told,0.005
centric,0.004
meb,0.005
never,0.015
reported,0.002
whatthehellareyoutalkingabout,0.001
path,0.002
olsson,0.013
vikings,0.002
k,0.005
changed,0.001
military,0.001
heatherwheeler,0.003
punishment,0.007
shithappens,0.012
golden,0.001
divide,0.004
campaign,0.002
brought,0.004
pdsutherlandun,0.001
opportunities,0.002
nolahoubear,0.002
total,0.005
forums,0.002
spoke,0.001
theordinaryman2,0.002
army,0.002
voters,0.006
chooses,0.001
1930s,0.002
call,0.002
telegraph,0.003
spike,0.005
rationalism,0.005
tell,0.005
dumped,0.005
supporters,0.002
successful,0.001
brings,0.004
wars,0.001
adrianople,0.002
warn,0.002
teaching,0.002
must,0.004
word,0.001
room,0.003
rights,0.004
plunged,0.001
ere,0.002
era,0.002
transparency,0.001
example,0.001
give,0.005
550,0.001
dragons,0.001
want,0.012
christianvoice,0.003
david,0.003
oppressing,0.001
end,0.007
thing,0.004
egyptian,0.002
machine,0.004
s030544031300023x,0.001
stupidity,0.007
neveragain,0.003
interview,0.001
turk,0.002
ancestor,0.002
michelledewbs,0.001
funny,0.001
mess,0.006
assimilated,0.002
earlier,0.002
wrong,0.011
sturdywendy,0.001
lay,0.002
president,0.005
types,0.004
thesun,0.005
attempt,0.002
third,0.001
revolt,0.004
descends,0.002
1lv7wv,0.002
greek,0.002
berlusconi,0.004
sucessor,0.001
bodgit_bendit,0.031
archaeology,0.002
grassrootsout,0.004
wine,0.002
danhannanmep,0.002
tricked,0.001
whizzing,0.002
london,0.006
keyboard,0.005
andrea,0.005
belonged,0.002
nyti,0.001
globalpulsemag,0.002
notoeu,0.004
writing,0.002
destroyed,0.001
wales,0.004
weeks,0.005
overcome,0.002
eventually,0.003
lambert,0.003
safe,0.002
jenit,0.002
break,0.001
heaven,0.001
sixteen,0.004
bank,0.005
germanic,0.002
swancom74,0.001
hadrains,0.001
victory,0.001
mantheaume,0.005
went,0.002
side,0.002
luck,0.005
suzanneevans1,0.005
financial,0.002
skydata,0.001
davidcameron,0.004
milan,0.002
tom_watson,0.005
maniacs,0.021
sounds,0.002
richardlander,0.002
rt,0.001
reminding,0.001
goo,0.001
god,0.001
revolting,0.003
re,0.004
daniel,0.001
got,0.007
foxbusiness,0.004
gov,0.004
independence,0.003
abbott,0.001
turning,0.004
veto,0.002
rustyrockets,0.002
little,0.021
free,0.005
boosting,0.002
wanted,0.006
r4,0.001
refugee,0.005
days,0.003
ati,0.006
garlic,0.002
onto,0.004
voteleave,0.004
duplicitous,0.004
already,0.011
nigel,0.005
leaveeuofficial,0.002
clear,0.002
matteorenzi,0.004
nhs,0.001
wasn,0.004
ditch,0.002
ten,0.002
service,0.002
top,0.012
historian,0.002
bitcoin,0.004
tot,0.002
hist100b1,0.001
needed,0.002
confirming,0.001
ton,0.005
thoughts,0.004
hollywood,0.002
john,0.002
bitter,0.001
grexit,0.004
calexit,0.004
owensmith_mp,0.001
collapse,0.002
geemo88,0.002
villages,0.024
took,0.005
tabloids,0.004
western,0.002
symptom,0.001
spoiler,0.001
bloated,0.002
immigrants,0.001
scenes,0.003
nations,0.002
project,0.026
matter,0.021
brexit0rremain,0.004
2ekpbqq,0.001
iron,0.01
thewerelizard,0.001
boudica,0.002
feeling,0.001
bridge,0.005
palace,0.001
modern,0.007
mind,0.004
nicolasturgeon,0.006
migrantcrisis,0.003
raw,0.004
lbc,0.001
seen,0.002
telegraphnews,0.005
tells,0.002
forced,0.002
responsible,0.002
1960,0.005
isolated,0.005
merichio,0.002
fitting,0.001
rome,0.001
tintagel,0.002
decadence,0.001
hun,0.001
empireand,0.001
blue,0.001
cymbeline,0.001
pdpgb,0.002
fencing,0.004
regular,0.002
germany,0.003
revival,0.003
don,0.005
classicist,0.001
calculated,0.001
m,0.005
treaty,0.001
leaflet,0.002
diabetesuk,0.001
28j0gwc,0.002
definitely,0.002
tech,0.005
kinglouisxvi,0.005
dos,0.002
voting,0.001
came,0.001
saying,0.001
breitbartnews,0.004
inspire,0.004
pope,0.001
rapture,0.001
queen,0.007
radio,0.002
dopey,0.002
tempted,0.002
thirds,0.006
enjoyed,0.002
lessons,0.009
aje4bn,0.001
busy,0.005
countrywhere,0.003
delays,0.001
rich,0.003
pursuing,0.001
folks,0.004
danielalpert,0.007
allardyce,0.006
5yx9gz,0.002
bahrain,0.005
ujgzgp,0.001
10,0.001
de,0.005
stop,0.004
altogether,0.031
rodneymarsh10,0.001
15,0.004
dr,0.002
jonesier,0.003
dpca6kuqqn,0.001
earn,0.005
lurches,0.001
a7168761,0.002
countries,0.005
anxiously,0.002
twice,0.002
the_globe,0.002
410,0.001
emp,0.001
ruins,0.002
secretary,0.005
1fmwlbk,0.002
decides,0.001
disaster,0.005
fascinating,0.001
sturgeon,0.003
depends,0.004
horrendous,0.004
fail,0.002
ttj2tu,0.001
best,0.002
02,0.001
said,0.002
06,0.006
07,0.002
04,0.004
05,0.001
lots,0.005
08,0.006
09,0.004
wikipedia,0.004
stamps,0.028
unable,0.001
olympics,0.002
hopefully,0.001
tolerance,0.006
discipline,0.001
lazy,0.004
men,0.02
terms,0.001
parallels,0.001
omd,0.004
tehnocrati,0.004
jk_rowling,0.001
ignorance,0.005
ws,0.001
wtf,0.004
news,0.001
debt,0.002
overestimated,0.004
climate,0.004
numpty,0.016
cox,0.004
uncertainty,0.001
pitt,0.001
demanded,0.015
bbcradio4,0.002
colloquium,0.004
faces,0.004
com,0.015
healthuever,0.007
presumably,0.005
libdempress,0.004
archaeology_uos,0.002
irresponsible,0.001
2nd,0.002
marmite,0.001
globalists,0.001
100,0.005
hitler,0.002
utm_campaign,0.005
union,0.003
takecontrol,0.002
michaelpdeacon,0.002
much,0.004
destabilises,0.002
expected,0.001
topics,0.001
plateau,0.002
life,0.004
families,0.004
beloved,0.007
eastern,0.002
glomarresponder,0.001
lift,0.002
hoist,0.005
child,0.004
worked,0.002
save,0.001
746024042361196544,0.002
presidency,0.004
heartland,0.003
n,0.004
aim,0.002
near,0.001
ain,0.002
suppose,0.001
teachers,0.002
thebhf,0.002
leaves,0.001
mistake,0.002
played,0.002
ditching,0.004
expat,0.001
defeated,0.006
experts,0.004
il,0.006
march,0.001
britscanbedumbtoo,0.001
ie,0.004
id,0.011
steve_sedgwick,0.001
grown,0.002
things,0.005
make,0.005
linked,0.002
complex,0.004
upon,0.005
split,0.002
colonies,0.004
european,0.005
independent,0.004
welsh,0.002
hand,0.001
fridays,0.003
portal,0.005
recent_news_id,0.001
213990,0.005
arab,0.002
kept,0.001
scenario,0.004
homerhickam,0.002
1600,0.001
failing,0.002
brexitenemies,0.001
academia,0.004
mother,0.005
claims,0.004
paradigm,0.002
hotch,0.001
rio2016,0.001
left,0.005
unified,0.001
just,0.011
philmconstruct,0.002
ideas,0.004
thanks,0.005
human,0.005
facts,0.004
yes,0.005
yet,0.005
adding,0.002
ibpmdu,0.001
hal,0.002
tronc,0.005
candidate,0.006
brexitvote,0.006
collsped,0.001
belongs,0.005
5k,0.004
east,0.007
humanity,0.005
theeconomist,0.005
gave,0.013
gove,0.001
breaks,0.001
bbcquestiontime,0.002
possible,0.004
syrianrefugees,0.003
cultural,0.005
govt,0.002
apart,0.002
desire,0.001
50,0.001
steps,0.014
overrated,0.007
night,0.005
ntfem,0.006
uniofyork,0.004
www,0.014
right,0.004
old,0.006
plantagenet,0.005
people,0.005
understand,0.001
successfully,0.001
begin,0.001
dead,0.005
usher,0.001
election,0.004
escape,0.001
1461057270,0.001
darkages,0.002
rhine,0.001
fascistic,0.002
fox,0.006
stoptheeu,0.002
everything,0.002
cnn,0.001
uglyhonest,0.001
christmas,0.004
2etw8rf,0.002
core,0.002
pls,0.005
ww2,0.002
post,0.011
byzantium,0.002
jester,0.005
sadiq,0.005
_brexit_,0.026
poss,0.001
luat,0.005
