Topic,Term,Value
6,residency,0.032
14,membership,0.036
24,world,0.015
19,side,0.04
29,range,0.035
1,school,0.041
4,click,0.057
27,influence,0.043
7,brexiteer,0.002
10,power,0.032
2,article,0.096
17,thank,0.002
2,solution,0.024
0,group,0.017
27,mohammedanism,0.043
19,devolution,0.04
9,golf,0.027
11,brexiteer,0.014
7,number,0.057
18,blair,0.035
2,nature,0.024
19,utm_medium,0.04
23,sign,0.002
9,course,0.027
21,property,0.064
3,britannique,0.017
16,good,0.035
5,person,0.046
1,https,0.041
10,sensualism,0.032
0,page,0.034
27,hydrophobia,0.043
29,tariff,0.07
21,brexit,0.002
14,economic,0.022
20,parliament,0.043
19,utm_source,0.04
29,facebook_com,0.035
0,member,0.017
23,property,0.002
17,brexiteer,0.002
2,abus,0.024
23,contradiction,0.002
4,facebook_com,0.002
28,import,0.031
11,brexit,0.016
25,channel,0.033
12,london,0.029
3,pr_vision,0.022
21,article,0.002
21,brexiteer,0.002
23,petition,0.002
1,dutch,0.041
5,churchill,0.046
23,brexiteer,0.002
3,reflection,0.013
15,deal,0.033
0,share,0.034
4,sign,0.057
12,march,0.058
12,think,0.029
16,drink,0.035
1,surveymonkey,0.041
9,community,0.027
2,abuse,0.024
26,world,0.025
7,petition,0.002
26,ancient,0.025
20,petition,0.084
3,decision,0.025
1,anybody,0.041
22,prophet,0.034
8,link,0.041
3,conomie,0.016
11,sow,0.027
11,petition,0.027
16,export,0.035
6,person,0.032
4,link,0.057
24,brexit,0.029
17,brexit,0.002
16,motor,0.035
5,croissance,0.002
10,refinement,0.032
24,britain,0.029
9,city,0.027
10,grace,0.032
18,dispatch,0.035
6,today,0.016
29,britain,0.035
28,trade,0.061
18,group,0.035
0,theresa,0.034
23,thank,0.002
15,travel,0.033
1,fill,0.041
22,effect,0.034
5,inability,0.046
1,com,0.041
10,extinction,0.032
6,england,0.016
29,brexiteer,0.035
6,justice,0.016
16,fuel,0.035
7,thank,0.002
6,attack,0.016
15,troopsnaval,0.033
23,independence,0.002
11,tax,0.023
27,apathy,0.043
8,bowl,0.041
15,cheque,0.033
7,article,0.002
20,brexit,0.001
13,plupart,0.009
1,brexit,0.041
22,method,0.034
18,remedy,0.035
24,part,0.043
25,lobby,0.033
10,life,0.032
6,country,0.032
19,recruiter,0.04
13,gouvernement,0.013
4,petition,0.057
3,gouvernement,0.016
18,court,0.035
9,right,0.027
19,touch,0.04
11,sector,0.037
21,dit,0.002
0,article,0.017
5,tory,0.046
8,brexiteer,0.001
13,conomie,0.014
13,security,0.019
12,brexiteer,0.058
11,article,0.027
26,europe,0.025
4,brexit,0.002
15,euro,0.065
8,brexit,0.041
13,brexit,0.038
24,country,0.029
14,deal,0.022
25,blair,0.033
28,consumer,0.031
10,wifeor,0.032
26,force,0.025
21,thank,0.064
13,croissance,0.014
7,employment,0.057
17,facebook_com,0.057
22,insecurity,0.034
18,article,0.07
10,mohammedan,0.032
13,britannique,0.011
17,article,0.002
8,penny,0.041
20,right,0.043
14,cebr,0.022
20,worker,0.043
19,copylink,0.04
27,development,0.043
14,importer,0.022
1,project,0.041
22,country,0.034
2,precedent,0.024
28,euif,0.031
4,thank,0.002
25,group,0.033
4,article,0.002
5,time,0.046
18,agreement,0.035
24,article,0.015
12,attempt,0.029
15,natos,0.033
9,sport,0.027
25,quote,0.033
15,nation,0.065
17,https_www,0.057
2,court,0.048
20,end,0.043
15,article,0.033
8,petition,0.081
15,support,0.033
24,web,0.029
8,march,0.041
5,winston,0.046
28,tariff,0.031
24,opinion,0.015
20,brexiteer,0.001
26,brexit,0.025
9,petition,0.053
27,man,0.043
28,effect,0.031
21,sign,0.002
16,trading,0.035
24,briefing,0.029
17,petition,0.002
6,petition,0.016
3,croissance,0.024
5,hate,0.046
28,part,0.031
16,partner,0.035
16,service,0.035
21,farage,0.002
9,amenity,0.027
0,facebook,0.034
16,vehicle,0.035
20,sponsor,0.043
16,import,0.035
0,blog,0.017
25,dispatch,0.033
7,brexit,0.002
2,brexit,0.024
28,addition,0.031
0,facebook_com,0.034
9,number,0.027
10,man,0.063
3,contradiction,0.013
26,civilization,0.049
22,brexit,0.034
22,property,0.034
22,follower,0.034
7,business,0.057
27,religion,0.043
21,time,0.002
27,moslem,0.043
11,government,0.014
12,someone,0.029
3,tre,0.016
5,pr_vision,0.002
25,right,0.033
8,click,0.041
26,rome,0.025
27,votary,0.043
28,mean,0.031
2,right,0.048
7,person,0.057
14,centre,0.022
18,right,0.035
14,research,0.022
8,contradiction,0.041
23,brexit,0.002
19,change,0.04
12,derision,0.029
4,dit,0.002
26,step,0.025
19,share_petition,0.04
6,investor,0.032
10,faith,0.032
29,upr,0.035
5,issue,0.046
26,warrior,0.025
17,http,0.002
19,power,0.04
29,rule,0.035
7,independence,0.002
29,trading,0.035
17,luximo,0.057
20,estate,0.084
20,market,0.043
12,crap,0.029
13,tre,0.01
14,trade,0.041
6,time,0.016
23,http,0.002
1,lot,0.041
2,remedy,0.072
13,ally,0.009
26,faith,0.025
8,sign,0.081
12,remainer,0.029
28,pound,0.031
13,pr_vision,0.018
3,brexit,0.025
25,name,0.033
12,day,0.029
18,lobby,0.035
0,brexit,0.017
25,part,0.033
25,meeting,0.033
17,facebook,0.057
15,trade,0.033
22,rule,0.034
11,security,0.019
11,trading,0.027
22,parliament,0.034
14,analysis,0.022
24,majority,0.029
4,brexiteer,0.002
14,brexit,0.04
18,legislation,0.035
27,curse,0.043
29,outcome,0.035
9,flight,0.053
29,fref,0.035
23,time,0.002
21,petition,0.002
