Term,Value
uncontrolled,0.0
major,0.0
appeals,0.0
ve,0.018
century,0.012
radical,0.0
loveofmoney,0.0
leaveeuofficial,0.0
ages,0.002
back,0.017
migrant,0.001
connections,0.008
middle,0.002
awakening,0.008
ann_leckie,0.0
anti,0.001
looks,0.012
duck,0.009
go,0.018
28sd7wu,0.001
stopfascists,0.001
empire,0.0
24g4uu9,0.011
politico,0.001
jesus,0.0
project,0.008
brexit,0.065
end,0.01
built,0.012
bible,0.0
union,0.017
eu,0.001
roman,0.021
notoeu,0.001
actually,0.001
2,0.011
compromise,0.011
editorial,0.011
fancyacademic,0.011
new,0.0
2016,0.001
topics,0.021
define,0.008
http,0.001
uk,0.001
welcome,0.001
return,0.0
downtown,0.008
fund,0.011
revived,0.0
merry,0.001
fall,0.0
comeback,0.001
post,0.018
america,0.001
quo,0.011
davidjo52951945,0.008
stone,0.009
prehistoric,0.008
ironage,0.008
like,0.001
years,0.006
trump,0.001
joke,0.008
age,0.156
britain,0.038
will,0.012
matter,0.008
s,0.017
fearmongering,0.0
t,0.001
iron,0.133
country,0.001
archaeologist,0.012
ly,0.011
avoid,0.011
ianjarmaine,0.0
