Topic,Term,Value
9,commons,0.176
10,civilization,-0.172
11,flight,-0.169
4,majority,0.153
2,import,-0.166
16,silk,-0.255
26,web,0.272
8,nation,-0.06
16,sow,-0.51
26,surveymonkey,-0.181
6,trade,-0.162
11,london,-0.254
15,part,0.22
14,slogan,0.14
1,lobby,0.107
3,tax,-0.301
11,brexiteer,-0.193
18,blair,0.233
2,trading,-0.283
13,page,-0.17
14,remainer,0.14
17,share,-0.162
21,tariff,-0.229
1,judge,0.183
13,facebook,-0.259
28,theresa,-0.255
5,membership,-0.172
9,briefing,0.328
29,tariff,-0.23
0,d_jou,0.122
5,briefing,-0.281
19,tariff,0.195
9,event,0.176
23,person,0.158
1,article,0.61
14,someone,0.14
5,britain,-0.148
28,tradition,-0.198
0,avec,0.122
0,britannique,0.233
10,investor,0.193
22,britain,0.283
26,com,-0.235
4,residency,0.242
15,person,0.201
22,majority,-0.165
24,analysis,0.165
21,regime,-0.177
5,brexit,-0.187
29,product,-0.163
8,parliament,-0.23
20,decision,-0.271
12,flight,-0.408
20,racist,-0.222
12,safeness,-0.204
12,golf,-0.204
15,civilization,-0.146
9,judgement,0.176
7,dignity,0.21
14,civilization,-0.253
7,islam,0.21
5,deal,-0.149
10,residency,0.193
0,pr_vision,0.335
6,trading,-0.192
21,mean,-0.177
7,man,0.449
21,page,-0.211
13,facebook_com,-0.332
8,link,-0.222
26,https,-0.181
7,power,0.227
8,person,-0.11
22,brexiteer,0.172
0,pronostic,0.122
4,travel,0.156
20,contradiction,-0.242
29,majority,-0.173
7,slavery,0.21
23,good,0.154
14,march,0.297
12,course,-0.223
5,trade,-0.226
25,drink,-0.215
10,tariff,-0.153
28,britishand,-0.198
13,membership,0.162
15,time,0.132
12,right,-0.218
6,euro,-0.278
18,group,0.24
8,sponsor,-0.206
25,motor,-0.215
16,photo,-0.288
17,page,-0.235
12,community,-0.204
3,london,-0.169
19,page,-0.243
21,euif,-0.177
11,arm,-0.184
3,guarantor,-0.151
17,facebook_com,-0.189
13,investor,0.119
19,share,-0.176
18,quote,0.145
27,member,0.201
3,deal,-0.178
19,facebook_com,0.347
22,archive,0.148
19,civilization,0.165
5,trading,0.174
17,warrior,0.141
25,web,0.174
23,motor,0.152
28,person,-0.27
15,march,-0.229
2,sector,-0.303
6,commitment,-0.139
20,thing,-0.222
5,right,0.172
20,dogma,-0.222
12,condition,-0.204
4,country,0.447
2,security,-0.154
27,blog,0.21
29,standardsand,-0.163
23,partner,0.152
4,tax,0.135
1,court,0.285
1,abus,0.183
1,group,0.112
29,inputsof,-0.163
18,name,0.145
23,food,0.152
3,country,0.265
9,theirsand,0.176
22,trade,-0.207
5,nation,-0.204
3,bil,-0.151
4,brexit,-0.197
23,majority,-0.232
6,brexit,0.278
9,house,0.176
24,business,0.188
11,england,-0.159
11,march,-0.287
2,britain,-0.135
16,tea,-0.255
26,majority,0.301
18,lobby,0.233
16,vogue,-0.255
25,import,-0.187
2,brexiteer,-0.184
28,shame,-0.198
10,membership,-0.161
26,project,-0.181
27,site,0.21
27,holiday,0.21
7,faith,0.245
19,order,-0.122
25,partner,-0.215
16,shoot,-0.255
10,trade,-0.187
24,research,0.165
3,europe,-0.155
19,protest,-0.122
4,member,0.212
29,https_www,0.165
9,policy,0.176
7,refinement,0.21
25,business,0.174
20,mind,-0.222
6,cheque,-0.139
18,list,0.145
14,arm,-0.187
29,saywhatsoeverin,-0.163
21,pricesin,-0.177
27,history,0.21
2,tax,-0.154
24,article,0.27
20,hand,-0.222
6,troopsnaval,-0.139
26,fill,-0.181
3,security,-0.301
17,https_www,-0.154
27,day,0.187
22,web,0.346
16,bloke,-0.255
3,brexit,0.237
4,trading,-0.193
15,england,0.191
17,brexit,0.161
9,impact,0.176
21,pound,-0.177
20,issue,-0.254
6,nation,-0.278
15,brexiteer,-0.185
24,importer,0.165
18,channel,0.233
13,part,-0.144
18,decision,0.156
18,meeting,0.233
1,dispatch,0.107
17,science,0.141
22,business,-0.149
15,page,-0.18
23,theresa,-0.171
8,petition,-0.825
11,father,-0.151
6,natos,-0.139
13,rule,0.158
21,consumer,-0.177
15,brexit,0.13
25,service,-0.215
22,lunatic,0.148
28,island,-0.198
12,number,-0.217
2,brexit,-0.417
14,brexiteer,0.181
28,generation,-0.198
2,export,-0.14
0,union,0.115
29,brexiteer,-0.261
14,part,0.223
18,dispatch,0.233
11,person,-0.239
25,food,-0.215
22,http,0.229
10,brexit,0.239
17,person,-0.151
13,https_www,-0.235
23,article,-0.202
14,day,0.159
24,cebr,0.165
8,click,-0.222
3,part,0.175
0,conomie,0.233
9,brexit,-0.27
10,facebook_com,0.163
6,travel,-0.16
28,honor,-0.198
5,euro,-0.204
24,right,-0.204
16,idea,-0.255
0,tre,0.223
0,gouvernement,0.223
4,part,0.21
7,mohammedan,0.21
8,euro,-0.06
1,agreement,0.193
23,vehicle,0.152
21,membership,0.197
29,web,0.198
0,croissance,0.335
25,vehicle,-0.215
19,https_www,0.295
16,vicar,-0.255
24,centre,0.165
25,fuel,-0.215
13,britain,0.209
11,time,-0.161
28,change,-0.303
1,right,0.341
13,group,-0.168
27,hope,0.21
16,proof,-0.255
20,party,-0.222
11,attack,-0.151
12,residente,-0.204
7,fact,0.21
29,http,0.205
27,https_www,-0.359
8,confirm,-0.072
24,change,0.199
24,theresa,0.254
8,sign,-0.258
27,lesson,0.21
23,right,0.173
7,wifeor,0.21
15,world,-0.195
28,recruiter,-0.175
9,key,0.176
4,investor,0.242
22,tariff,0.264
26,school,-0.181
27,facebook_com,-0.149
17,facebook,-0.218
10,part,-0.268
14,tariff,0.15
17,civilization,0.283
1,remedy,0.362
20,line,-0.222
26,dutch,-0.181
2,addition,-0.139
12,sport,-0.204
21,majority,-0.182
19,globalist,-0.122
10,world,-0.286
26,anybody,-0.181
19,post,-0.131
