Topic,Term,Value
0,force,0.156
6,world,0.177
3,union,-0.132
7,race,0.223
8,city,-0.113
5,man,-0.128
3,force,0.222
6,child,0.196
5,person,-0.146
6,test,-0.162
9,company,0.31
2,fire,0.204
2,sharon,0.174
4,qanta,-0.17
9,government,-0.222
1,area,-0.269
0,area,0.155
1,today,-0.126
0,attack,0.174
1,wind,-0.163
5,pakistan,0.584
8,government,0.466
6,person,0.174
1,wale,-0.18
7,centre,-0.113
5,afghanistan,-0.153
8,australia,0.314
1,line,-0.136
5,australia,0.12
2,yasser_arafat,0.128
1,attack,0.137
9,labor,-0.149
9,fire,0.176
7,report,-0.143
8,india,0.102
4,commission,-0.129
3,company,-0.15
4,company,-0.327
9,power,-0.141
1,sydney,-0.274
8,storm,0.097
1,firefighter,-0.219
9,australia,0.238
2,australia,-0.332
1,fire,-0.524
3,australia,-0.3
8,mountain,-0.096
4,worker,-0.19
4,australia,0.193
9,person,-0.178
7,force,0.111
5,musharraf,0.138
9,palestinian,0.162
6,woman,0.153
3,tora_bora,0.114
1,israel,0.139
2,palestinian,0.242
0,security,0.147
7,water,0.108
3,area,0.146
0,person,0.241
6,water,0.153
4,wicket,0.136
2,company,-0.122
6,metre,0.403
2,israel,0.32
5,fire,0.125
5,tension,0.171
0,australia,0.202
9,storm,-0.121
4,test,0.197
3,afghan,0.154
2,attack,0.177
8,day,-0.17
3,afghanistan,0.353
7,metre,0.32
0,afghanistan,0.193
8,company,-0.143
6,race,0.205
6,day,-0.193
6,event,0.277
7,person,-0.426
0,man,0.154
5,president,0.193
5,india,0.361
0,day,0.182
3,test,-0.152
0,government,0.201
8,centre,-0.101
7,event,0.234
4,day,0.189
3,pakistan,0.236
4,pakistan,-0.15
9,man,0.293
4,union,-0.331
7,union,0.176
7,child,-0.136
2,office,0.119
2,afghanistan,-0.205
8,test,-0.151
