Number,Tweet
31119,*medieval  deixa eu ser Barbarian
31118,"*We have been fighting evil and barbarian types since the beginning.  Remember Tripoli way back when, they weren't French, German or other EU https://twitter.com/AERO_SKIPPER/status/835816222864392192 …"""
31342,*[EU] Barbarian Empire - VANILLA - Max Clan 10 :) CC: @darkmuminek @just_shav
31112,"*Greek BLASTS Syrian Refugees Who Are Causing Havoc! """"Respect Greece, This Is Not Middle East!"""" https://goo.gl/XZxTTg  via @WayneDupreeShow"""
31111,*I wonder how long it will take before there will be civil war in several EU countries because of stupid politicians&barbarian islam immigrat 
31110,*=> I guess @NicolaSturgeon wants a bunch of the EU's barbarian refugees to riot and rape in Scotland. Stupid woman!
31117,*Eu gosto de Warrior/Barbarian/Paladino/Cruzado XD Jogava de Archer pq o grupo precisava
31116,*just barbarian
31115,"*but US and EU recognized your barbarian friends from PKK as terrorists, don't they?"""
31114,*Obviously not a very bright barbarian. How many gun owners here?  Won't be like EU. Stupid pratt.
31614,*Adicionei um vídeo a uma lista de reprodução do @YouTube http://youtu.be/ftKha2I5L2s?a  Dave The Barbarian- Intro (EU Portuguese)
31615,*#itunes #ibooks The Barbarian's Captive - Maddie Taylor: The Barbarian's Captive Maddie… 
31616,"*Eu vou até entrar no Trove de novo, ver como que tá, e arrumar meu Candy Barbarian que eu estraguei sem querer. 0w0"""
20,*ROME: Total War - Barbarian Invasion on the App Store 
31611,*eu sou Barb (Barbarian no Diablo e no D&D)
31612,"*And they are there to force EU to take in all the barbarian Arab Muslims, and supporting Idiot Merkel! "
31613,*100s more US tanks arrive in Europe to keep ‘peace & freedom’ at Russian borders (VIDEO) #Trump2016 #2A #MAGA https://www.rt.com/news/373016-us-tanks-hardware-europe/#.WHPElyjJb1Y.twitter …
31597,*Eu só gostei quando fiz o Guts e joguei de barbarian long sword (inclusive tem o set do Berserk Golden Age no jogo)
31596,*Barbarian invasion crushes EU and incurs nationalism rise throughout West
31595,"*coś tam [EU] Barbarian cośtam vanilla max clan 10. Niech Ci @pankubaka wieczorem też poda nazwę, bo zapisał."""
3,"*Yeah,collect revenue&take on the brutal barbarian conglomerate the US,UK,EU,NATO,France&UN behaving like aRabid dog with their god biz&bible"""
31113,*CRIMINAL #radical #islamist #erdogan of #turkey #genocide and #barbarian NOT persuading as .@EU wakes up to #islam 
4,"*I agree with you the EU is a bad example. Islam is less civilized but not barbarian at all, we Chinese are."""
8,*Ate eu suado e de Zorba fico bonito ao som de Emmigrant song!!!
31340,"*@TheCa  Not only the US but their cruel barbarian entire empire the UK, EU, NATO&UN does pervert justice according to their whims"""
31341,"*Our government is weak in the UK and the EU""""They prefer profit and a barbarian religion more then the safety of its people."""
31102,*E para ditar o ritmo da noite eu vou de Basil Poledouris - Conan The Barbarian
36713,"*Until theUS,UK,EU,NATO&UN brutal barbarian backed all the terrorist finished,destroyed,legitimate govt of Assad should carry on"""
37329,"*Brutal cruel barbarian empire theUS,UK,EU,NATO&UN will send terrorist to the moon first,then start a war saying theMoon is killing"""
34765,*(1) Italians HAVE ALWAYS PROTECTED THEIR PEOPLE & JOBS but the EU tyranny has forced Italy to accept the Merkel barbarian ....
31104,*The obscene coalition: #Trump #Putin #LePen #ISIS to destroy the #Europe http://www.socialnews.it/editoriali/the-obscene-coalition-trump-putin-le-pen/ … by @SocialNews_it
31105,*We are done paying for the defense of EU while they give away their countries to the islamic barbarian invaders!  End it now!
31106,*Weve given eu citizens enough warning of what turks will get upto in near future. That time has come.. 
31107,*-Turkey & ISIS Share a Worldview 
31101,*#news #world Opinion: A barbarian cannot change Britain: The terror attack that left three… 
7,"*You're the onlySavior of theWorld from brutal barbarian empire theUS,UK,EU,France,NATO&UN as now they're running likeRabidDogs&killing spree"""
31103,"*Is the EU the new Rome being destroyed by barbarian (illiterate, unskilled) invaders? """
31108,"*excellent idea. In EU we are not barbarian, and should not accept women submission and respect her as equal to men"""
31109,*It is not an issue of racism
34349,*That's for sure. You're Barbarian. EU doesn't want you!
34348,*@PhiloFrancais @France2tv Islamic barbarian prehistoric primates must be kicked out EU back to the shariah desert they belong 
34345,*Do not forget that the most resistance in most EU countries is against MOSLIM immigration and their barbarian and middle aged culture 
34344,"*And they want freepass with EU, no barbarian horde https://youtu.be/zAKQmzBKw54  via @YouTube"""
34347,*how has the govt protected US and EU from the barbarian invasion from the 3rd world? Pro tip: you can't
34346,*I added a video to a @YouTube playlist http://youtu.be/S4K4okVa7dU?a  Must See! Crazy European Immigration Crisis
34341,*When the Middle East had courts and laws and trials and society and books in Europe we were barbarian. But UN and EU wand to take over Syria
34340,*Eu tive que deixar a Captain e o Barbarian no PC! :(
34343,"*qual sua classe favorita no d&d???? — Barbarian porque eu gosto de IR PRA CIMA (sério, nã... """
34342,"*These are the terrorist that brutal cruel barbarian empire the US, UK, EU, NATO&UN trying their level best to save in Syria"""
31610,*german at war pigs barbarian whitout any respect for ancient culture especially in greece !!!!!
36721,*..Indeed..Most of EU is in a state of islamist barbarian terrorist shock..Wake up time..
36720,"*Se precisar de um supp que não trolla, chama eu lá """"Barbarian Pig"""". Confia."""
36723,"*[EU] You are Hrun the Barbarian, high in the Caderack Mountains fighting Gnolls on the cliffside when an undefinab… """
36722,"*France's Marine Le Pen: EU's Muslim Invasion is Comparable to """"Barbarian Invasion of Rome” http://goo.gl/Z4mhn """
36725,*How in 2016 #China can still be so primitive & barbarian sometimes still surprises me. #animals #travel #asia #usa #un #wwf #peta #eu #news
31599,"*Yes, we hope that Germany and the EU nations can rid themselves of the new barbarian scourge."""
36727,*Do not give in to this two faced barbarian. If the EU gives in to his request then we need to get out of the EU as quick as possible!! 
36726,"*Back pain? Ancient Chinese snake wine makes you strong! #ChinaKitchen's special recipe: http://xhne.ws/A2t0O  Dare to try, Prof @_Snape_? """
36729,"*Your own president, EU and USA are supporting the barbarian Turkish horde. Deal with it. Stop complaining. """
36728,*Turkey threaten to flood the EU with refugees if they don't get visa free travel soon http://www.politico.eu/article/turkey-threatens-eu-refugee-deal-over-visa-lag/ …
31598,*toda vez tu me pergunta isso kjkjjjj 
34338,*The real taboo on BBC-WHYS is to discuss that Boris Johnson is a barbarian that destroys the EU.
34339,"*(Se bem que o Barbarian está com os dias contados quando eu encontrar EL DRAGON por aí, mas enfim)"""
37331,"*Sim sim, eu as removi depois de ser atacado por um bandido com uma barbarian armor e uma katana de ferro."""
37330,"*@isv5 Queres os episódios do Barbarian Rising? Diz que eu mando-te. Já mandei para um amigo meu, via WeTransfer."""
37333,"*pas encore eu le temps, j'avoue"""
34337,*aliás eu vou fazer minha barbarian claro
34771,"*Reporting has to unbiased with telling the world what brutal barbarian empire the US,UK,EU,NATO&UN did with Iraq,Libya&Syria"""
34352,*American sock puppet & Pentagon pocket nazi Erdogan   wants to be a hero but the EU still think he's a Barbarian
34350,*what about addressing the most important issue: the continuing barbarian invasion of europe?
34351,"*Greece (EU): Mad Barbarian """"Refugees"""" Act Like Football Hooligans! http://ln.is/www.youtube.com/51eV7 … via @YouTube #ForeignShit #auspol"""
34759,*#Putin is stealth-invading the EU empire of liberal democracy. Rome Falls to Trump’s Barbarian Horde http://thebea.st/2gTlKv1  @thedailybeast
34774,"*Barbarian tribe from """"The Gladiator"""" Este vou ser eu quando chegar a Barcelos!  """
34757,"*Eu <3 Emerson, Lake & Palmer / The Barbarian http://www.deezer.com/track/129309426  @DeezerBrasil"""
34775,"*On à eu la chance de l'avoir à ses débuts au FCG , sacré joueur!"""
36732,*desta vez eu acho q vou de barbarian pra eu ter espada no inicio e não morrer pra zumbi
36733,"*eu to bem triste que """"the babbling barbarian she adores"""" foi concluída, uma das melhores fanfics que eu já li"""
36730,*Kurds take to streets of Europe after late night arrest of Turkish opposition party leaders (VIDEO) http://on.rt.com/7tvx 
36731,"*sairam algumas fotos minhas de barbarian, vou postar algumas e outras vou esperar eu refazer o sca pra shoot"""
36734,"*Erdoğan as thieves, pedophiles and a sadistic psychopath coup and a barbarian AKP government may not have the accession of Turkey to the EU!"""
0,"*Hey! EU Hollanda You are the wild, barbarian, hypocrite.."
36735,"*RT @V_of_Europe """"EU’s Muslim invasion is comparable to Barbarian invasion of Rome:"""""""
2,"*If there is a true reason-being of EU, it's time to show intruders that Europe is united facing barbarian invasion"""
37328,"*This brutal cruel barbarian empire the US,UK,EU,NATO&UN&their allies should face the music&should not allow carry on"""
6,"*I assumed that was what was meant. Financially, #GB will be better off given the chaos in #EU from the barbarian #MuslimInvasion."""
37326,*Today
37327,"*It's drama playing by barbarian empire theUS,UK,EU,NATO,UN&their allies with their prostituting media for regime change biz"""
37324,*Selling DN EU Account: Details13 characters
37325,*When barbarian nations slaughter helpless deprived children then only one name comes to mind Saudis assisted by US/UK/EU n supported by UN 
37322,"*Yes! That's what those scumbags of EU govs want! That's what they call """"democracy"""" for Syria. EU govs are BARBARIAN NAZI SCUMBAGS! """
37323,*that's what Europe wants? 
37320,"*These brutal cruel barbarian empire the US,UK,EU,NATO&UN while breed terrorist they fight with them to in various war theaters"""
37321,*Les #Wallabies joueront à #Bordeaux le 24/11 contre le @Barbarian_RC ! Une rencontre au sommet qui n'a pas eu lieu depuis 11 ans  #Rugby
31333,*@PhotonicDog I see now why every country in the EU is crumbling. It's full of safespace pussies that let barbarian invaders take their land!
31332,*This is happening in French and Italian churches too. Google it. Migrants setting fires & desecrating ancient artwork
31331,"*EU grow a pair,defend churches repelling these barbarian invaders!Just Do It! """
31330,*not a barbarian then. Good. Enjoy staying in the Soviet Union.. I mean the EU 
31337,*That is where  hun came from  the Germans hate it because Atillas was  barbarian. The Germans are the EU bully boys.
31336,"*Yes,Western countries supports these barbarian pedophilia terorist group ypg/pkk and also ignoring european values. Shame on EU"""
31335,*#BREAKING
31334,"*With the support of the USA, UK, EU. Stick to Minsk my foot! What a barbarian is Poroshenko. """
31339,*Ghadafi predicted the demise of the EU before his death. Liking it to the invasion of the barbarian hordes that destroyed Ancient Rome.
31338,*Adicionei um vídeo a uma playlist @YouTube http://youtu.be/ftKha2I5L2s?aDave … The Barbarian- Intro (EU Portuguese)
34769,*..EU's a miserable failure especially with islamist barbarian invasions..Time to protect Europeans and ancient traditions..
34768,*Erdogan wanna open migrant gates just to get EU membership? Looks like a barbarian conquest. Uncivil idiot.
36724,*barbarian eh o casal que eu respeito
11,"*No, no he became the darling of the fakeMedia&his brutal barbarian allies,the UK,EU,NATO,France&UN, also lethalTerrorist all over the world"""
10,"*We can see the planet earth falling with new development as a brutal barbarian conglomerate, theUS,UK,EU,NATO,Frnace&UN supporting terrorism"""
13,*Eu não comia pq os pacote de bolacha se mexiam sozinhos na prateleira hahaha de tanto bicho hahaha
12,*Eu tô assim. Fui atrás de todas as memórias e do ser barbarian hoje. Ganon que é bom nada
15,*Qdo o Trump invadir issae e transformar em Parque vc vai poder falar EU CONHEÇO ISSO AQUI QDO ERA TUDO MATO hahahahaha
14,*Eu nao tenho outra palavra pra descrever essa apresentação que nao seja perfeicao
17,"*e não precisa ser grosseiro, se a mina insistir, você dá aquele sorriso maneirão e fala """"hoje é minha e na próxima você paga então"""""""
16,"*Falei q pagaria, a guria esboçou um """"a mas eu pag.."""" ja mandei na lata JA Q INSISTE HAHAHA """
19,"*Toda vez que ouço a trilha sonora de Conan The Barbarian, eu fico só de cueca e faço a pose clássica em cima do sofá!"""
18,*Gibraltar's First Minister backs Sun campaign to keep Spain and EU off Our Rock https://www.thesun.co.uk/news/3247956/gibraltars-first-minister-backs-sun-campaign-to-keep-spain-and-eu-off-our-rock-as-theresa-may-stokes-fears-over-territorys-future/ …war over the Rock?
37319,*..You're right..EU rape pillage and plunder by islamist barbarian savage terrorists is coming to the US.
37318,"*No decent civilized nations should have any agreement with brutal barbarian states like theUS,UK,EU,NATO&UN who promoteTerrorism"""
37313,*@HumzaYousaf  EU’s Muslim invasion comparable to Barbarian invasion of Rome
37312,"*Russia has given earful to brutal cruel barbarian outfit US,UK,EU,NATO&UN very well saying they're lying through theirTeeth"""
37317,"*Whatever the discussions Russia&Puting shouldn't give an inch toBrutal barbarian theUS,UK,EU,NATO&UN to raiseTheir uglyHead"""
37316,*American blood spilled liberating Europe in WWII WASTED by EVIL PC #EU allowing barbarian migrants to rape/pillage/kill #EuropeHasFallen
37315,"*Durkheim grande Barbarian, o Karl Marx deve ser Witch Doctor e o Weber eu num sei"""
37314,*EU’s Muslim invasion is comparable to Barbarian invasion of Rome: 
34770,*até lá eu vou usar torag mesmo q nao tenha str bonus eu nao sou obrigado a suportar barbarian assault
34767,*Essa música fast food conan the barbarian faz eu dar uma viajada 
34772,*Fall of Leftist Europe seems inevitable as barbarian invasion continues & Turkey threatens. Will Trump b USA saviour? #EU #auspol #brexit
34773,*Trump voters true patriots stopped establishments march towards WWIII.
31328,"*@ After doing so many heinous crimes&crimes against humanity by theBrutal barbarian gang the US,UK,EU,NATO&UN why againstRussia?"""
31329,*with that and Horizon Zero Dawn we have two games canonically set in the Thundar the Barbarian EU.
34776,*#sport William Finnegan wins William Hill Sports Book of the Year for Barbarian Days - The… 
34766,*hoje eu to só minha barbarian 
31324,"*I'm really glad that such barbarian unpolite Britons like you quitt Europe (EU). U don't need to answer, I don't communicate with your kind """
31325,*He went to jail. Where he died. Go away you uneducated buffoon.
31326,"*eu peguei Peltasta C1 e to Barbarian C3, só uso as de Barbarian pq o resto da tipo 100 de dano e tem coisa que só usa com escudo"""
31327,*preciso pegar Barbarian C3 pq comparado ao pessoal das DG eu pareço uma taça batendo na pedra
31320,*I wouldn't mind the new rome of the EU/multiculti caliphate being burned by the Trumpian barbarian hordes.
