Number,Tweet
790741,"*Get real,  look at animal cruelty in eu barbaric eu does not protect our animals live exports - #Brexit"""
22668,*Barbaric and uncouth. Violence destroys dignity n #zim.
22665,*You've lived a very sheltered life There is no EU country that thinks US especially Trumpsters are anything but barbaric.
22664,*These barbaric cruel things are happening now in #Turkey a #Nato member that would like to become #EU state #Kurds #Erdogan https://twitter.com/Milieis/status/792592193575870465 …
22667,"*INFO:Almost %90 of all these barbaric Jihadists savages, terrorists came frm EU (especially Sweden, Belgium Holland etc)They'll go back home"""
11549,*The EU is to blame they set rules for educated people not barbaric medieval religious Muslim . 
22661,*You should also keep in mind that most Muslims living in EU want these barbaric sharia laws in Europe.
22660,*barbaric erdogan attacks kurds and other minorities.EU only watch
22663,*Why the hell EU opened it's gates for these barbaric Muslims? WHY????
22662,*Historically Rome and Greece were deemed non barbaric as they were highly educated... Then Greece joined the EU and the union pissed on them
790745,"*U make it sound like the UK was an uncivilised, barbaric, poor place b4 the EU!"""
790744,*Mongols Considered #Europe Barbaric BackWater Conquering #China was Their Goal http://read.bi/25pZoIf  #history #npr #nyt #lonelyplanet #eu
0,*The New Europe! You'll love it! Thanks EU for making us feel the cultural enrichment of YOUR 'barbaric invitees' #Westminster #LondonAttack
790747,*SOS DOG HOLOCAUST/CHINA #YULIN CALL FOR UN EU + WORLD HEALTH ORG TO PROTEST AGAINST BARBARIC MASS MURDER.   
790746,"*wow, that's barbaric. This is why we should leave the EU"""
2910,*INFO:The foreign Jihadi terrorists (EU) were the most barbaric beheading machines.But now they lost all battles against the Kurds and iraqis
2911,*Barbaric festival and it takes place in the EU. Imagine if UK restarted Bear Baiting or Fox Hunting? There'd be 000s on the streets 
2912,*It's not just the bulls that are victims - shocking image shows horse dying in bull-ring #banbullfighting 
2913,*This barbaric abuse of women met with silence by appeasers Trudeau in Canada and EU Parliament! 
2914,*ISIS unleashes lady jihadi BITING BRIGADE armed with 'metal jaws' to tear women to death http://bit.ly/2kOxeEN  
2915,*Where in God's name are the politicians speaking out about this evil barbaric society and islamic culture? #Islam #Ukip #Leave.eu 
2916,*Woman Beheaded In Broad Daylight in ‘Moderate’ Muslim Nation While Police Watch – Israel Video Network http://www.israelvideonetwork.com/woman-beheaded-in-broad-daylight-in-moderate-muslim-nation-while-police-watch/ …
2917,*Unbelievable  #Turkey is being considered for membership to the #EU. This bill is a barbaric manifestation of hatred for woman and children 
2918,*Thousands rally against Turkey's new child sex conviction bill - http://9news.com.au   https://goo.gl/aisxsK 
2919,*Unbelievably barbaric. This is what the EU is getting and the US if not stopped.
739875,*why does the fucking  eu allow this shit its fucking barbaric
742315,"*""""non-traditional gender roles"""" does this mean when west meets barbaric Islamic cultures? Sorry don't speak EU, need translator"""
684934,"*UK wasn't some kind of barbaric, lawless wasteland before being 'civilized' by the EU"""
684935,*they get funded by the EU for this barbaric so called sport
684936,"*medieval barbaric 'sport' #When will the EU ban these """"cultural traditions"""" from European Constitution? https://youtu.be/S78zHoJQxME  via @YouTube"""
