Number,Tweet
2184,"*""""@Foro_TV: Medalla de Oro para Boudia de #EU en Clavados, Plataforma 10 metros. Plata para Qiu Bo de #China... «Qiu bo??? Jajajajaja"""
133,*Eu to é torcendo pro boudia #SaltosOrnamentais
132,*Así van tras 5/6 clavados:
131,*David Boudia (EU) falla!!! Germán podría meterse hasta el segundo. Viene el mexicano...
130,*#Dios perdóname por ser feliz porque el de #Mexico bajó a #Boudia #EU en #Clavados #GermanSanchez
137,*eu não acredito que a Boudica morreu
136,"*The niggers will kill the yanks, and the Islamist will con't to flood Eu b'cuz Trump Wars on Iran Syria."""
135,*david boudia em décimo primeiro eu não aceito isso
134,"*Ils sont 12 Boudia a eu chaud aux fesses. Je vois une seule photo, Vidéo ce que vous voulez de Tom qui pleure, je donne pas cher de ma peau"""
139,"*Los chinos Aisen Chen y Yue Lin se quedan con el oro; Boudia y Johnson (EU) fueron plata y los británicos Daley y Goodfellow, bronce"""
138,"*Esse evento é tão maravilhoso que eu almoço um dia com nastia liukin, e no outro com steele johnson, michael hixon e david boudia"""
24,"*Por exemplo, queria ver esse filme da Boudica mas ele parece ser muito low budget pro meu gosto... eu queria um filme ou série todo celtico"""
20,*EU PRECISO SER BOUDICA QUANDO CRESCER
21,"*bouanoite ou boudia aí eu já não sei, escolham o que vocês preferirem mesmo"""
22,"*yeah, bring back Boudica. She'd sort out everything: paedos, EU and USA!"""
23,*Eu só queria conseguir a Boudica ;-;
289,"*@Margit11 consider illustrious Vertingeterix Arminius Boudica, they all led heroic resistance to Rome, the EU of their day, also Jews Masada"""
288,"*To quote Karl Marx, I think the EU will fall apart under the weight of its own contradictions -no need for Boudica  """
4,"*Nigel Farage says that the European Union is behaving """"rather like an extortion racket"""" """
281,*They do not answer to Rome. #BarbariansRising 
8,*Já me acostumei tanto com a Boudica dormindo comigo que fico incomodado quando ela não ta quarto e eu quero dormir.
283,"*Boudica was pro EU, so stop spreading false history and scare mongering about the EU!!"""
282,*Se eu tivesse uma filha ia chamar de Boudica mas a mãe ia protestar
285,*QUEEN'S SPEECH: Fury as Her Royal Highness DOESN'T order the UK to leave the EU like proud Winston Churchill or Boudica world. OUT OUT OUT
284,*Vote remain for the #sexist EU with 7 men in 7 top jobs.
287,*Will Brexit counter with Boudica & Carausius?             PM draws on history to bolster EU remain campaign 
286,*I for one won’t rest until we know how Boudica would have voted in the EU referendum
1317,*hj eu to 80% sexy 60% legal e 100% confiavel. #BOUDIA #MEAMO
869,*@Lindsay_boudia je suis de retour c'était pourri et il y a bien eu des baston et des indiens qui danse 
1315,*@jaadouuuuu MDRRRRR BOUDICA JVAIS PO COMPRIS NON PLUS EIN EIN tas pas eu a coller des images dans l'ordre?
1314,*@DjMichL je ne suis sur aucune liste et la campagne dans ma ville est terminer depuis une semaine. Il n'y a pas eu de second tour.
1313,*@Lindsay_boudia j'ai eu la même réaction pauvre bb kangoo 
1312,*@Lindsay_boudia Ils ont pas eu peur ahaha ??
1311,*Ce matin a eu lieu la commémoration du 8 mai 1945 à Gonesse. 
868,"*Alias, se eu sei que a mulher desconhece  BOUDICA ela perde 70% de conceito meu."""
1319,*Eu vou ser legal. Boudica foi rainha dos guerreiros celtas que liderou os icenos contra uma das tentativas de domínio romano na Grã-Bretanha
1318,*ainda bem que aqui no fundo do poço eu nao ouço os boudia de voces
125,*until people wake up & understand W EU is occupied and say no. expel Marxists & their imports 
126,"*Os vídeos no Instagram do David Boudia com a filhinha dele, eu morro"""
127,"*nem sei pra que eu ainda clico no stories do david boudia, só pra tomar tiro"""
128,*David Boudia e Adam Peaty se despedindo do Brasil no Insta eu não consigo
129,*El campeón olímpico David Boudia (EU) falló el último clavado y se va hasta bronce. Porque falló? Mentalidad? nervios? No son enchiladas
861,*Se o livro Boudica - Águia 1 eu achei maravilhoso putaqpariu o 2 é mil vezes melhor %%%%
298,*Boudica hätte Leave.EU und nicht Vote Leave unterstützt. 
299,*Political debate in the UK is currently over what a dead woman would think about a current event.  https://twitter.com/thetimes/status/696499435728150528 …
296,*Boudia il m'a interrogé j'ai eu 7/20 vazi j'aurais mis ma main à couper que sa aller être moi ajd 
297,*@rafael_bezerra Sim tinha uns nomes que até eu desconhecia na lista. Gostei bem da Boudica
294,*@barbaraescreve geralmente eu volto qnd eu n tenho nd de novo pra ler e to sem grana pra comprar mais. Boudica eu li assim.
295,"*Agora que eu percebi que o Rafael parece o David Boudia, tá tudo explicado agoraaaa """
292,"*@_themoonstone doi tudo aqui. Eu to ansiosa e mto triste ao mesmo tempo, acho q alem do Sascha, o Boudia tbm para"""
293,*eu nunca vou deixar de ser salty pelo design da boudica em fate grande order
291,"*@JonnyoftheBingo @hooglemeister @RachelTory I can see Boudica knows not the slightest thing about EU, socialism or capitalism"""
591,*Fiquei um ano sem usar tt pq no presidio eu não tinha moral pra usar o celular. -    Soh pq eool naaum escreviia assim maninnho $ boudia
590,*@RogTallbloke @Mines_a_pint @BBCLeeds Boudica day w/d become anti EU day like anti Roman repression of Britons. Establishment w/nt like that
593,"*Tem um Regulus em Boudica, eu to %%%%caralho%%"""
592,"*Fui procurar """"Boudica"""", e nenhum brasileiro fala sobre cara"
1326,"*Perai, eu li direito? nesse Ryse a Boudica aparece montada em um elefante?! WTF"""
594,*Quando eu terminar de ler a fic do sequestrador eu releio harry potter e termino boudica
1324,*@Lindsay_boudia elle tue ta bannière tu la eu ou (vantardise +50000000)
1325,*@Beamer_K @Lindsay_boudia @GBanicci obliger y'a pas eu que ça msrrrrr
1328,"*Vou começar agorinha o livro 2 da trilogia de Boudica, pois é, isso não é hora, eu sei. Mas foda-se."""
1329,*@Lindsay_boudia jai eu peur
2871,*David Boudia clavadista de EU.
2877,"*Plata para Germán Sánchez e Iván García, con 451.23 unidades en la Serie Mundial de Tijuana. Gana EU con David Boudia y Nick McCrory."""
2876,"*Germán es cuarto en la plataforma. Oro para Tom Daley (GB), plata para David Boudia (EU) y bronce para Sascha Klein (Ale)"""
3474,"*Livros da Boudica muito bons, Metroid Trilogy eh a coisa mais foda do mundo e eu quero show do Amorphis. E Scion eh divertido bagarai."""
3475,*É ruim num sabê das coisa... a @larissafadaverd dissi qui quê sê Boudica i eu tava pensanu im dá uma bouadica pra ela...
3476,"*Vc conhece Boudica, a rainha celta guerreira? Não é lenda não, é História! É por essas que eu adoro o History Channel. http://bit.ly/djFpfg"""
3477,"*O negoço tá tão difícil aqui, que eu tou assistindo um documentário sobre Boudica! #PrecisoComprarUmControleNovo"""
1717,*encontrei (mais um) um livro sobre a história da rainha Boudica. eu não precisava disto...
1716,*J'ai à peine eu le temps d'aller chercher des gateaux ^^ (@Lindsay_boudia live on http://twitcam.livestream.com/fetro )
1715,"*Da primeira vez que eu li Boudica, abandonei ele no começo por ter achado meio chato e cansativo. Mas agora que peguei de novo +"""
2874,"*Eu-quero-comprar-o-livro-""""Boudica"""""""
1719,*@kampanita79 Boudia EU y Klein GER saludos!
1718,"*@editorasaraiva Sempre fico! Eu quero o livro 3 da série """"Boudica"""", da Manda Scott. Please!"""
3,*Tell the EU to stick their proposal where the Sun don't shine! Give them sweet FA! 
2176,*PTN @lindsay_boudia a eu un 20 pour la premiere fois depuis la rentré elle a meme pas tricher
2177,*@Lindsay_boudia J'ai eu des doutes au débuts lol
7,*The difference between Marine Le Pen and Angela Merkel during a rally: 
2175,*@Lindsay_boudia ui je suis zahaf et le concert ta eu les billets pour combien en faite
2178,*ptin j'ai eu un ptin trou de memoire en pleine choré sachant que j'etais devan (@Lindsay_boudia live on http://twitcam.livestream.com/d0jvf )
2179,*@Lindsay_boudia.  Toi tu l'à eu où??? ;$
586,"*Não quero terminar, sei que depois vou ficar com um vásio enorme no coração /: eu amo mt Boudica, tipo muito mesmo"""
587,"*Eu preciso terminar de ler Boudica - Cão, já estou mais de um mês para terminar mas não quero ler o final"""
584,"*@AzumaGuilherme @MCCoelhoF Eu quero upar ela e a Boudica, mas sem cards de xp"""
585,"*@limpamax Tudo bem Amor!Eu já sei pelas meninas que Boudica é gulosa!KKKKDepois eu faço um especialmente pra ela,com muito carinho!!!Beijos!"""
582,*>Quero upar assassin e Zerker
583,"*@AzumaGuilherme Eu queria a Medusa ou Yoshitsune, unica Rider que veio foi a Boudica umas 3 vezes"""
580,*Desde q eu peguei Boudica de first roll
581,"*Toda vez que eu vejo a Boudica, eu penso que o cara tava com preguiça de desenhar. Até o Shota Iskandar é mais  cute que ela."""
300,"*@ProfArno @EU_ScienceHub How about Florium after Florence Nightingale, Boudicum after Boudica or Astorium, after the first female MP."""
301,*@PublicFR Pour j'ai heusement que  cetais pas la noir j'ai eu peur
302,"*@ClarkeMicah Do I see a statue of Ms May in a future London, just like Boudica's, a fitting tribute to her revolt against EU tyranny? :)"""
1330,*@Lindsay_boudia ta pas déjà eu tes 20 ans
588,"*@CaioCorraini da carência desse publico eu não discordo. Todas desconhecem """"Belatriz Potter """" mary sheley, Boudica, e mais uma porrada ai"""
589,"*@The_Earl_GH Remember that 1600s civil war we had, Boudica issue re Romans is like modern EU. We dont burn, but when it happens, a lot burns"""
2521,*Iván García es sexto tras 4 ronda. EU sigue siendo oro con David Boudia
2520,*EU le robo la pltaforma de 10m a china david boudia
3467,*OWWNNN!!! EU QUERO MUIIITOO!! #BOUDICA RT @EditoraBertrand: Os dois sorteados receberão os dois primeiros livros da trilogia Boudica.
3466,*@rafichaaa Menina é fogo viu ?! Eu recebi da parceria e amei claro. Mas tô babando nos da série Boudica que tbém estão caros Afffff
3465,"*Eu nao me separo de voce mulher, nem se o David Boudia um dia me quiser ♪ @bellegiannasi"""
3464,"*minha familia vai pro aniversário da minha prima lá em tão tão distante, e eu naõ vou pq sou olho grande de fut e tenho 2..ahh,boudia hehehe"""
3463,*@brunabritti Eu resenheo Boudica. O priemeiro e o segundo livro.
3462,*oi boudia eu  sou sua fã
