Number,Tweet
0,"*British tolerance and appeasement did not work with Caesar, Napoleon, Kaiser, Hitler, EU. Why should it work with Islamists?"""
347,"*tem um video rodando no grupos de jojo do cara morrendo de chorar naquela cena do caesar, claramente eu"""
3999,*eu com roy woods e daniel caesar tempos atras 
3997,*como eu não tinha descoberto o Daniel Caesar antes??????
3996,*eu vou ser obrigada a tocar batecabelo pras bicha sabado n queria ser a caesar son
3995,*Daniel Caesar foi a melhor coisa que eu descobri esse ano
3994,*A essa hora eu ouvindo Daniel Caesar
348,*@giuliana_thais eu te odeio tanto por ter me apresentado Daniel Caesar
349,"*Eu sei que tá mt tarde, mas queria assim mesmo recomendar a Salada Caesar do @griletto. É maravilhosa!"""
3991,"*tem muita gente que odeia o caesar, mas eu particularmente acho ele um puta personagem, e creio que o oda vai trabalhar muito ele ainda."""
3990,*se eu nao comer salada caesar ainda essa semana eu morro
37140,*Eu quero é cadeia neles! Está cheio de delações aí é nada de Lula preso @CeliaNacarato @Caesar_Viaosnus
2318,"*Eu Caesar, eu..."
2319,*Os meninos vestidos com uniforme militar . 
29457,*Mantener a su país comunista y aliarse con la URSS en puertas del capitalismo estando cerca de EU es tener bolas. #FidelCastro
2317,"*eu gosto bastante, adoro personagem igual ele, mayuri, caesar clown"
29455,*Aquela salada caesar eu qse vomitei
29454,*https://youtu.be/FG2PgVl0Nlc  daniel caesar still the best. e eu tou tão doente a ouvir isto.
29453,"*Mas como eu tô: me segurando pra não ligar pra Pega Leve e pedir uma saladinha com macarrão integral, proteína bovina e molho caesar"""
29452,*eu n consigo parar d ouvir  #NowPlaying Get You (feat. Kali Uchis) de Daniel Caesar ♫ 
29451,*salada caesar é gostoso... eu amo massa tbm https://twitter.com/grantlunars/status/803422859423059968 …
29450,"*eu: só gosto de diálogos complexos, bem elaborados e estruturados"
3386,"*o joseph chamou o caesar de """"shiza-chan"""" eu to tremendo"""
3387,"*menino eu tinha virado a noite, tava só os Caesar's na mente.. inclusive melhor bebida.."""
3384,"*sim, eu vou aprender essas duas musicas do daniel caesar, pq mano"""
3385,*é oficial; quando eu morrer quero que toquem get you do daniel caesar
3382,"*almocei salada caesar, como eu amo"""
3383,*Quando deu a parte triste aqui eu quase chorei lembrando da morte do Caesar
5412,*ali eu deixei quieto mas depois foi só exterminio. Inclusive quando vão me entregar o perdão do Caesar
5413,"*olha, enquanto ninguém for a favor do Caesar eu tô ok"""
5418,"*eu queria torrent de Nocturnal Animals e Hail, Caesar! ):"""
5419,*eu queria comer uma salada caesar 
3388,*eu amo tanto o Caesar se ele morrer nesse próximo filme eu nao respondo por mim 
3389,*Se contratarem um carro com mensagem de aniversário por favor mandem tocar Bloody Stream nele pois eu ainda quero que um Caesar
37139,*qual personagem você shippa com cada jojo? — jonathan e eu e erina
35197,*eu curto bastante CAESAR
35196,*eu gosto tanto do daniel caesar eu só queria dar um abração ele
35195,*bon apres j'ai eu mon Señooor et Caesar-sama donc :\ le fist passe encore
35194,*ok agora eu vi que badbadnotgood fez música com daniel caesar..............
35193,*#news #world #europa 'Het voelt als kiezen tussen Caesar en Hitler' - Volkskrant… 
35192,*@Caesar_Viaosnus  eu vejo essa cara do Trump e começo a rir sem parar GO Trump
35191,*Irish passport means she can live anywhere in the EU
35190,*o meu pecado seja a omissao. Falo sobre o mal do aborto em tudo que eu puder.
9254,*estou indo ler o volume da morte do caesar se eu voltar chorando ja sabem
9255,*imagina eu e vc
