Number,Tweet
26948,*I'm done going back to medieval times to try & justify the EU joke show. Unfortunately it's not 1702 sunshine.
26949,*@sandra_miria eu só quero justiça. Humilhação é medieval. O ódio é um péssimo fazer.
20001,*Pres. Jokowi: Is this the medieval future of Indonesia? Lashing women for having extramarital sex.
868828,"*tem umas coisas que eu acho medieval demais, uma delas é caça"""
868829,*You're missing my point. EU are so full of their own self importance. Like Medieval Lords bickering.
868826,*o pensamento dele é tão medieval que eu peguei até peste negra
26941,*EU used to call it FoMoLabour = neeeded a job to move. Then it slipped into FoM free-for-all......enter medieval scum to wreck Euro culture 
26942,"*EU migrants ‘could be BANNED from Britain unless they have a job', Home Secretary hints http://shr.gs/EIJapoX """
20000,"*mas ia dar treta igual nos desenhos, de tanto eu me arrepender e voltar no tempo eu iria parar na era medieval"""
26944,*eu amo d+ os nomes dos carinha d história medieval
26945,*Eu tenho aulas amanhã e estou no Tuareg que mais parece uma barraca da feira medieval
26946,"*E vocês perguntam: Opá oh rui, mas ah e tal, tu ainda tens a pulseira da viagem medieval do ano passado no pulso..e eu: ya desculpem."""
26947,*Hoje à tarde eu vou fazer aquele agradável programa medieval que é tirar radiografia dos dentes
15,*What is your justification for the EU siding with Spains undemocratic and medieval claim over Gibraltar?
4784,"*Ed sheeran canta rap,canta depressão,canta musiquinha medieval,canta baladinha,e eu só consigo sofrer #dividealbum"""
4783,*Eu sei! O medieval!
4782,"*Eu ando a brincar com Medieval, quem vai rir no fim é a Majo"""
4781,*Nancy Mulligan tem toque de musica medieval
4780,*.@CNN This kind of people are running Poland. An abyss of medieval culture and politics.
8866,*por isso é que na medieval não sabias quem eu era e eu vivia na santa cona do assobio
8867,"*eu amo a taverna medieval. lanche gostoso, hidromel, mesa em formato de barco viking, os funcionários fantasiados.. tipo eu amo aquele lugar"""
859253,*@PaulWilko657 @pmclauth Vulnerable children raped by depraved by Khan and chums:
8865,"*Chego no quarto da minha irmã ela tá ouvindo I believe I can fly e fazendo  uma fantasia medieval, o mais louco é que eu não achei estranho"""
859255,*to em duvida em: ou eu começo ler o livro novo que ganhei ou vou estudar medieval
859254,"*Ouvindo @scicastpodcast ep. Japão Medieval 2, surge o termo Sengoku e eu daqui: Vai @marceloguaxinim, faz a piada!!! Demorou, mais ele fez."""
859257,"*por exemplo o último que eu tive (antes de ontem), resumidamente, foi a queda de um império na época medieval e eu era uma das rebeldes kkkk"""
859256,"*No livro que eu tô lendo a história é numa Europa medieval, mas os detalhes deixam implícito que se passa depois da nossa época"""
859259,*este banho que eu tomei agora se assemelha muito a uma tortura medieval
766991,*antes de sair animais fantasticos todo mundo ODIAVA harry potter 
871828,*we have a long way to go.. These countries also are part of the EU while it seems like they are medieval in some way.
871829,"*Nasci na época errada, imagina se eu tivesse nascido na era medieval: eu já estaria morto a essa hora"""
8868,*@JimGamble_INEQE @LilyCaprani but UK's age of legal responsibility for crime is well below 18 & is lowest in EU #medieval
8869,*Là on regarde un film médiéval avec encore l'Eglise on a eu droit à la meilleure punchline
865902,"*a famosa fase da adolescencia que eu só lia livro de espadinha vwoosh vwoosh medieval, fonda velhor"""
0,*The EU has allowed itself to be a trojan for Spains medieval claim to Gibraltar. I personally no longer want anything to do with the EU.
865900,*Porra eu fui criado escutando rock aí a pessoa vem querer mudar isso. 
865901,"*quando eu fazia filosofia, um dos colegas escreveu isso no quadro num intervalo. o professor de medieval curtia beber"""
865906,*Às vezes eu amo e construo castelos. Às vezes eu amo tanto que tiro férias e embarco num tour pro inferno. Será que eu sou medieval?
20009,*eles vieram me pedir um objeto medieval até então extinto... Cheque... Vc sabe o q é ou como usa? Nem tutorial eu achei... 
865904,*6h35 e eu já modernizando fonte medieval e colocando roupa pra lavar.
865905,*ah eu considero medieval pelo inicio (obvio) e a vibe lutinha depois mas claro que não é um 100% na tematica
865908,*Prova de História Medieval amanhã e eu já estou sofrendo
20008,"*Comme par azard, aujourd'hui j'ai eu comme toi... Contrôle sur la Chrétienté médiéval ( le truc qui te fait bien chier ) "
855666,*Eu só queria q minha linda nota em medieval e o fato de ter passado em psico bastassem para me tirar dessa realidade na qual estou inserida
851299,*Eu e ela voltando a época medieval #toledo #spain @ Toledo Cathedral https://www.instagram.com/p/BOcgSOEhUdB/ 
16778,*em breve!!! e outros romances de época também!!
16779,*gente eu vou ter história medieval e antiga esse semestre OLHA QUE TESÃO
26943,*Oi meu nome é Isadora eu fechei com 10 em Medieval uma matéria que gosto deveras to bem feliz
1596378,"*pois é, é todo esse lance medieval q eu n curto u.u se for pra ter guerra q seja tipo falling skies"""
871840,"*First EU Christmas Market in Cologne, Germany. Here the Christmas lights light up the medieval… """
718,"*Oh shittt, lutem por mim, eu organizo o duelo à estilo medieval"""
717,*Eu amo como as aulas de Literatura Medieval Portuguesa sempre levam a discussões sobre feminismo e ninguém da turma dá close errado
716,*Gente eu tô amando medieval. Só não sei se eu tô amando medieval msm ou se eu tô amando o professor mas enfim né 
715,"*é incrível que é só a galera se meter com cser pra sair com esses pensamento medieval, cês me desculpa mas eu odeio essa galera, de vdd"""
714,"*Just one hour away from Madrid by car, the ancient medieval village of Sigüenza is a great… http://ift.tt/2mWmDs0 """
713,*Se tem uma coisa torturante é quando eu aberto o aparelho e fico sem condições de comer... Pior tortura medieval para um gordinho
712,*Tá rolando uma rifa aqui na faculdade de 2 reais de três livros de Filosofia Medieval
711,*meudeus você é A MENTE por trás de DF MEDIEVAL? eu ... — C'est moi. Aguarde novidades! Segue mais uma amostr... 
710,"*Em todos esses meus anos seguindo a bruxaria medieval, eu nunca vi algo tão pesado quanto """
690426,*eu fazendo a prova de medieval dia 18 
881174,"*""""Será que eu sou Medieval? Baby eu me acho um cara tão atual"""" http://fb.me/8sDHwDvO4 """
881177,*eu sabia que ia ficar de final em medieval de novo por causa de um ponto nem sei porque me surpreendo
881176,*to achando que vou pegar medieval e eu não sei qual meu sentimento perante isso
881171,"*Ridículo: só porque eu sou mulher não significa que eu tenha que lavar , passar e cozinhar..."
881170,"*eu to meio triste e ja aceitei que vou reprovar medieval porque não vou ter tempo pra estudar, vai ser muito em cima aaaaa"""
881173,*uhhhh algo medieval maybe — eu n gosto de filmes medievais mas o meu pai diz p ... 
881172,"*Ze eu tenho o the sims medieval, ai te pergunto, pra que?"""
855667,"*é o que eu digo: meu bem não estamos na Irlanda medieval pra ficarmos fortalecendo o clã não, se a família pisa na bola não precisa perdoar https://twitter.com/taurinaehpoder/status/812054222120292352 …"""
881179,*gente eu passei em Medieval II não há mais nada no mundo que seja impossível
881178,"*Pesquisando coisinhas pro meu plano de aula, eu me deparo com um artido chamado """"a misoginia medieval blabla"""" ah cara"""
881184,"*não jogo nada além de eu nunca, stop, uno, imagem e ação, gata. HAHA mas, sim, vamos ver esse gatíneo ops filme medieval/HT"""
13457,"*sobre essa tortura da época medieval.... Será que a... — Eu imagino numa cama sem colchão, sabe? Kjjkkk onde... """
34521,*pprt manda um audio fazendo qualquer tipo de grunhido medieval tentando explicar como ela é q eu acho
855660,"*Velho, que medo que eu tenho da sociedade regredir. Voltar praquela época bem medieval, sabe?"""
294,*Eu amo entrar na igreja do Carmo fora a paz que aquele lugar dá me lembra muito a um cenário de filme medieval
292,*medieval oriental desculpe mas eu to quase escolhendo te largar
293,*Eu fico pesquisando coisas do tipo os 12 maiores mistérios da humanidade ou Horror medieval: as 16 torturas mais terríveis da Idade Média
290,*eu falo de luta medieval pq parece coisa de gente too
291,"*Sim, eu to na taverna medieval de novo!  @ Taverna Medieval https://www.instagram.com/p/BR68VpKhZvF/ """
3772,"*zelda é um lixo. nunca gostei. em primeiro lugar, é uma historia de fantasia medieval generica. em segundo lugar, eu nao tenho dinheiro buaa"""
3771,*Erdogan =Medieval Times.   No Turkey in EU EVER!!!
3770,*Alguém cria uma festa medieval pra eu poder usar esse vestido e essa capa pfvr obg de nada 
868844,"*mas assim, pode não funcionar contigo but vale tentar. Eu peguei referência a época que eu me identifico que é a medieval"""
690434,*Eu não acredito que a Record vai fazer uma novela medieval e vou ser obrigado a assistir
690435,*eu adoro quando os fatos vem e destrói cada vez mais e mais tudo que foi criado durante a idade medieval e o que acarreta até hoje.
690436,"*eu juro, que eu queria ouvir o audio original da morte do @afonso3d no #nerdcastRPG medieval, juro por Vader"""
690437,*Dez anos atrás eu pensava morar no país do futuro. Hoje me dou conta que estamos num país medieval. O que aconteceu no meio do caminho?
25448,"*The next """"out of nowhere"""" group of "
275,*#proenemaovivo. com certeza eu vou pro inferno depois da aula de arte medieval do prof @wcestari
276,*Eu acho que luta medieval de crianças de 4 anos devia ser esporte olímpico
277,"*Se não fizerem um flme medieval e colocarem Nancy Mulligan como fundo de uma festa daquelas lá que o povo fica dançando, eu vou fazer"""
278,"*eu n faço psico da educaçao, só lohane. o prof de medieval vai mandar os textos só sexta"""
279,*Tmj. Mas eu tenho um conceito de esporte que nao pode ser uma guerra medieval de video game. So isso.
13451,"*we're still medieval in state administration, the people must put up with Gov Mafia, GS manipulation & EU/IMF"""
690438,*A trilogia medieval é muito dinâmica e engraçada. Eu dou risada das mesmas piadas sempre.
690439,"*Didier Decoin : """"La naissance du roman a eu lieu en plein Japon médiéval"""" """
1596365,*Ai como eu amo essas histórias girly Hahahahhaha e inda mais com tempo medieval junto <3 chorei c essa série
40547,"*eu vejo praticamente só ação kkkk,mas vamos lá eu gosto de uns meio medieval,ficção científica tmb"""
1584739,"*Ah, mas eu acho que a Zelda e a Impa sabem, pra ele ter ganho posição no exército. É tempo medieval, tu dá um peido e alguém +"""
3029,*acabei de ver um filme de romance dos anos 80 no estilo medieval e etc eu morri de algumas coisas mas é bem fofo gostei
3028,"*btw eu já te vi falando de duna muitas vezes, qual ... — Imagina uma fantasia medieval que se passa no......... """
3027,"*Prof de historia medieval fazendo piadas com """"humor anglo saxão"""" e eu rindo por demanda pois entendi 0 piadas"""
685422,*já não viram os meus dotes na feira medieval quando tinha aquela aplicação? Pois pois eu sou pró nisto
688235,"*vikings tem uma linguagem muito medieval, várias palavras que eu não conheço, fico parando toda hora pra traduzir"""
871839,"*Eu tenho um amigo desconhecido na rua de baixo, gosta de música com pegada medieval e animes po vamos ser amigos"""
29031,*Eu to na era medieval  em uma cidade estilo faroeste.
29030,"*como diz a manu, agr eu tenho uma série teen melodramática medieval sobre uma rainha super linda q usa Dior e salva três nações p assistir."""
29033,*....typical of the freeloading invaders of the EU...work shy and usually followers of a medieval cult...deport all now.
29032,"*Agr que eu fui perceber... Trollhunters tem um estilo muito parecido com Hearthstone, estilo mágico/fantasia/medieval"""
29034,*Ir na ginecologista parece tortura medieval 
766990,"*quando eu fui no parque em orlando foi porque eu achei que o castelo era medieval, e a varinha que eu comprei foi pra coçar as costas """
34507,*Será que é hoje que consigo acabar o trabalho de literatura medieval? Eu tenho fé.
34506,"*eu me sinto numa praça medieval com uns 5000 caras gritando """"HEAR YE! HEAR YE!"""""""
34505,*J'ai eu qu'un seul semestre d'antique et de médiéval ça a refait ma culture
34504,*parece alguém que eu conheço que foi de peste negra pro almoço medieval
34503,*e eu ainda achava que tinha nascido pra ser uma princesa medieval mas quase morri sem luz sozinha
884420,*Tenho mil coisas pra fazer e o q eu faço?  Isso mesmo starto um projeto novo! #dicetower #rpg #medieval 
859250,*SOCIOLOGIA
1584733,*Eu quero ver alguma série medieval
1584743,"*olha foda-se, a falar como se estivessem na era medieval também eu"""
871826,"*Eu enxergou as história da DC como fantasias, envolvendo deuses entre homens, as vezes ate com pegada Medieval, de superação, divindades etc"""
34509,*Holds back a lot of EU countries as well (but not UK).  Rather like medieval guilds 
34508,*depois de já ter ouvido umas 10x eu finalmente fui prestar atenção no merchan do nerdcast de rpg medieval
5670,*tem q me levar no Motel Medieval pq eu so uma princesa
5671,*Se Faun não for a melhor banda de folk medieval alemão eu não sei qual é
5672,"*Vai ter feira medieval na quinta da boa vista de graça com luta de espada, arquearia, cerveja artesanal HIDROMEL"
