Number,Tweet
164,"*Nelson going pedal to the floor. The EU is the Holy Roman Empire, say it. Say it. The horned beast of the many stars. Say it."""
8300,*The #EU is The Holy Roman Empire MK 111.  Check out where the power lies.  All roads lead to Rome.  #GO #LeaveEU #VoteLeave #Brexit.
3557,*Anyone who's played Europa Universalis as the Holy Roman Empire or gone against them should know how dangerous the EU could be
3556,"*Roman Empire. Holy Roman Empire. EU. We waited till first collapsed, ushering in Dark Ages. Chose to leave the second and flourished. #Lexit"""
3555,*I mean it's a step in the dark if we leave even though the EU is basically the 
3554,*Stay in the EU
3553,*Indeed. EU is an imperial project. We waited till Roman Empire fell; left Holy Roman Empire of our own accord. 2nd went better.
3552,*Yea Farage down with the EU why don't we bring back the Holy Roman Empire while we're at it
3551,"*I voted Remain, thinking EU could reform itself. But saw why people thought it couldn't. The Holy Roman Empire de nos jours?"""
3550,*If France and Greece leave the EU next can I start calling it the Holy Roman Empire?
3559,*sometimes I think modern #EU is a little bit similar to the Holy Roman Empire
3558,"*From the Holy Roman Empire, to Napoleon, to the Third Reich to the EU attempts to impose hegemony on Europeans ultimately fail."
0,*Gove in the Times with some good old buccaneering (the EU is our modern day Holy Roman Empire) guff. These guys think theyre Francis Drake 
35007,"*EU cannot be reformed, it's how they want it. Big fat pay cheques but can't balance the books. Watch it turn into German Holy Roman Empire"""
37840,*#HIDDEN_AGENDA#10  THE EU aka HOLY ROMAN EMPIRE will Launch Final end-time CRUSADE VS. IRAN & become next SUPERPOWER as AMERICA FALLS!
10808,*Could the Holy Roman Empire provide a model for a more decentralised EU? 
10809,*cough
10804,*Interesting FT opinion piece - can the Holy Roman Empire help inspire a different EU: http://on.ft.com/1nmpHv2  #FT
10805,"*Comment: To make a better EU, look to the Holy Roman Empire as an example http://on.ft.com/20eLbYH """
10806,*Peter Wilson explains why the Holy Roman Empire can help us to understand Merkel and the EU (really) http://www.ft.com/cms/s/0/5f128086-bed2-11e5-9fdb-87b8d15baec2.html#axzz3xah0zV8y …
10807,*Can the Holy Roman Empire inspire a differnt EU? Wilson's argument sounds like early EU integration theories http://on.ft.com/1PFn1Pq  via @FT
10800,"*@mfisheroverseas An excellent article! Just an observation: Dutch PM compares EU to the Roman Empire, not the Holy Roman Empire."""
10801,*Confirming my suspicion that the EU is nothing less than a Papist plot to re-establish the Holy Roman Empire. 
10802,"*The Vatican believes Britain """"better in than out"""" of the EU #StrongerIN https://www.facebook.com/StrongerInCampaign/videos/vb.1014500498590274/1083443458362644/?type=2&theater …"""
10803,*@canofwormstwo Pope awarded `Charlemagne Award for European Unity`and wants EU as part of the 7th `Holy Roman Empire`.
12171,"*Varoufakis is telling it like it is, not like the EU - Holy Roman Empire want it to be! https://www.youtube.com/watch?v=P_7GIyqQuhw … @YanniKouts"""
72085,*@Nosemonkey Some Protestants believe the EU is the Catholic Church's attempt to recreate the Holy Roman Empire & enslave us all in popery.
72086,*@SpookET The EU isn't a country--yet. More like the Holy Roman Empire than a real nation state.
72087,"*Funny: """"rise of the EU to global dominance—the...resurrection of the Holy Roman Empire!"""" http://www.thetrumpet.com/index.php?q=6836.0.121.0"""
72088,*AMO O HOLY ROMAN EMPIRE! Mas por causa das aulas de História eu só consigo chamá-lo de Sacro Império Romano-germânico DDD8 #fail
72089,*is the #EU really a re-creation of the (#holy) #Roman #empire http://www.youtube.com/watch?v=NMGk846yuSM
65730,*Holy Roman Empire Rising! http://bit.ly/INtBRw  SENIOR Eurocrats are secretly plotting to create a super-powerful EU ... http://bit.ly/INtBRx 
2983,"*ISIS probably views EU from a medieval perspective. Maybe they see the Holy Roman Empire. Plus, they are stupid."""
2982,*EU has the existential crisis mate not UK - Holy Roman Empire comes to mind
2981,*Euro integration is as much wishful thinking now as it was during the time of the Holy Roman Empire. the EU is the modern Holy Roman Empire
2980,*The EU: intended to be a democratic federation not the new Holy Roman Empire.
2985,"*@Brad_D80 main reason I like the EU, that and my ambitions to live in a huge holy roman empire."""
