Number,Tweet
0,"*Of course the EU's predecessor, the Holy Roman Empire, was failing for a thousand years."
1,*I think we just voted out of the Holy Roman Empire #Brexit
2,*The Liberal Democrats are like the Holy Roman Empire. It was neither holy nor Roman nor Empire.
3,"*.@timfarron seems to think that opposition means opposing the people, as well as the government"
4,*#Rothschilds; Guardians of The Vatican Treasury & The Holy Roman Empire's 'New World Order..!'
5,*Funny how British Empire is mentioned re #Brexit nobody mentions EU is revival of Holy Roman Empire 
6,*@beajayemac The Holy Roman Empire of the German Nation that lasted 1000 years? @LiveEUDebate #Brexit #EU
7,"*I wonder would Voltaire judge Panglossian Brexit Britain the way he did the Holy Roman Empire: not United, not a Kingdom, and not Great?"""
8,*@BarbarianCap @IvanTheK @LadyFOHF Fall of the Holy Roman Empire=the original brexit
9,*@PrimlyStable Holy Roman Empire in 18C provides a useful model for post-Brexit UK 
10,"*@SPERIshefuni with breXit, have the Holy Roman Empire jibs , part of the political debate? """
11,*@DavidAllenGreen Don't malign the Holy Roman Empire with Brexit comparisons! 
12,*The #Holy #Roman #Empire Is Here Now https://youtu.be/fCyPM1SFQO0  via @YouTube #UK #USA #GERMANY #POLAND #ITALY #FRANCE #BREXIT
13,"*""""The last #Brexit was during Henry VIII. British became dominant and holy Roman empire collapsed"""" : @sanjeevsanyal"""
14,*.@GOVUK is in bitter division over #Brexit delays http://sptnkne.ws/bYgP  
15,*Food for thought on 1-nation Europe?
16,"*Our history lesson today covers Britain, Brexit, and the Holy Roman Empire, which was neither holy, nor Roman,... http://fb.me/1dn7AZOu3 """
17,*UK will survive #Brexit because #UK's German Roman Catholic monarchy is the Arch-Treasurer & Prince Elector of the Holy Roman Empire/Vatican
18,"*1/2 More epic Brexit nonsense: """"Could lead to the destruction of one of the most ambitious projects since the Holy Roman Empire.â€ù WashPost"""
19,*Opposed the Holy Roman Empire without respite since 1975.Glad to have been part of this campaign. #Brexit Triumphant https://twitter.com/Kata_basis/status/746387871402176512 â€_
20,*My mom is trying to relate mediaeval prophecies about the end of the Holy Roman Empire to Brexit.
21,*Stay tuned for the YouTube video  of me sounding like an idiot about Brexit and how that means the Holy Roman Empire is taking over again.
88,*the holy roman empire strikes back #Brexit
89,*Europe complained when England made a #Brexit from the Holy Roman Empire in the 16th century Protestant Reformation too & Britain thrived.
90,*Remember when Britain left the Holy Roman Empire? There is no punchline here. #Brexit
91,*Reading about the Holy Roman Empire and canâ€™t help but feel this section speaks a lot to Brexit situation: 
92,"*Europe historically has never been made for a US style entity, even in the days of the flimsy """"Holy Roman Empire"""" Too nationalistic. #Brexit"""
93,"*#brexit, holy roman empire 2.0 is cracking or it's taking a new form without britain?"""
94,"*And again the Brits resist the Holy Roman Empire, this time the 4th, of German Nation calles #EU and their Caesar #Merkel. #Brexit"""
