Number,Tweet
0,"*UKIP say we must #Brexit bcoz """"Roman Empire crucified Jesus"""" ... "
1,"*A new absurd low from @SkyNews - seriously starting a piece comparing Brexit to the """"chaos"""" that followed our exit from the Roman Empire."""
2,"*Classics DOS Dr Toner explains how the 'First Brexit', when Britain left the Roman Empire, can guide us now. 2Mar https://www.hughes.cam.ac.uk/news/the-first-brexit-when-britain-left-the-roman-empire-2nd-march/ ‰Û_"""
3,*#Skynews Did sky news just compare Brexit with the fall of Roman Empire and the dark ages? Who writes this stuff?
4,"*#Brexit will be a mild version to the middle ages of late 1400's during medieval times when Roman Empire fell, and EU was an Italian idea?!."""
5,*The Roman Empire failed 2000 years ago & it's failing again today. @Callydonianboar #EU #Brexit #Article50 #article50bill #Vatican #Jesuits
6,*@NoToRetroTax  The British empire like the Roman empire died out. Architects of their own destruction. NWO will go the same way. pic.twitter.com/FIxOqqScsE
7,*@ann_leckie Italy chooses to assert the even more ancient claims of the Roman Empire over Britannia. So much for Brexit. 
8,*If May goes for A50 on  the 15th it would be history repeating itself; Roman transition from Roman Republic to the Roman Empire #idesofmarch
9,*@BieberDmorison Merely making a point about historical comparisons. Better than going back to Roman Empire/HRE as a model...
10,*There are many in Pakistan who are experts on everything from Fall of Roman Empire to Brexit. You would be amazed at the amount of talent 
11,*A modern society cannot function without a social division of labor. No one is an expert on everything. http://ow.ly/UZ1J309BHTw 
12,*God was bigger than Egypt.
13,"*@TrollULike My distant ancestor was Noggin the Nog Lavinruf ,a violent Scandiwegian,who fought successfully for Brexit from the Roman Empire"""
14,*Can't make my mind up; is Brexit trying 2 recreate the 1930s or the last days of the Roman Empire? 
15,*This 3rd Century quote about the #Roman Empire is also scarily appropriate to describe 21st Century #Brexit Britain! 
16,"*""""For now our history descends from a Kingdom of gold to one of iron and rust."""""
17,*#brexit means a full exit from the Single Market of the Roman Empire - Romani ite domum! 
18,*Isotope evidence for poss movement between South Wales & Byzantine N. Africa in the 5th-7thC http://www.sciencedirect.com/science/article/pii/S030544031300023X ‰Û_ 
19,*Three Uncomfortable Truths for Those Teaching a Revived Roman Empire #BREXIT (
21,*#Brexit - this must be what it was like to witness the fall of the Roman Empire in Britain.
22,*@wmarybeard Are there instances in later classical Roman texts of a yearning to return to the glory days of the Roman empire? #Brexit
7314,"*@MrRae1000 In the example, we can see the Roman Empire as Brexit supporters."
7315,"*@TomLondon6 Yes but all these #brexit remoaners are hankering after """"The Roman Empire"""" a far smaller and older Empire.?"""
7317,"*@RTUKnews """"After the expulsion of Satan from heaven, he moved Emperor Claudius to annex Britannia to the Roman Empire‰ÛÒBrexit in reverse!!"""""""
7318,*Roman Empire discusses #brexit and decides to quit Britannia.
7319,*@PDPGB Probably gets her pic taken in a gold lift. And what does she know about the fall of the Roman Empire? #brexit 
7320,*Billionaire pro-#Brexit donor #mansplains Roman Empire hist to Cambridge historian Mary Beard. http://metro.co.uk/2016/12/06/ukip-donor-mansplains-roman-history-to-professor-mary-beard-6303665/ ‰Û_ #fancyacademic
7321,*@englishseaside1 @PhilMConstruct ... You accuse @wmarybeard because you want fall of Roman Empire as allegory to justify Brexit.
7322,*.#UKIP vs Professor #MaryBeard on fall of the #RomanEmpire - #EUreferendum #mansplaining #Brexit #EU #history #Rome http://metro.co.uk/2016/12/06/ukip-donor-mansplains-roman-history-to-professor-mary-beard-6303665/ ‰Û_
7323,*@JWils60 This is post #Brexit reasoning Immigrants are to blame for everything including fall of Roman empire
7324,*#UKIP Donor @Arron_Banks Mansplains Fall of Roman Empire to Classicist Mary Beard - @HuffPostUKPol
7325,"*Today's #BrexitEnemies List: 1) The Roman Empire (day 2 on charts),2) Welsh Govt, 3) People who ask what Red, White&Blue Brexit means"""
7326,"*@garybrannan It beggars belief. She is THE authority on the Roman Empire but hey, Brexit man knows better!!"""
7327,*Dam #experts at it again #brexit #history #romanempire #twitterbattle
7328,"*No, the Roman empire was not destroyed by immigration: why history is a useful discipline https://www.indy100.com/article/brexiter-tries-to-correct-actual-historian-about-ancient-rome-because-he-studied-it-at-school-7458281 ‰Û_ #Brexit @ExeterCIGH"""
7329,"*This whole Roman Empire/Brexit thing is interesting,the way that people think our civilisation as we know it will continue for ever #brexit"""
7331,*Britain actually did a kind of #Brexit (with Northern France) for 10 years from Roman Empire in AD 286-296 under Carausius & Allectus 
8257,*This leading Brexit campaigner mansplained the fall of the Roman Empire to classicist Mary Beard http://huff.to/2gJTD44 
8258,"*""""The Roman Empire"""" fell 'cause a biased ref awarded a penalty in extra time."
8260,"*The way things are going, I'm beginning to think the Roman Empire collapsed because they had a Brexit style referendum."""
8261,*@wmarybeard @NickStevenson63 @Arron_banks @Mr__XYZ 
8262,*@tillywrites @MartinBelam let's not forget how successful our #Brexit from the Roman Empire was! #darkages
8263,*#italyreferendum #italy #Referendum #referendumcostituzionale #Roma #Rome #RomanEmpire #Trump #brexit #europe #Eurozone #EuropeanUnion
8264,*Brexit is the unraveling portended by Daniel 2's prophetic dream of revived Roman empire consisting of parts that would not adhere well. https://twitter.com/trend_auditor/status/804211565650149376 ‰Û_
8265,"*@RemaininEU @48PercentPlus #Brexit is very like the province of Britannia being  abandoned by the Roman Empire, and entering the Dark Ages."""
8266,*check out Gibbons - fall of the roman empire. Brexit just a symptom. Europe is FKD 
8267,*Renzi's risky referendum http://econ.st/2gps7sF 
8268,"*Sixteen hundred years before the European Union, #Brexit meant leaving the Roman Empire by @holland_tom http://nyti.ms/1WpT7ab  @wmarybeard"""
8269,"*In other news, the fall of Roman Empire proves that Diet Cola is inferior to Regular Cola #Brexit #whatthehellareyoutalkingabout"""
8270,"*Second World War victory proves civil service can deliver Brexit, says top ex-mandarin http://www.telegraph.co.uk/news/2016/11/19/second-world-war-victory-proves-civil-service-can-deliver-brexit/?utm_source=dlvr.it&utm_medium=twitter ‰Û_"""
8271,*Three Uncomfortable Truths for Those Teaching a Revived Roman Empire #BREXIT #prophecy
8272,*Following #brexit and #Trump2016 I finally understand why the Roman Empire fell.
8273,"*Brexit mean Natural and Spiritual from EU bondage, which is the final stage of The Roman"
8274,*With reference to Brexit and Trump #RomanEmpire 
8275,*Mary Beard Discusses the Collapse of the Roman Republic -  https://lareviewofbooks.org/article/victim-success-mary-beard-discusses-collapse-roman-republic/ ‰Û_ via @lareviewofbooks
8276,*#Trumpxit (MASS GLOBAL SHOCK);  #Brexit (TECTONICS NOT SINCE 476 AD FALL OF #RomanEmpire); #Frexit (FINALLY DISMANTLES #EuropeanUnion)
8277,"*we cannot just sit on our laurels & think it wont happen in the uk, farage went over to help trump, trump will probably do likewise """
8278,*It's the Fall of the Roman Empire all over again - now for the Dark Ages (First Brexit) 
8279,"*First Brexit, now Trump. The """"world is crumbling before our eyes,"""" says French ambassador. http://usat.ly/2eKPBqq """
8280,"*I remember on a trip I took to Rome years ago, seeing bronze plaques depicting the rise and fall of the Roman Empire. First Brexit..."""
8875,*I suppose it felt a bit like this when the Roman Empire started to fall. #brexit #chocolate
8876,"*... and here is Toblerone confirming it was """"higher costs for numerous ingredients"""" forcing the change only """"in the UK"""": """
8877,*Province of Britannia mysteriously disappears from map of Roman Empire. A 2nd Century proto-#Brexit? 
8878,*Roman Empire GDP Per Capita Map http://brilliantmaps.com/roman-empire-gdp/ ‰Û_ 
8879,"*@SANDRAKELLYGIRL Definitely brexit is best for UK.  EU = revised Roman Empire, & they R4 1 world system. For info """
8880,*Rome Vs.  London #brexit #london #britannias #leaveuk #rome #italy #historytoday #RomanEmpire #london #cool
8881,"*Tracing the decline of the Roman Empire one notes periods when the decline seems to plateau out, followed by sudden downward lurches"
8882,"*#Africa the latest continent tired of US """"liberal hypocrisy"""" see their #Brexit moment. The #RomanEmpire is collapsing! """
8883,*#Africa's #Brexit moment away from #US #liberal world order: Is this the end for the #InternationalCriminalCourt? http://www.bbc.co.uk/news/world-africa-37750978 ‰Û_
8885,"*After the Roman Empire fell, Italy descended into a hotch potch of different political territories. Britain is going the same way. #Brexit"""
8886,"*The UK's assertion of Britishness, known as Brexit, seems to reflect the disunity of a revived Roman empire that was prophesied in Daniel 2. """
8887,*Theresa May to lay out Brexit plans in Brussels http://on.wsj.com/2etw8rF  
8890,"*The Roman Empire lasted for 503 years, the Ottoman Empire last for 623 years, I doubt the EU will even last my life time... #Brexit #Time2Go"""
8891,*Exit Britannia - Brexit and the Fall of Rome.
8892,*@_jeffguo if he's going to reminisce past glories: the rise of the far right in Europe & Brexit compared to multicultural Roman Empire works
8893,*A prominent US premillenialist believes #Brexit reinforces End Time belief as it destabilises the EU 'the new Roman Empire' #trsresearch
8894,"*Two things the people anxiously desire, bread and circuses. Things haven't  changed that much since the Roman Empire. False promises #Brexit"""
8895,*Asian migrants in Britain taking jobs. #Brexit the Roman Empire. #Boudica for PM.
8896,*#organizedcrime #gb #bdf : #BrExit : #roman #romanEmpire : #eu bbc :  Keep #safe; them out http://www.express.co.uk/news/uk/714206/Nottingham-Knockers-scam-police-warning-burglaries-doorstep-duster-sellers ‰Û_
8897,*@BrexitDeceit @AndrewBridgenMPI It's over. Can't you see that? You might as well be tweeting about re-joining the Roman Empire #Brexit
8899,*The Liberal Democrats ? Probably the only party who's name suggests that they would support a referendum decision ! https://twitter.com/JezebelTwinx/status/777843982198079489 ‰Û_
9446,*The stupidity of Leave voters believing that Brexit will reduce immigration is like Italians believing they can rebuild the Roman Empire.
9447,"*@Rolo_Tamasi @TelegraphNews   """"The rise and fall of Rome and the Roman empire"""" (sorry the British)    "
9449,"*.@timfarron seems to think that opposition means opposing the people, as well as the government"
9450,*@Telegraph @TelegraphNews Brexit 
9453,"*Brexit, Bible Prophecy & The Revived Roman Empire http://ln.is/com/Xxok2  via @po_st"""
9454,*England free of Roman Empire #brexit 
9455,*Post-Brexit Britain should copy the Roman empire‰Ûªs border policy 
9456,*@HeatherWheeler Does the Roman Empire get to include GB medals? After #Brexit will GB equal Erasmus sport fund? Where from 350m due to NHS
9457,*I think the Roman Empire did pretty well too.
9458,"*Now that's what I call winning!!! Well done Team GB & all our Commonwealth friends, now for the Trade Agreements.... """
9459,*Does anyone know how many medals the Roman Empire won at the Olympics? #Rio2016 #Brexit
9461,*.@GOVUK is in bitter division over #Brexit delays http://sptnkne.ws/bYgP  
9462,*Food for thought on 1-nation Europe?
9463,*What isn't #Brexit responsible for? except the fall of the Roman Empire 
9464,"*Good, it's been exploited and abused by incompatible immigrants "
9465,*@madefromROME @Archaeology_UoS thank goodness we #Brexit Brits just left Roman empire: now we will safely avoid collapse of civilisation.
9466,"*The #UK is great! #Colchester built, restored #Castle on #ruins #Roman #Empire. Now by #Brexit on ruins #Europe #EU"""
9467,*They played that up quite well I thought. Also Brexit (from the Roman Empire) and making Cymbeline a queen. Still way too expositional.
10146,*Post-#Brexit Britain should copy the #RomanEmpire‰Ûªs border policy. 
10147,"*Read: """"Post-Brexit Britain should copy the Roman empire‰Ûªs border policy"""" by Peter Jones."
10148,*Want to read something flat-out mental? Try this on how post-Brexit UK should copy the Roman Empire‰Ûªs border policy http://www.spectator.co.uk/2016/08/post-brexit-britain-should-copy-the-roman-empires-border-policy/ ‰Û_
10149,*Build a wall between England and Scotland?
10150,*Post-Brexit Britain should copy the Roman empire‰Ûªs border policy - Keeping control didn‰Ûªt stop them boosting trade http://www.spectator.co.uk/2016/08/post-brexit-britain-should-copy-the-roman-empires-border-policy/ ‰Û_
10151,*BREXIT no. 3 - in AD 410. The Roman Empire declares it has had enough of us and leaves us to it.
10152,*BREXIT no. 1 - in AD 286 Carausius votes unanimously to leave the Roman Empire. Ends in 296 when Constantius beats up his sucessor Allectus.
10153,*Seems that this isn't the first #brexit Britain exited the Roman Empire during the dark ages 
10154,*PAMPERED ELITIST:King Arthur kept links after Britain's Brexit from Roman Empire & liked foreign wine & olive oil ;) http://www.independent.co.uk/news/science/archaeology/king-arthur-castle-cornwall-tintagel-dark-ages-palace-camelot-a7168761.html ‰Û_
10156,*remember the big civil war between brexit and the roman empire
10157,"*@TheBHF @Tesco_North @DiabetesUK Hadrains wall is a reminder of the Roman Empire, which is the EU Treaty"
10158,*@mtpennycook @OwenSmith_MP 
10159,*#History tells us what will happen next with #Brexit & #Trump
10160,*@theBarryBurn Fall of Roman Empire as reported by #bbc was directly linked to #brexit 
10161,*@Telegraph Brexit mean natural and 
10162,*@GuyVerhofstadt Cameron opposed Brexit. EU is like Roman Empire after battle of Adrianople:bleeding out.
10553,"*If I believed Brexit would hinder the Gospel I wouldn't have voted Leave, but if God can overcome the Roman empire, He can easily do Europe."""
10554,"*Welcome to the New World Order>>>Brexit, Bible Prophecy & The Revived Roman Empire http://po.st/1LV7wv  via @po_st"""
10556,*@LeaveEUOfficial The meteors whizzing by too...also BREXIT caused fall of Roman Empire...such an irresponsible electorate!
10557,"*@MrHarryCole @kevinpbreslin With #Brexit in the offing, that'll be like being made C-in-C of Hadrian's Wall during the Roman Empire."""
10558,*@GregDjerejian @joshtpm London was abandoned in the 5th century following Brexit from the Roman Empire.
10559,*@Toovey55 yes its a crazy period in our political history. Maybe the Roman Empire had Brexit before it collapsed :(. Take care
10560,*Brexit forming new Roman Empire :: http://buff.ly/299yDjV 
10562,"*Brexit,IslamicAntichrist,RomanEmpire,10 Kings,Gog ofMagog"
10563,"*ALERT: #Globalists making move to rebuild old Roman Empire, now called #EU"
10564,*Brexit has done to Britain what Christianity did to the Roman Empire
10565,*Brexit opens up bank fault line from Milan to Lisbon EURO is shit like roman empire and pope
10566,"*End of Roman Empire and growth of Arab Empire, due to low solar activity, the same as today. #brexit #globalwarming?"""
10567,"*Brexit, Bible Prophecy & The Revived Roman Empire   http://www.rapturewatch.net/apps/forums/topics/show/13363442-brexit-bible-prophecy-the-revived-roman-empire?page=last ‰Û_"""
10568,*#Brexit is reminiscent of the period just before the collapse of the Roman Empire. In simple terms; debt and taxes were at their highest.
10569,*3rd century Brexit from Roman Empire and 21st century Brexit from intended ‰Û÷Roman Empire‰Ûª
10572,*I want the Roman Empire back #eu #brexit 
12823,"*#Brexit, Bible Prophecy Revived #Roman Empire."""
12824,"*4th of July isn't the original Brexit, you donkeys. pretty sure the original Brexit was when the Roman Empire left in 410. know your history"""
12825,"*We did it before... ‰ÛÏBritain, uniquely among the provinces of the Roman Empire, seems to have chosen exit‰Û #Brexit  http://buff.ly/29HdKtR """
12827,*All gone
12828,"*Brexit, Bible Prophecy & The Revived Roman Empire  http://www.rapturewatch.net/apps/forums/topics/show/13363442-brexit-bible-prophecy-the-revived-roman-empire?page=last ‰Û_"""
12829,*3rd century Brexit from Roman Empire and 21st century Brexit from intended ‰Û÷Roman Empire‰Ûª: Roman Empire 117 A... http://bit.ly/29fbyM8 
12831,"*@RodneyMarsh10 Also """"learned"""" whole of Europe is Socialist; Muslims caused Brexit; foreigners were responsible for fall of Roman Empire."""
12832,*Brexit forming new Roman Empire :: Prophecy Dude http://buff.ly/29vumVt 
12833,"*Has there been been this much political backstabbing in any era, in any country, since the fall of the Roman empire? #Brexit #makinghistory"""
12834,*DID BIBLE PROPHECY FORETELL OF BREXIT & RISE OF NEW ROMAN EMPIRE? #o4a #brexit #RT #Bible - http://overpassesforamerica.com/?p=31099 
12835,*#UK politics looks similar to the last days of the Roman Empire. #Brexit #downfall
12836,*The Guardian view on post-Brexit politics: in place of leadership | Editorial http://d.gu.com/LhTkrN 
12837,"*#Brexit, #Bible #Prophecy & The Revived Roman Empire http://po.st/aJE4bN   #News on implications"""
12838,*Brexit: The UK's Independence Day: They are like the historians who bow in reverence to th... http://bit.ly/29eGIVK  #SPQR #RomanEmpire
12839,*@HomerHickam I'm seeing a lot of parallels with #Brexit. The EU is arguably the Roman Empire reincarnated and the UK rose up again!
12840,*Lets try to learn something from historical empires and failures
12841,"*Connecting #Brexit, the Roman Empire, and the future of #scicomm, all in one post! http://www.sciencewithstyle.org/sws-blog/an-expat-scientists-perspective-on-a-world-post-brexit ‰Û_ pic.twitter.com/o6236JA5Fm"""
12842,*EU Responds To Brexit: What They‰Ûªre Not Telling You!:> #Biblical #Markofthebeast #Socialism #Communism #EURO #RomanEmpire
13523,*#Brexit is like the beginning of the fall of ancient Roman Empire. Europe will sink under their own economical and political weight #Sad
13524,*@swancom74 
13526,*Wither the Last Days Revived Roman Empire After Brexit? 
13527,*@Floppy @fantasticlife @JeniT looks like they're currently debating if Brexit is the revival of the Roman Empire. 
13528,*@mercedesschlapp I followed the Brexit I believe when the nxt country leaves the EU will go the way of the late Roman Empire
13529,*Is the European Union the revived Roman Empire? How does the Brexit impact Bible prophecy?... 
13531,*@ReutersWorld #BritishEmpire vs #RomanEmpire?
13532,"*European Union fast tracking a superstate because of #Brexit.  In other words, a paper mache Roman Empire managed from Brussels."""
13533,"*Brexit, Bible Prophecy & The Revived Roman Empire """
14078,*Is the European Union the revived Roman Empire? How does the #Brexit impact Bible prophecy?... 
14079,*Supporting the EU so people can move between countries easily is like supporting the Roman Empire for unifying Europe. #Brexit #Libertarian
14080,*@pwnallthethings NYT started one of their #brexit articles with The Rise & Fall of the Roman Empire this am. Fitting.
14082,"*The #Brexit from the Roman Empire was the beginning of what people called """"The Dark Ages"""" so there's that."""
14083,*The biggest losers from #Brexit are fundamentalist Christians who hoped end times would arrive with the reemergence of the Roman Empire
14085,*#brexit will usher in the revived Roman Empire due to global chaos. You just watch! And there's no such thing as status quo anymore! #change
14086,"*Brexit, Bible Prophecy & The Revived Roman Empire - Yes, it certainly does. http://po.st/WEGsV1  via @po_st"""
14088,"*#Brexit, #Bible #Prophecy & The Revived Roman Empire http://po.st/RJSpzi  via @po_st #EU #10"""
14478,*@Independent Jeremy likes Remain but it seems for him personnaly Brexit. It looks like the Roman empire. Heads fall fast.
14479,"*The end is clear. The path is developing. Good read: Brexit, Bible Prophecy & The Revived Roman Empire http://po.st/tTJ2Tu  via @po_st"""
14480,*It's funny how immigrants of the Roman Empire are telling other Immigrants to go back home. So sad. #Brexit
14481,*She's like Nero in the last days of the Roman Empire. She's gone power crazy.
14482,*Nicola Sturgeon says Holyrood could try to block Brexit http://bit.ly/291cEx3  
14483,"*Brexit, Bible Prophecy & The Revived Roman Empire #Prophecy #Bible #Christians # http://www.prophecynewswatch.com/article.cfm?recent_news_id=446 ‰Û_"""
14484,*Reaction to the Brexit Vote: Some have described the Roman Empire as the first true European Union. Its moder... http://bit.ly/291E3gG 
14686,"*Brexit, Bible Prophecy & The Revived Roman Empire http://po.st/CtN1mg  via @po_st"""
14688,"*""""there is no Islamic terrorism is more the AIPAC roman empire will do a new brexit, and recycle‰Û_"""" ‰ÛÓ bremont """
14689,*After #Brexit the Revived Roman Empire Comes Next #EndTimes.
14690,"*Ironically, the Roman Empire fell because folks forgot to Google """"What is being sacked? Sounds sexy."""" #brexit """
14691,*Britons are Googling ‰ÛÏWhat is the EU?‰Û after voting to leave it #Brexit http://buff.ly/28S00eU 
14693,"*@JunkScience @MichaelEMann @GlomarResponder What an idiot, we all know #Brexit has undeniable ties to the fall of the roman empire, duh !"""
14694,*To think Scotland was once the country even the Roman Empire couldn‰Ûªt conquer. Now its national symbol is a set of kneepads #brexit #euref
14695,"*We're still better off out in the long run, even the Roman Empire fell eventually #Brexit"""
14696,*The Revived Roman Empire Paradigm and the Impact of Brexit http://www.jacksmithprophecy.org/2016/06/25/what-of-the-revived-roman-empire-paradigm-now/ ‰Û_
14698,*These quotes are Tacoma discussing the scholarly view of migration in the Roman Empire in 
14699,"*I'm sure there was a bit of uncertainty when Britain left the Roman Empire in 410 A.D., too. But everything turned out ok. #Brexit"""
14701,*@EU_Brexit RT THIS the #EU is already failing to its knees its rotten to the core its falling faster than the roman empire #EURefResults
14702,"*more of 2500 years of history since the Roman Empire, only 43 years in the EU and #Brexit should end the world? seriously"""
14703,*Remain in the Roman Empire--cue Monty Python sketch #Brexit
15361,"*Brexit is  end for once biggest world power. UK breaks apart, England will be alone. Next, all vikings leave and roman empire will be back."""
15362,"*Assuming EU as a revival of the Roman Empire, I wonder why the people north of the Hadrian's Wall prefer more not to #Brexit than the south?"""
15363,*can this be a new fall of teh Roman Empire? #Brexit
15364,*'@TheWerelizard @geemo88 Very Roman Empire. And very fitting with the way #Brexit went.
15365,"*History repeats. We were among the first out during the fall of the Roman Empire. Bye bye EU, hello diverse nations. #brexit"""
15366,"*This is the end of an empire and, like the Roman Empire, it will have been the cause of its own collapse. #Brexit #BritsCanBeDumbToo"""
15369,*@mantei4 #Brexit Contradicts revived roman empire. #Islam
15370,"*""""Brexit Wit."""" by jollyjack http://jollyjack.deviantart.com/art/Brexit-Wit-617421714 ‰Û_"
15371,*People interested in Bible Prophecy might wonder how the Brexit vote ties in to the Last Days.We believe the Roman Empire will rise again!
15372,*DID THE REVIVED ROMAN EMPIRE JUST DIE YESTERDAY? THE IMPLICATIONS OF BREXIT A Glimmer of Hope? The people are... 
15373,*The first domino falls and the rest of EU crumbles and is lost to history like the Roman Empire. #Brexit #EURefResults #EUref #BrexitVote
15374,*Hey #brexit - remember what happened after the Roman Empire left the British Isles? Exactly.
15375,"*UK votes out of the Roman Empire.. 2016.. I mean EU  #HIST100B1 Brexit vote wreaks financial, political havoc @CNN"""
15376,"*Having written end times novels, I never really thought the EU was going to be the new Roman Empire of Tribulation. Good job England #Brexit"""
15377,*Britain exits the Revived Roman Empire and reclaims it's future! #Brexit 
15378,*CONGRATULATIONS UK!
15379,"*#Brexit  prophecy students, in the last days, antichrist will rule over a revised  Roman Empire. The empire never included England. #Bible"""
15380,"*#EUreferendum #Brexit Roman rule in Britain ends in 410. New """"Roman Empire""""(EU) will lose Britain today."""
15381,"*Brexit means, a United Ireland,Independent Scotland,Republic of Australia,the British Empire is finished , like the Roman Empire"""
18502,*Breaking: Eastern Roman Empire successfully #ERExit s from Roman empire over concerns of letting Germanic peoples into Rome #Brexit
18503,*So how long until the EU is just the Hoiy Roman Empire redux and the continent goes back to killing themselves on the regular? #brexit
18505,*It's like watching the fall of the Roman Empire up close w/o the benefit of 1500 years' safe distance. #Brexit @jk_rowling @faisalislam
18506,"*Other notable proponents of a United Europe: Roman Empire, Napoleon, and Hitler. So I guess the EU is the Fourth Reich? #Brexit #bitchslap"""
18507,*Post-#Brexit carnage is like the the fall of the Roman Empire. The true cause of the UK's demise comes from within. 
18508,*Reviving of Roman Empire of Daniel 2:41-43 #Brexit  this got nothing to do with political or your vote count. Only word of GOD is the truth.
18509,"*#Brexit just happened the fall of new Roman empire began, the end of unified Europa began"""
