Number,Tweet
347,*Theft by acquisition of Iraqi & Syrian oil is a serious matter esp. when it supports barbarian terrorists.  #Brexit 
339,"*Barbarian armies rape and pillage when they invade. Look around you, Europe. You're being invaded & your politicians opened the door"
338,"*@Conn_Iggulden well if Eu equals latter days Rome, then the barbarian horde is either brexit or immigration or eastern hordes """
335,*#Brexit #BrIslam get the scum out of Europe or lose 2000 years of culture to a dark age of barbarian insanity. 
334,*The Outsider of Two Don't Always Lose: Gladiator Barbarian Horde Battle Scene #EUref #Brexit #VoteLeave
337,*@kilimandege @End_of_Europe @siscakid So barbarian-cultured muslims by the millions are needed - why?? #Brexit! #Leave USA vote for #Trump!
336,*#MEGA #AlwaysTrump
333,*@prestick09 it is soooo insulting to the mentally ill. They allow barbarian's to hide behind a real and serious illness. #InOrOut #Brexit
104,*Cam = biggest quitter in British history. https://cyberboris.wordpress.com/2016/06/19/david-cameron-is-fighting-to-deceive-the-british-people/ … EU reform just a sham.  @borisjohnson #voteleave 
102,*Brexit and Trump both happen and within 4 years it’s the world of Thundar the Barbarian.
88,*@PatriotVote2016   Brexit justified. These barbarian have no soul.
89,*This is a culture of barbarian and a shame but not a pride.       
103,*#Brexit =Save Western Civilization from #Barbarian  #invasion DEFUND #UN 2 STOP #NWO!
100,"*As with Rome 476 AD: Barbarian invasion, spending, government corruption & instability #brexit #EUref #svpol #swexit"""
86,*@EP_President SO grateful we voted Brexit...the further away we are from Erdogan the barbarian the better. Hopefully EU will collapse soon.
87,*Have you heard ‘Great Bear’ by The Barbarian Invasion on #SoundCloud? #np https://soundcloud.com/thebarbarianinvasion/great-bear?in=thebarbarianinvasion/sets/me-you-the-eu-too&utm_source=soundcloud&utm_campaign=share&utm_medium=twitter …
84,*Globalism Has Become A Barbarian Relic In 2016 http://www.webchronicle.com  #NWO #Globalism #EU #Brexit #TrumpTrain #WebChronicle
85,*@Telegraph @TelegraphWorld But listen up British Barbarian War Criminals: Did Spirit of Jo add MoJo to stop Brexit? So quit invading Syria!
