Number,Tweet
88,*@himynameistomaz you're a barbarian. This is why I'm voting ukip. My obviously correct moral compass.
89,*@Exposing_UKIP is barbarian a term of endearment or a position that one tries to aspire?
100,*Great story #scary          #UKIP    http://www.telegraph.co.uk/news/politics/ukip/9950083/Ukip-urges-Brits-to-withdraw-their-money-from-Spanish-banks.html …
20,*This one Nigel holds out against the barbarian UKIP invaders and evil cockatoos.
21,*@juchetony @patcondell ukip got double the votes of SNP yet Sturgeon fancies herself as Conan The Barbarian on the basis of a stacked game
1,*Some of the @Barbarian_FC tweets are quality!  never thought I'd see rugby compared to UKIP and Wigan on a Friday night
0,"*#JihadiJohn = barbarian took pleasure in public vile acts, death is too good! Should have been tortured to death on TV for the world to see!"""
3,*@OhBrokenBritain @MailOnline Allowing the barbarian hordes in DID wreck Rome! The fact that Mary Beard hates UKIP has affected her judgement
2,"*After 2 minutes, this match is like UKIP manifesto, it's pointless 0-0. 2. #rugby #rugbyunited #VamosPumas"""
5,*Traitorous non UK native scumbags. Vote UKIP. Let's get our capital back from the 3rd world barbarian infidels & fake news foreign media 
4,"*@Rachael_Swindon @paulnuttallukip This man is a barbarian and MUST be ostracized by civilized society, Boycott Nuttall and UKIP"""
7,*@kurt_obruny As the barbarian David Coburn UKIP MEP recommends. His demonstration of uncivilised ignorance here: 
6,"*""""The party of the working class"""" https://twitter.com/MrHarryCole/status/834764983225421828 …"""
9,*@UKIP @2tweetaboutit @MargotLJParker Thank you. These barbarian practices have no place on the planet..
8,*@theresa_may THIS MAN SHOULD BE JAILED FOR AT LEAST 25 YEARS. FECKING CRUEL BARBARIAN http://thisisengland.org.uk/halal-chicken-firm-that-supplies-top-supermarkets-boiled-birds-alive-after-blunders-meant-they-had-not-had-their-throats-slit-before-being-plunged-into-the-water/ …
99,"*@_NewseXtra Say """"No to #UK/#Britain intervention in #Syria to support those #fsa barbarian islamists."""" #EDL #UKIP"""
98,*@JohnS_UKIP  I would not go to one one of these barbarian countrys.Awful fly blown violent sespits run by corrupt scum bags.We are blessed
91,"*Us vs UKIP. The controlled, intelligent Roman Legions against the barbarian hordes. Keep control and outthink UKIP."""
90,"*@Trumpton_UKIP @Trumpton_WI I ignore the merits of of the people directly involved. The commenter is a barbarian, as are so many others."""
93,"*@mr_robface @Opimus007 @UKIP Well, quite intriguing. Am I suddenly not British anymore? Am I suddenly represented as a barbarian"""
92,"*We are living in the City state of London in the EU Empire, #UKIP are the barbarian hoards to the north, Nigel our Attila !"""
95,*@Baggins1971 @UKIP @Nigel_Farage Whilst Europeans were running around in the dark ages as hairy barbarian tribes.
94,*@simonmundie @CiaranLyng All hands on deck to defend GB! #Hitler said 'barbarian nations of the East will overrun the West'.Sounds UKIP'ish.
97,"*@UKIP Well done, you don't want those barbarian marxist tribes from the North getting to London in such short times! #sarcasm #bbqt"""
96,*@adampad123 @P_the_barbarian @banksger1 next yr I'm actually considering joining #UKIP fed up with lies cuts and more lies.
11,*Good luck to foolish Germany with their barbarian new residents! 
10,*@TjoLoLo7 @rickygervais I'd rather my kids joined UKIP than that kinda barbarian bull.
13,*EVEN the #leftist #scumbags at #UKIP  @BBC know #California #muslim #TashfeenMalik was #isis #islamic #barbarian 
12,*@Negation2010 she signed her own death warrant... And that of Europe when she let the barbarian hoards in... #auspol #UKIP
15,*@Soc_of_Authors @UKMarkTyrrell @englishpen What sort of barbarian country would do THAT?
14,"*#ukip are evil, devil worshipping, baby eaters with a barbarian army of 4 million Nazis, sounds credible? If you're running out of smears"""
17,*@monkeydogify i will later and do a selfie. it will be the face of UKIP when confronted with a barbarian.
16,*@tombuildsstuff He’s a front for UKIP. Make Britain so unappealing that barbarian foreigners will leave voluntarily.
19,*#Australian woman jailed in #UAE for #Facebook post about a parking error http://thenewdaily.com.au/news/2015/07/14/jodi-magi-jailed-facebook-post/ …
18,*Moral of the story? - don't work in a backward barbarian country. 
