Number,Tweet
1304,"*secularism, tool invented by white barbarians (Rd abt Dark Ages) 2 destroy civilisatns & Control R resources #brexit """
1305,*Proselytization vs Non interference:Can secular state remain neutral?
1306,"*'And now, what’s going to happen to us without barbarians?"
1307,*@DKinAU Hmmm. Not sure Brexit is quite the same leaving civilization to join the barbarians...
1300,*@ScottRice_SE1 thanks to #Brexit the fags'll be able to kiss in public for a few more years without getting killed by imported barbarians
1301,"*#Brexit is a bulwark against these barbarians, though the immediate fallout may be painful for some.   """
1302,"*Meanwhile in #Paris, Muslims attack women @NetworksManager @Death2RapeGangs  """
1303,*It seems the barbarians now live South of Hadrian's wall. #Brexit
3346,*@Telegraph Sheer madness to even contemplate the accession of these barbarians into the #EU. Another reason to #Brexit.
1782,"*It seems barbarians in #Britannia want to leave, again. Prepare to attack! Oh, wait...never mind. #Brexit #UK #EU"""
1783,*S&P confirms to the FT that UK will lose its final AAA credit rating
1308,*#Brexit ...have we muzzled Westminster elites to unleash populist barbarians like Farage?
1309,*REBUILD HADRIAN'S WALL! AND THOSE BARBARIANS WILL PAY FOR IT! #Brexit
1786,"*@bobbyllew I know, you should blame #UKIP and #Leave on #BRExit folks too. Now, they will take from U your Tesla. Barbarians. "
1787,*#Brexit The barbarians are at the gates people. #Trump must be stopped. #ImWithHer
133,"*@jodipicoult, Brexit III, Parisian Style, Coming Soon!"
132,"*#Brexit, #Trump, #LePen?"
131,*@TEN_GOP @nedryun GET RID OF THE BARBARIANS + JOIN #BREXIT!!!!!
130,"*#Banks vs #Beard: borders, barbarians - & Brexit."
137,"*Don't worry, my strategy (containment aka no migration) you will accept in a few years.  Until then, many of us must die. #maga #trumptrain https://twitter.com/trumphillarypol/status/798741893781790720 …"""
136,*Or you will all convert to Islam and be like London!bunch of former liberals turned intolerant barbarians. Scary! #maga #trumptrain #brexit 
135,*2) Consider also Brexit http://bit.ly/28Q9hZl 
134,*Angry the EU wont let 'em eat bent bananas but too good for a bent croissant. The bloody barbarians deserve #Brexit 
3328,"*Leftists call German sex manual for migrants """"racist"""". (Because we all know how well they treat women). http://www.telegraph.co.uk/news/2016/05/16/sex-manual-for-immigrants-sparks-backlash-in-germany/ …"""
3329,"*#Brexit is more about immigration, its about preventing barbarians at #Calais from entering the UK. They are barbarians & EU is superstate"""
139,"*The barbarians are at the gates of Rome, only this time they're being invited in... 2016 is the year democracy failed #Trump #Brexit"""
138,*@guardian Brexit brought the barbarians to the gate.  Trump will let them in
24,*@rositastef casual violence?
20,*@Brexit A country who welcomes barbarians onto their shore is doomed. I will not ever visit England again!
21,"*@GlenWoodfin We are happy in EU Farage is a coward who left Ukip, surprised by Brexit. In Trumpistan as in China,> death penalty. Barbarians"""
22,*But Garry! How can you defend the indefensible? Merkel turned Germany over to barbarians. Brexit was about eurochickens ordering around UK 
23,"*Every FP position Trump takes, starting from total ignorance around year ago, is on Putin's wish list. Brexit, Ukraine, NATO, EU, Merkel."""
818,"*When in Rome, do as in A.D.420— brexit from the then Empire meant leaving civilized villas & hot baths 2 barbarians """
819,*One can see a slight similarity between Brexit and the burning of the Alexandrian Library by the barbarians.- 
4,*@birdistheherd @UncleAndy45014 @USATODAY the barbarians have already entered the gate. Brexit will help some but it's really too late
8,*A police officer has died from stabbing injuries after the #London terror attack near #Parliament in #Westminster @skymarkwhite 
814,*.@RmSalih You expect #France to surrender their nation to these barbarians? A fully restored France (& UK) is at hand. #Frexit #Brexit
815,*@gobjccm one of the good things of Brexit is we dont help to fund barbarians from the Middle Age in the 21st century #correrlosgansos
816,*Přijďte diskutovat; termín Barbarians of Central Europe dostal po #brexit hořký přídech - Aspen Review Café https://m.facebook.com/events/892687547544257/ …
817,"*Share Radio Newsletter: A post #Brexit Britain, 'Barbarians in the Boardroom' and the Godfather of #EmergingMarkets http://us9.campaign-archive1.com/?u=7b9ddce6c46e4f73eca5b2a9c&id=cc46478412 …"""
1317,*@oldlillipilli @JulianBurnside England to build a wall to stop Barbarians
1316,*@faully33 @JulianBurnside But who are the Barbarians in this context? #Brexit
1315,*Lets re introduce city states and roving bands of barbarians. #brexit Who is with me?! :D #bringbackcitystates #letsgobarbarian
1314,*@SpeakerRyan this is the political stunt to raise money beware Barbarians are at the gate #Brexit #NeverTrump
1313,"*IOW, Western Civ. vs Barbarians; @CNN's Epic Liberal Freak Out: Brexit means 'Xenophobia,' 'White Identity' Win """
1312,"*Time for some #civ5 as GB with raging barbarians, where they win, the barbarians that is. #brexit #ripbritonsyouth #gaming"""
1311,*I can see the barbarians with their pitchforks smiling in satisfaction as a whole country careens over the cliff. #brexit
1310,*#brexit GLOBALIZATION IS DEAD WHERE ARE THE TECHNO-BARBARIANS
1793,*Scarily #Brexit relevant #bookreview: Waiting For The Barbarians by J M Coetzee http://litflits.blogspot.co.uk/2016/06/waiting-for-barbarians-by-j-m-coetzee.html … #amreading
1784,"*BREAKING: Scotland to build a wall, to repel """"barbarians from the south"""". #Brexit #HadriansWall"""
1791,*Because u r barbarians #Brexit #migrationisahumanright
1790,*Scotland announces the building of a new reverse-Hadrian's Wall to keep out the self-harming nutters and barbarians of the south. #Brexit
1797,*http://www.breitbart.com/london/2016/06/21/billionaire-open-borders-funder-soros-tells-britain-stay-eu-else/ …
1796,"*@sirtophamhat @johnmcternan @GraemeDemianyk The turnout was 65%, enough to crush the insurgency of the #Brexit barbarians."""
1319,*Barbarians are at gates.
1318,*@Joe_Hildebrand I think its more caused by the Barbarians at their keyboards. #Brexit
3333,"*The EU is starving Greece, flooding Europe with Islamic barbarians and strangling innovation through excessive regulation #VoteLeave #Brexit"""
2507,"*The remain panel can't contain themselves, barbarians. #ITVEURef #brexit #VoteLeave"""
3331,*Commonwealth countries welcome the prospect of forging closer ties with City of London and the UK following #Brexit
3330,"*anglosphere or the cowardly barbarians of europe? ooh, tough choice. #Brexit  """
3337,*Jeremy Corbyn forced to abandon speech calling for Turkey to join the EU amid fears it would push UK to Brexit http://www.telegraph.co.uk/news/2016/05/05/jeremy-corbyn-forced-to-abandon-speech-calling-for-turkey-to-joi/ …
125,"*#Brexit #Trump #Syria #Turkey #Berlin The barbarians have ALWAYS been at the door. Make a mental note that, in 2016, they gained access."""
126,"*So much winning for us. Trump, Brexit. Fighting the left and Muslim barbarians at same time. """
127,"*Oh look, the left FAILED to sabotage a democratic election yet again. Imagine my shock. http://www.breitbart.com/big-government/2016/12/17/exclusive-activist-larry-lessig-concedes-efforts-turn-electoral-college-trump-road-failure/ …"
128,"*Now you have Brexit, Trump, Neo Nazis, Alt Right Barbarians , Nationalists etc growing reducing chances of human unity & Earth being type 1"""
129,"*@georgefoulkes So, Leave voters are """"barbarians"""" now, are they, George? #Brexit"""
3339,*Why has Cameron not resigned yet putting people country in danger he has let in barbarians kill own children brexit 
3338,"*#Brexit people will tell any lie, terrify their followers with tales of barbarians thronging our borders. Who are the fearmongers? #Remain"""
2499,"*""""what’s going to happen to us without barbarians?"
2498,"*@55Massey we are importing more & more barbarians, what is wrong with us? Those poor girls. #Brexit"""
2495,"*Look at Germany, Sweden etc. - letting in hoards of third world barbarians is a genuine concern not a lie..#Brexit """
2497,"*As in the 30s, it is when the allies have to be  strong and United against barbarians that England would take a French leave ? #Brexit"""
2496,*The freedom Britain needs is freedom from a nasty Brexit Lie Machine run by tax dodgers and multi-millionaire liars fuelling anger and hate
3323,*They are pussy cats compared to BREXIT barbarians - you could learn some civilisation from them. https://twitter.com/NoThanksEU/status/735393475525541889 …
829,*#Brexit  Jeopardises Scientific Research Funding @Scientists4EU
828,*UK universities. A trifling £70bn sector. Second only to US. Key role in European science. Brexit Barbarians. 
825,"*Taking bets on the first Civ VI mod that says “whenever happiness in England drops to 48%, cancel trade routes and spawn barbarians” #brexit"""
824,*Barbarians never grasped Greek Tragedy: Hubris & Nemesis. Thought a destruction of Greece can go unpunished? BREXIT! 
827,"*#Brexit: """"The barbarians are at the gates. Populists come to break the system and … destroy a great deal of wealth."""" """
826,*#ue after #Brexit needs a new Wall to hold the new barbarians from the north.
821,"*If this brexit debacle has shown anything, it is that deep down we're all just barbarians in civilised clothing."""
820,*Thoughtful as ever - Fiona Fox @SMC_London reflecting on what Brexit means for science communication http://www.sciencemediacentre.org/reflections-on-the-referendum/ …
823,"*Angela stupid welcome to barbarians from Syria cost EU 2 PAY TURKEY  6 BILLION EUROS,refugees mayhem,terrorists bombings, now BREXIT"""
822,*@AlexSmith1964 they've had decades of uninterrupted ascendancy thinking the barbarians were conquered. Brexit destroyed them!
1320,*The Spanish want Gibraltar 
1321,"*#Brexit was on the cards, however. Always easy to campaign for 'us rich civilized vs them poor barbarians'."""
4283,"*""""@RegularGrrrl:""""@albertjohn:EuroGrp:""""Waiting for the Barbarians""""C.P.Cavafy (1898) #Greece #EU https://youtu.be/Ajy55VtGbzY """""""":-) @Xlibris1 #Brexit"""
3326,*BARBARIANS AT THE GATE http://www.barenakedislam.com/2016/05/17/barbarians-at-the-gate-2/ …  #deutschland #bavaria #rhineland #AfD #germany #Poland #Hungary #trump #leaveEu #brexit
3327,*GO HOME AND #RAPE YOURSELF - ACTING A BIT LESS LIKE #BARBARIANS WOULD HELP YOU OUT. #TheWestisBest #USA #BREXIT  
832,*Britain is being overrun with Muslim barbarians. They were right to want to leave. #Brexit  https://twitter.com/ilnewsflash/status/746839572609392640 …
833,*Over 10K Sign Petition 2 Hold Brexit-Style Referendum in Finland 
830,"*""""Why this sudden bewilderment, this confusion?"""" C.F. Cavafy proleptic on Brexit in """"Waiting for the Barbarians"""" http://www.poetryfoundation.org/poems-and-poets/poems/detail/51294 … """""""
831,"*It is British pomposity that doesn't allow unity, not even within a politically part, barbarians don't deserve to belong to a Union #Brexit"""
834,*Sure. But first is was overrun with barbarians and destroyed. You happy with that as a #Brexit outcome? @MaryJoMcManus @whitbyemma
4285,"*Onan, The Barbarians/Brexit Gambit/Plain Speaking Sajid/The Rape, Vine/Labour Luvvy/Tea-Vee Debate Update...#WaughRoomMemo in yr inbox folks"""
3334,"*Tuned into @BBCFOUR to see What the Barbarians did for The Art of Scandinavia on The Silk Road,but get #Eurovision?? At least anti #brexit"""
429,*@ReutersIndia Yes it should.. #England can only handle just so many #barbarians at one time.. #brexit #France #Hollande
3,*@PrisonPlanet @JasperWatch Everyone of these brainwashed barbarians should be removed from our shores. #brexit #trump
7,*Sad to hear such news. Civilized world is at war with barbarians flooding us. #Brexit won't change anything. 
449,*Muslims use terrorism because that's what barbarians always do: http://follyofreason.org/cowardice-of-the-barbarians/ … #islam #muslimterror #niceattack #isistrash #brexit
448,*#Trump #Brexit #TurkeyCoup #Farage Simple messages 4 simple people in very complicated times. The barbarians are inside the gates
3332,"*Truth is that we Romans, want to come back and send barbarians north of Adrian's Wall again. #Brexit #BorisJohnson"""
443,*@POLITICOEurope the game is over
442,*@Cockney_Atheist @Stormtroepen before brexit I read about this kind of barbarians even though not in various left-wing British media
441,*Health Official Find Disgusting Thing In Pools After Minnesota Ushers In Burkinis http://usherald.com/?p=31136 
440,*#RefugeeCrisis #SyrianRefugees #musliminvade #barbarians #Sweden #Brexit #AmericaFirst #BuildTheWall #ALTRIGHT
447,*@parimalkumar @ThePracticalDev 
446,"*We're told inequality led to Trump/Brexit/alt-right, but Syrians are barbarians for having some extremists after going through a civil war"""
445,*6thC: Germanic barbarians rampant amid #ROMexit 
444,*#Merkel unleashed her evil army of Islam barbarians on us.
438,*#THESE #MUSLIM #INVADERS ARE #BARBARIANS #WHO #BRING #VIOLENCE #TERRISM & #IGNORANCE - #CLOSE THE #BORDERS #BREXIT 
439,"*Ein junger Syrer hat seine schwangere Schwester abgeschlachtet """"wie ein Schaf"""", sie wurde geschächtet. #Merkelsommer"
436,*A UK university has been named the best in the world for the first time http://ind.pn/2d2sExo  
437,"*@Clorax_ they seem to think its european migrants brexit didn't want, quite the opposite, its religious barbarians we didn't want"""
434,*Why There is Trump #Barbarians #Brexit #election #failure #growth #Hillary #paradigm #Rome #Trump
435,"*If the #Brexit barbarians win, this will mark the high water mark of British civilisation: a UK university named best in the world. """
432,"*""""Barbarians at the gate! Barbarians at the gate!"""" cried the masters of the city, as they set everything but their palaces aflame. #Brexit"""
433,*@Independent @Ricky_Vaughn99 
430,*Major new French encylopedia of barbarians just published (oddly doesn't have an entry for Brexit) 
431,"*Publication – Bruno Dumézil (dir.), « Les barbares »"
450,*@MailOnline Barbarians at the gates. #Brexit looking smarter and smarter every day.
451,"*#Götterdämmerung upon us #EU imploding #brexit & financial crisis in South, #TurkeyCoup = Barbarians at gates #bbcsp"""
452,"*#bbcsp. I pray that Marine le Pen and Front National can win the Presidential election in France next year. Gamechanger in EU, if so."
453,*@david_standing Jo Cox nuff said.We have brexit barbarians here in UK.Turkey is just EUs border and probably no member in our lifetimes.
0,*Waves of Barbarians have been invading Europe for centuries  Nothing new   #Brexit now  #Trump  #MAGA  
2,"*Cops in Northern Ireland have been armed for years, even the fat ones."
6,*The lights are being dimmed on the Eiffel Tower in honour of victims of London terror attack https://www.facebook.com/DailyMail/videos/2109562532436817/ … 
1785,*The #Brexit vote means that Britain can now prevent more of these barbarians from entering their country 
4273,"*If you vote to stay in the EU the next countries to join include Turkey,Serbia,Albania & they will all get UK access """
4272,*This is WHY we must #Brexit & #Nexit now! Stop the invading barbarians 
4277,*The british wanting straight croissants makes them prone for #Brexit. Barbarians. #tesco
4276,*Barbarians stalk the streets of Britain and rape children. Police look away. Political correctness gone mad. #Brexit http://gu.com/p/4h2p5?CMP=Share_iOSApp_Other …
4275,*They REALLY are barbarians arnt they. And the EU and camoron say its safe for them to come here !! #Brexit  https://twitter.com/HDLindiaOrg/status/703258408066002944 …
4274,"*""""What did the godless barbarians do before they migrated into our lands?"""" - American abortion debate or #Brexit ?"""
4279,"*Scotland, and specifically the SNP, will be used as it was during the GE 2015 in upcoming #Brexit vote. Fear the barbarians, basically."""
4278,"*'Merkel' is the frozen Rhine, Daesh the Huns and the barbarians are the barbarians. #EU #Migrant #RomanHistory #Brexit"""
3335,"*'Brexit' has globalist David Cameron in a tizzy - agitating for war using barbarians, #deportation not an option"""
11,*@LeCreusetFiend Cadburys! UGH!! Halal compliant barbarians.
10,"*Britons, stop #Brexit. Only united we European can fight against barbarians islamist!"""
13,*@uk_rants In parts of the world babies are being dumped or even killed for being the'wrong'gender what's the alternative?better not 2b born?
12,"*Yes, that's how we decide what is civilised in the UK."
15,"*@janonway It does not blend w/Europe & US. We are not Sharia-law barbarians. Who is listening? Wilders, LePen, Brexit and Trump. Sigh......"""
14,"*#UK #Brexit only thing to look forward to now,get out of corrupt #EU before house of cards comes tumbling down,#Turk barbarians at the gate!"""
