Number,Tweet
4261,*Where are the animal rights activists on halal method of slaughter. Nothing can be more cruel. Let's ban this savage practice
1263,*Too absurd to the point of ridiculousness & barbaric actsDo we have enough psych wards for #PostRefRacism #Brexit 
1262,*@limeandonion @WillMcHoebag Theresa May bowing to the Imam's & supporting barbaric #Sharia. #Brexit 
1261,*@SophyRidgeSky @LouiseMensch why is Andrea Leadsom talking about fox hunting? A. it's barbaric B. she's supposed to be sorting Brexit
1260,*@lilyallen this is barbaric and hateful. That poor family. #Brexit has unleashed something vile
1264,*An MP who supports the barbaric & inhuman #Sharia law like Theresa May cannot be PM of Britian. #Islam #Brexit 
3416,*This practice of shooting / killing people who disagree w one is barbaric.#Orlando #Brexit
3417,"*You know what? UK shouldn't #Brexit, it should be thrown out for such barbaric behaviour """
4263,"*Why do people think that we'll have no human rights after #Brexit ? Savage, barbaric, tyrannical Britain eh?"""
3418,*England fans in Lille just got begging 7 year old to down a whole beer in exchange for some coins. #EURO2016 
3419,*Tories revolt over Osborne's Brexit 'punishment' budget
692,*#Globalism Is A Barbaric Relic - Voluntary Tribalism Is The Future via: http://www.zerohedge.com/news/2016-08-24/globalism-barbaric-relic-voluntary-tribalism-future … #America #Brexit #Freedom
693,"*@Brexit_Voice @bbcthree alright, armed men forcing women to strip in public is barbaric. She was relaxing with her child. That's terrorism"""
690,"*#BREXIT All the way !!! #Scotland #Wales #NI #England #UK Their meat is barbaric halal, which they don't disclose!!! """
691,"*Every £ spent at Sainsbury's is money into the EU-federalist cause. If you don't like it, don't shop there:"
20,"*Just change the rules so that their barbaric war against the disabled continues on, like Brexit, Bill of Rights and protecting the 1%..."""
21,*Sharia law is barbaric & those who follow it will never want to integrate. Their philosphy is to TAKE OVER!!. 
22,*@DarrenMole @Sierra117_Jon why dong you take some security or protection with you! That's why I voted brexit these prople are barbaric
23,"*@brexit_turds @johnpin79 @renlightenment Listen, if you want to defend a barbaric religion, just do. No need for this absurdity."""
698,*Yes. See: the Fords appeal; @KellieLeitch & @calxandr's Barbaric Cultural hotline; racism after Brexit vote.  
699,"*This is bigger than Trump. Whole conservative movement - everywhere - UK, Canada - has been appealing to baser, darker instincts for years."""
1254,"*@LeaveEUOfficial @ranvir01 if she said that she's a stupid idiotic woman, ISLAM nothing to do with Brexit, ISIS BEEN BARBARIC FOR DECADES"""
407,*@thetimes How barbaric are we becoming after the #Brexit vote! Not my Britain and not in my name. Xenophobia cannot become respectable.
0,*I'm totally bored of hearing about #Brexit and #Trump ....
405,"*@fhollande after his comments """"the #UK must be punished"""" I wish I voted to leave now! What a rude and barbaric man!! #Brexit"""
404,*Continuing the slide to barbaric nationalism.
403,*BREXIT IS BREXIT AND SHARIA IS FKN BARBARIC!!!
4,"*The SNP incur the wrath of the Deputy Speaker by humming & singing the Anthem of Europe, Ode to Joy, while awaiting the #brexit vote result. """
401,"*The EU is a good try for the liberalism, but in confrontation with barbaric religion, the bureaucracy becomes a group of clowns. #Brexit"""
400,*Spain gobbling off about Scotland lol
