Number,Tweet
669,*@nickreeves9876 @trevorw1953 when in fact we are all Europeans - scratch the surface of any Brexit person & they'd not be a Pict or Celt.
668,"*Time to reinstate the dual language, dual faith North Sea/Anglo-Scandinavian Empire! #Brexit #Cnut #NorthSea #Norse #Celt #Saxon pic.twitter.com/mgLfgALiJH"""
667,"*Britain will be treated 'like Greece during bailout when it comes to Brexit talks, Malta's PM warns http://www.telegraph.co.uk/news/2016/10/04/britain-to-be-treated-like-greece-in-brexit-talks/ …  #RegressiveNews"""
666,*@meljomur @waco61 @Tom_Celt @theSNP @scotgp Esp if done alongside EU as part of necessary Brexit avoidance action.
665,*@NicolaSturgeon @AlexSalmond @eddireader @BBCTomEnglish @Tom_Celt @citizentommy #Brexit @theSNP @Kevin_Maguire @BolsoverBeast Breaking news!
664,"*Just left a meeting with David Davis on how to get best Brexit deal for Scotland, to read Nicola Sturgeon threaten to breakup the UK. Again."""
663,*Keep it up. Clear where you stand #Brexit 
662,"*@ukschizophrenic The """"eat your cereal"""" strategy. We are colonies in their eyes. The last of their empire."""
661,*I am a Celt first.
660,*A brythonic celt.
20,*Tories genuinely blank all sense of irony when they open their mouths don't they?
21,*clears throat
22,*People in Scotland don't share SNP tunnel vision obsession with independence. #indyref2 would be hugely divisive at worst possible time
23,*@Tom_Celt @ameninaluz @Hepworthclare  yes at least in Scotland we have been given a life line. Rest of UK condemned to uncertain Brexit 
0,"*Here's the thing about """" #calexit """" and brexit. UK has an army, EU doesn't.  US has an army, California doesn't. See the math here?"""
4,*Resurrect for Brexit. Where wld l relocate my business to? 1st choice wld now be an EU English speaking country?  https://www.ft.com/content/7ba064e4-3a61-11e4-bd08-00144feabdc0 …
8,"*@fitzscrounger @May4Yoonsoot @Tom_Celt probably not. But possibly hard Brexit is the way to sink economy fast and """"rebuild""""?"""
1483,*@JColl44 @AFC_Bam @AFC_unningham Vote for Celt freedom Vote Brexit
674,*@ISaidAye See #Brexit
675,*Anglo Celt - UK has no Brexit plan - MEP McGuinness https://shar.es/1ZwuGq  via @sharethis
