Number,Tweet
3715,"*@KemeshaKelly_ Celts, Saxons, Vikings, Romans...been a long history of immigration from centuries before #brexit"""
3714,"*@missyasin Hehe, Celts showing they didn't even want to be part of the UK in the first place #Brexit """
2369,*Ironic that the descendants of ancient immigrants voted overwhelmingly for #Brexit while celts didn't.#tongueincheek https://twitter.com/maiolsanauja/status/757303511008874496 …
3711,"*Silly Britain, you threaten to leave to freak out the bigger power then narrowly vote to STAY...have the Celts taught you nothing?! #Brexit"""
3710,*#Brexit #ukpoli #EUref  And next we have a song going out to @David_Cameron from the Celts. 
3713,*Not sure if I'm more sad about Celts draft night or brexit becoming a reality.
3712,"*The Celts draft wasnt ideal (potentially) but man, Britain's draft was real rough. #brexit #NBADraft"""
6091,"*Interesting point from @MerrynSW on Scotland, Brexit & UK. She's right on SNP threats - grievance is their politics! """
5078,"*@TheScotsman If Brexit comes out to leave can we see demographics, if Celts want to stay can we let England go alone and leave us as UK?"""
5079,*EU referendum: Provincial England versus London and the Celts https://yougov.co.uk/news/2016/03/24/eu-referendum-provincial-england-versus-london-and/ … interesting stats #brexit #demography
6088,*@MabionGlyndwr those brexit thugs forget about the forced union of this island in which the english centrally control the celts
6089,*@heraldscotland All the Celts united against Brexit. Only England dithering.
5072,"*""""We are Celts. No one tells us what to do""""!! Cornwall’s Brexit backers show that money cannot buy EU love: http://on.ft.com/1Oz7xlO  via @FT"""
5073,"*#Brexit Remember that Celts, Romans, Angles, Jutes, Saxons, Vikings & Normans were all EU migrants were all pesky immigrants from Europe."""
5070,*The European Union wouldnt be the only union imperiled by #Brexit. The 300-year-old British union between English and Celts could fall apart
5071,*No one tells Celts what to do. Just the English. But they're unlike the English who can be told what to do #Brexit 
5076,*@LisaMuggeridge @wildwalkerwoman the penny may drop amongst the English soon enuff #Celts much more #prescient albeit EU flagsuckers
5077,*Think that's what ll happen anyway #Celts remain #England brexit @tartanarse @Celticsea692 @UKLabour @scottishlabour @GraceBrodie
5074,*[Column] #Bremain would mean provincial #England has been 'thwarted by a coalition of Londoners and Celts'.
5075,*@Eileen43Eileen @hazelglasgow Brexit wld mean huge constitutional crisis which cld well lead to break up of UK tho. Freedom for a Celts?
2368,*@CGWWWalker @anthea_bailey Brexit a fiendish masterplan to allow England to lead the world free of irritating Celts?
20,"*@bbagan79_bagan  . #WelchIndy, #Ireland too.  Celts unite. Don't end up like USA, or go down with Brexit.  Resist  right wing fake news."""
21,*I take it everyone in the UK gets a referendum over #Brexit once the terms are known?? #indyref2
5829,*The #Brexit #Referendum: Provincial England Versus London And The Celts #longreads
2381,"*For many Celts, #Brexit referendum proved something they already suspected: most of the English don't care about Scotland or Ireland."""
4586,*#brexit what happened to the ancient war torn hardened  Celts? Leave the Union and turn back to the Lord.
0,"*""""Well what do you know?"
4,*The benefits of Brexit are simple. So simple they cannot be articulated. But we will get our country back from those heinous Celts! 
8,*Always hoped a Norway style agreement would be Scotland's future. Would appease some Brexit voters in #indyref2 too @NicolaSturgeon @theSNP
5067,*Totally impossible.
5066,*What we have to say tonight about #Celts at #cheltscifest is really so relevant to the EU #Brexit debate.
7,"*@Labour_Celts absolutely democracy should be respected. With Brexit, we can't deny things have changed. I think it would show maturity."""
5069,*Iron Age Europe was already connected #Celts @NtlMuseumsScot Does UK want to go back to pre-Iron Age? No #Brexit #Stay
5068,*WATCH: Narrow Remain vote will be 'hard for PM to handle' says @DavidDavisMP #bbcsp http://bbc.in/1TQ38ru 
120,*@Labour_Celts so that explains the unionist Labour Party repeatedly voting to back Tory austerity cuts & abstaining in Brexit amendments?
121,*@Labour_Celts this is exactly the shite that you Unionist Brexit voting Tory backers are supporting. Shameful Westminster-supporting clowns 
122,"*Once the UK leaves the EU , will all decisions relating to agriculture & fisheries be taken by @ScotParl & @scotgov? No answer. """
123,*@AngelaHaggerty @francesbarber13 Eh? Hadrian's Wall and Offa's Dyke were built to keep Celts out of England.Brexit is new wall of ignorance
124,"*Loss of identity is a real issue, but not a new one. Ask the Celts that lost their identity when the Saxons arrived from Germany... #brexit"""
125,*@Labour_Celts @blairmcdougall fight against Brexit? Use HoL to give changes to bill? Labour still in Tory pockets.... 
126,*Lords just voted down Peter Hain's attempt to amend the Article 50 Bill to keep UK in Single Market: 299 to 136 - Labour voted with Govt
127,*@Labour_Celts Here's #brexit 
128,*Never said Blair was main cause. But his & Mandy's intervention on #Brexit certainly didint help did it? His timing was meticulous. https://twitter.com/ccostello1999/status/835056557452890112 …
6090,*@Labour_Celts @MerrynSW totally agree brexit would finish snps hopes of indy.not many would vote to be worse off.lost uk trade euros eu.?
6093,*@MabionGlyndwr Would love to see the Indyref No / Brexit reaction if it works the other way - England says Out but the Celts tip it into In
6092,*@Labour_Celts @M_Star_Online well if England lead a brexit then Scotland will vote for indie. So if you value British Union then vote remain
6095,"*The only case for Brexit is the one Scotland will pack on a trip towards Brussels, taking the other Celts with them. """
4598,*Finally made it to NMS's amazing #Celts exhibition. 'Europe' already interconnected in 500BC. #Brexit aims to turn clock back 26 centuries.
6097,*@Labour_Celts @StrongerUnited1
6096,"*Prominent Eurosceptic, @DavidDavisMP on why the case for Brexit is increasing by the day. http://dailym.ai/1klG7B  """
3085,*The Fourth Turning - Veterans Today - http://stateofglobe.com/2016/06/28/the-fourth-turning-veterans-today/ … - #Brexit #Celts #Christianity #Egypt #EU #FourthTurning
3708,"*Fuck yes #Ireland ! REUNIFY! Upside of this fucking shitshow #Brexit, #Scotland  seems done, too. Smart people, Celts."""
298,"*@Labour_Celts Brexit a bit of a fundamental game changer, mate."""
299,"*@TomDickson1 @spotthedog67 @Labour_Celts @UKLabour three line whip for brexit but not syria, trident, ipbill or austerity?"""
296,*@RossFootball was always going to be difficult after the local #brexit vote. Referendums change politics. Scot Lab knows all about that.
297,*@DPJHodges @scottishlabour 
294,"*@Labour_Celts Your party needs to deal with the war criminal.farting bout brexit uprising whilst ignoring over 1,000, 000 protestin on st.!"""
295,*Stoke -great result considering #Brexit divisions. Places like Copeland need 2 do better
293,"*@Labour_Celts well labour backed Tories with Syria war and brexit, so..."""
1234,*#Brexit #negotiations #ukgov
