Number,Tweet
1718,"*The more #Theresa May says """"#Brexit mean Brexit"""" the more I'm reminded of Marc Antony saying """"I come to bury Caesar, not to praise him"""""""
0,*Julius Caesar Act 4 Scene 3 by William Shakespeare. How very apt for today's world.#brexit #ShakespeareSunday pic.twitter.com/Eyex7wcqT7
3996,*I bet Caesar from #PlanetOfTheApes would have thought of a #Brexit plan.
3995,*RT @MrShomoye: Cameron resigned because of Brexit
3994,*ET. TU BRUTU .... ( Julius Caesar  brexit) ... 
3993,*I feel like #Brexit was the crowd in Gladiator cheering for Caesar then realized they had Russell Crowe. #NoRegerts
3992,*YouGov/ Times poll bad news for any lingering Osborne leadership hopes. Anyone remember the Osborne Caesar Haircut Power Makeover? #Brexit
3991,"*Farage Roasts EU Bureaucrats: “You’re Not Laughing Now, Are You?” #Brexit #tcot http://www.infowars.com/farage-roasts-eu-bureaucrats-youre-not-laughing-now-are-you/ … via @realalexjones"""
3990,*“Low Information”: Video Shows Incredibly Stupid Anti-Brexit Protester #UK #Brexit #tcot http://www.infowars.com/low-information-video-shows-incredibly-stupid-anti-brexit-protester/ … via @realalexjones
270,*Donald Trump Elected President In Brexit 2.0 On Steroids 
271,*Hail Caesar - Trump is Mr Brexit! #PraiseKek #LiberalTears
272,"*It happened with Brexit, the days after those that voted in favour of it wanted the foreigners gone #electionday"""
273,*@business @Brexit a cheap businessperson as #POTUS? America will certainly laugh at this choice 10 years later
274,*Give to God what is God and to Caesar what is Caesar's. You cannot give to Caesar what is God's. Glwt brexit
275,*@macron_ トランプ旋風などとまとめて語られるので盛大に誤解が生じていそうですが、Brexitについては概ね「どちらが経済的に有利か」の争いだったと思われます。
276,*To quote Caesar: 'Alea iacta est' https://euobserver.com/uk-referendum/135580 … #Scotland #indyref2 #brexit
17864,*#UK #EU #Brexit Cameron's Caesar's Legions speech http://www.telegraph.co.uk/news/newsvideo/uk-politics-video/9820375/David-Camerons-Europe-speech-in-full.html … >> it will go down in history..
6509,*Boicot al Corte Inglés. #Brexit
6508,"*I'll show you a """"Remain"""" campaign. #Brexit"""
6503,*Keep your compliant minions & your @Pontifex caesar snout out of politics
6502,*May the world punish you & your EU FICTION construct @Pontifex caesar
6501,"*At the end of a crazy week: Ofsted and Brexit,  a moment of calm at the top of Caesar's Camp. """
6500,*Planning meals for this week. Caesar salad made me pause because it's got Romaine Leaves and now I'm confused. #brexit
6507,*Leaves... Romaine... Lettuce not be divided. Caesar positives. Not just the tip of the iceberg. #yousalads #Brexit
6506,"*""""Caesar, in Britannia hat man gegen den Verbleib im Römischen Reich abgestimmt.""""  #Brexit """
6505,*Sounds like a NWO agenda to me @Pontifex caesar
6504,"*Jo Cox, the Brexit Vote, and the Politics of Murder (Ed Caesar / New Yorker) http://www.newyorker.com/news/news-desk/the-politics-of-murder-in-britain …"""
17513,"*#EU #Brexit The Lord Who of Where and the Caesar's legions speech, Cameron's stumble here http://www.breakingviews.com/hugo-dixon-uk-prepares-for-possible-eu-failure/21155802.article#.U8ZvZhmwUlU.twitter … HT @Sam1Fleming"""
11224,*@WritingSupplier @gavmac3 #Juncker thinks he's Caesar.  #Brexit #EUref
11223,"*@Caesar_ViaosNus @Estadao Caesar,  BREXIT  vai aumentar racismo e intolerância com imigração! """
11222,"*23 June 47bC birth of #Caesarion, son of #Cleaopatra and #Caesar, depicted with mother at  #Dendera temple. #brexit """
11221,"*""""Britain or Nothing"""". Cit. Caesar #Brexit #remain #ReferendumDay"""
11220,"*If Brexit wins see knives out for Cameron. Like Shakespearean play, Cameron is Julius Caesar, Boris plays Brutus. Unkindest cut of all!"""
854,*I’m re-watching ‘Rome’ for first time since Brexit whilst reading @holland_tom ’s ‘Dynasty: The Rise and Fall of the House of Caesar '
855,*@SarahLouise21 @nytimes @_StephenCastle #Brexit eers eerily remind me of Brutus and his fellow companions following assassination of Caesar.
856,"*EU Banks Prepare For """"Economic Nuclear Winter"""" As Brexit Blowback Looms: While some European bank st... http://bit.ly/2c4ouDY  #FinTech"""
850,*VIX Spikes Most Since Brexit As S&P Tests 2-Month Lows: Well that escalated quickly...
851,*I scored 28 out of 30 on From Caesar to Brexit: The English History Quiz http://fb.me/FQlbTIFU 
852,"*Is it true that Mrs May is taking the role of Brutus in the new version of E.U. Caesar ? Et tu Brexit ,  """
853,*Theresa May doesn't think we need a points-based immigration system.
6,*Thousands march in London in 'defiance' of Brexit and Trump 
