Number,Tweet
1615,*They said Southern England's #UKIP would be the one to bring down the British elite!
1612,"*At long last a #UKIP policy I can agree with, bugger off Tory England and leave us celts contented ;-) http://bit.ly/1usEl4z """
1613,*@UKIP UKIP is just another anti England unionist party bootlicking the Celts just to preserve the union at England's expense.
133,*UKIP pick a new leader ! https://www.facebook.com/LabourCelts/posts/594828534032473 …
132,*@Ichy_Vagenda @Moonchalis @HogynDa oh if only. Would love UKIP to go for English Indy. Us celts stick together then
131,*Jingle bells.
130,"*Paul Nuttall new leader of UKIP.  Now lets get equality for England with our parliament, free prescriptions & free tuition like Celts have."""
137,*First time reading cringeworthy drivel @kittycatboyd wrote in the National. No wonder she got less votes than UKIP  
136,*@JamesKellyLab @Labour_Celts Are you UKIP?
135,"*I hope @UKIP have demanded that those saving the life of @Steven_Woolfe right now are original descendants of the Gauls, Celts and Romans."""
134,"*@georgegalloway @Labour_Celts I hope you've been in no """"fisty cuffs"""" Mr G  ? UKIP knockout. ."""
139,*@stephentoon589 @prwhittle @UKIP @DavidLammy @marchforeurope @CatherineWest1 @eddieizzard @OwenJones84 England for Celts. Go hme Angle trash
138,*@JonathanArnott @UKIP @EveningChron We English are fed up with being ridden roughshod over for the sake of a UK half of Celts don't want.
20,*@Labour_Celts AGM today #BetterTogether󾓪 @UKLabour @UKIP @Conservatives @LibDems 󾓪 BritishNationalistsUnited󾓪 
21,*@spotthedog67 @GOVUK @Conservatives @UKLabour @LibDems @UKIP @Labour_Celts What chance Does Westminster offer them? None they are expendable 
22,*@keepyup1967 @spotthedog67 @GOVUK @Conservatives @UKLabour @LibDems @UKIP @Labour_Celts Sadly that is true...unless #indyref2
23,*@spotthedog67 @45albannach @GOVUK @Conservatives @UKLabour @LibDems @UKIP @Labour_Celts . The very generation that will suffer most.
2079,"*UKIP disagree with an EU, created by UK universal suffrage? Yet agrees with the British union, created by... "
0,*Annoy pagan babes u know by telling them their wishy-washy Celts were the #ukip of their day refusing the ultimate European project: Rome.
4,*@johnmcdonnellMP excellent & honest on BBCR4. Brilliant result in smashing UKIP but lessons 2 learn in Copeland
8,"*So basically @Labour_Celts  take the side of the Orange Order BNP UKIP Britain First before the """"settled will"""" of the Scottish Parliament"""
869,*@Redpeter99 He could say same abt his own mob doing deal with UKIP's Little Englanders: English imperialism always goes down well with Celts
368,*@TomDickson1 @Labour_Celts but you ll wave your wee Union Jack campaign with the Tories UKIP and Orange Order and call yerselves socialists
868,*UKIP take note - we have long been a nation of many tribes
1621,"*@jreedmp @AM_HC All Celts descent from the Basque Country. So, technically, you're Spanish. #ukip"""
120,*@DPJHodges @scottishlabour 
121,*@Labour_Celts looks like ukip will get a thrashing
122,"*@Labour_Celts with his #BetterTogether Flag,don't anyone be getting on to him, He Supports TheUnion along with @Conservatives @LibDems @UKIP """
123,*The Lefty Rump @M_Star_Online said Scotland was BetterTogether with @GOVUK @Conservatives @UKLabour @LibDems @UKIP .. @Labour_Celts  
124,*Universal basic income: Best choice for the job? http://morningstaronline.co.uk/a-7d58-Universial-basic-income-best-choice-for-the-job …
125,*@Labour_Celts @kezdugdale branch @scottishlabour @UKLabour Said Scotland was BetterTogether with @Conservatives @LibDems @UKIP @GOVUK Yuk
126,*@Labour_Celts says Scotland is #bettertogether with London @UKLabour  @Conservatives @LibDems @UKIP RedBlueYellowPurpleTories  IndyRef2YES 
127,*@Hepworthclare now if ukip & edl take do this they'll vacate UK  in favour of Celts and go back to being European 
128,*@dsmooney @UKIP Surely while we're still in it we should help fellow Celts milk the bastards for all they can?
129,*Who wants to enjoy pointing out to her that there's actually no such thing as 'Celts'? 
2071,"*Take away everyone that can't be traced back to Celts, Gauls, Vikings, Huns etc (IMMIGRANTS) and there wouldn't be anyone left. Vote #UKIP!"""
1626,"*Dear UKIP, do you agree that the violent, job-stealing mobs of Anglo-Saxons should go back to Europe and give England back to the Celts?"""
2999,"*@BleedLikeMe_ Which """"Indigenous Brits"""" does #UKIP favor Picts or Celts? Trying to get rid of Angles & Saxons?"""
2070,*I'm intrigued as to who UKIP think the indigenous British people are? Anglo Saxons? German. Celts? Irish. Normans? French. Er....
1625,"*Any white UKIP ppl annoyed that foreigners come here, can all you Anglo-Saxons fuck off pls, us celts were here first. #logicalextreme"""
2077,"*#UKIP aren't only a threat to Gays, Ethnic Minorities, Women, Disabled, Celts & Human Rights!"
1624,"*So UKIP is a bunch of Celts and Druids, right?"""
1622,*Dear #ukip your new friends want to deport indigenous people's http://en.m.wikipedia.org/wiki/Sweden_Democrats#Sami_people … I guess the celts must start to worry!
379,*@ukschizophrenic @LeanneWood @UKIPWales @Nigel_Farage 
378,"*@TheRedRag @UKIP The Celts arrived in the British Isles 800-40BC. Scots came to GB around 500AD, same as the English."""
3006,*@ukschizophrenic #ukip and the celts
2075,"*@athanaseus My prediction. Scotland 0; Wales 0, NI 0...UKIP only have support in England as the Celts know they are a sham. Good luck"""
371,*.@MarkFrance62 great. so all England can vote Tory and Ukip untroubled by Celts
370,*@paulnuttallukip @Ukip wants 'Celtic coalition' to protect union http://www.belfasttelegraph.co.uk/news/northern-ireland/ukip-wants-celtic-coalition-to-protect-union-34604358.html …  @BelTel Celts gang up against the English already.
373,*SNP & UKIP are remarkably similar. 1 shouts at Jonny foreigner 2 Brussels. The other shouts Jonny foreigner 2 London 
372,*@legallymad66 @JRTomlinAuthor Really. Might be a UKIP plot to stop cultural exchange between celts. UKip cyber terrorism
375,"*#Ukip : """"Bloody Celts, comin' over 'ere, with their .. .wheels and stuff.."""""
374,*@ScotlandTonight time Scot TV was making case for migrants and not dancing to UKIP tune .. migrants are needed and good
377,"*@ianssmart @Labour_Celts what utter tripe. Celtic fans supporting the same cause as OO, NF,BNP, UKIP disgusting."""
376,*Archeologists uncovered a perfect Bronze Age wheel. http://smithmag.co/P2djDN  
591,"*@CkoffFu @BluesRobert @UKIP @Nigel_Farage Yes I am Votandini, My people were here before all immigrants  Before Celts, Druids, Romans, Etc."""
590,*@timburrows @BritUnofficial UKIP will en up a east Anglian version of Plied Cymru for Wends and Jutes rather than celts
593,*Ukip want English votes while denying England what the celts have.#democracy
592,*Cymru welcomed people from ice age to the Celts. Industrial revolution saw mass immigration from all over. No place 4 UKIP and UK nats here!
595,"*@BBCNews @hendopolis The celts said that after the romans Invaded, and the Anglo Saxons said that after the Normans, Whats New #farage #UKIP"""
