Number,Tweet
3799,"*@1laure77 @quatremer Je ne suis pas devin ! mais un Brexit peut forcer une réforme institutionnelle de l'Europe de """"Charlemagne"""""""
3798,"*#Cameron, #Britain, #EU and self-inflicted wounds - #Brexit #Charlemagne "
3795,*The Economist | Charlemagne: Special privileges #Brexit 
3794,*BREXIT READER VIEWS… The Economist’s Charlemagne columnist has read the mood of Playbook readers — (cont) http://tl.gd/n_1soas1d 
3797,*The #EU is recreating the empire of Charlemagne & all we want is trade. Their dream is not our dream. We cannot live their dream. #brexit
3796,*Charlemagne: Special privileges http://econ.st/1KHgYOc  käyttäjältä @TheEconomist #eu #britannia #brexit #optout #politiikka
3791,"*Charlemagne: """"UK membership of EU suits Ireland perfectly. Brexit would open old wounds"""" http://econ.st/1RksYmc  via @TheEconomist"""
3790,*Interesting take on Irish view of #Brexit -The Economist | Charlemagne: A terrible problem is born
3793,"*The history of Europe is one of short-lived empires; Rome could not hold it, nor Charlemagne's heirs, nor any Holy Roman Emperor #brexit"""
3792,*Charlemagne: Ever farther union more real than closer federal Europe http://econ.st/1QHdOfQ  via @TheEconomist #UKinEU #EUreferendum #Brexit
0,*Charlemagne prize for promoting European values goes to Brit historian Timothy Garton Ash @fromTGA. Last year's winner was @Pontifex #Brexit
4,*François Fillon’s presidential race is a magnificent crash http://www.economist.com/news/europe/21718528-republican-candidates-supreme-confidence-could-be-wrecking-his-partys-hopes-fran-ois-fillons … via @TheEconomist #Brexit #Fillon #EnMarche #LePen
8,"*. @stephendball @BorisJohnson  Louis XlV, Napoleon, Charlemagne, Hitler, EU sought superstate. https://cyberboris.wordpress.com/2016/05/16/sky-news-desperate-to-silence-boris-johnson-over-his-warning-of-an-eu-superstate/ … #Brexit @borisjohnson"""
3156,"*@StrongerIn be will have no Country,  his history will be  slowly erased to focus of charlamagne, napoleon and the unmentionable one #brexit"""
2749,*With #Brexit I need a healthy dose of @TheEconomist #Charlemagne
122,"*Charlemagne: The EU’s #Brexit negotiators prepare for disaster. Still, it's the sexiest job in Brussels http://www.economist.com/news/europe/21711886-still-its-sexiest-job-brussels-eus-brexit-negotiators-prepare-disaster …"""
123,*Brexit : The sexiest job in Brussels or the CV-builder #charlemagne 
124,"*Charlemagne - http://itegistry.com/9bd59  After Brexit, a timely read on Charlemagne, 'father of Europe'"""
313,*Some post-brexit advice for Angela and Theresa from @tom_nuttall Charlemagne: Correspondence club http://econ.st/2a2clBL  via @TheEconomist
312,*Charlemagne's masterful metaphor: Brexit 'extracting glue-slathered octopus from a basket of 27 other ones'
311,*Our Charlemagne columnist has advice for British and German leaders on navigating Brexit http://econ.st/2ayOdaS 
310,*From the great @TheEconomist 
2358,"*@ericbrunet @RMCinfo  Avec le Brexit, Nous vivons un moment historique depuis Charlemagne. Pas de Frexit, mais plutôt etat fédéral FR/D"""
2763,*BBC news shows 'Bite the Ballot' as neutral. But BtB received Charlemagne youth prize awarded for work on European integration.#Brexit
3,*UK faces tension between goals of leaving #ECJ and maintaining close trade relationship with #EU http://www.economist.com/news/europe/21717836-every-trade-relationship-needs-umpire-it-or-not-britain-may-find-it-hard-escape … #Brexit
2359,*Brexit: Charlemagne vs. ‘Rule Britannia!’ http://sfppr.org/2016/06/brexit-charlemagne-vs-rule-britannia/ … via @sfppr
7,*Britain's slow and agonizing meltdown: The EU’s Brexit negotiators prepare for disaster - Charlemagne http://eu-digest.blogspot.com/2017/02/britains-slow-and-agonizing-meltdown.html …
2762,*Wondering if post-Brexit EU goes Gorbachev or Lincoln. Or perhaps shed the eastern states and go Charlemagne...
2761,"*On #Brexit, I visited UK after 1975 ref. I saw a note on a wall: no to Europe of Hitler and Charlemagne. Quite distorted history."""
308,"*@AnnabelKaye @geniuswriter1 @PeteCollier1 /Napoleon, Louis XlV, Hitler and Charlemagne.  https://cyberboris.wordpress.com/2016/05/16/sky-news-desperate-to-silence-boris-johnson-over-his-warning-of-an-eu-superstate/ … Killing democray. #Brexit"""
309,*Frexitが起こった場合のIFストーリー。
2760,*Super !!!
300,*D'une Europe version anglaise à la pan Europe
301,"*@margarance @MichRugbyZwolle @Insinuare https://cyberboris.wordpress.com/2016/05/16/sky-news-desperate-to-silence-boris-johnson-over-his-warning-of-an-eu-superstate/ …  EU follows Napoleon, Hitler, Charlemagne, in setting up superstate. #Brexit"""
302,"*In 1999, Tony Blair got the """"Charlemagne Prize for European Integration"""". I and friends sang at the ceremony in Germany. Sad changes #Brexit"""
303,"*@gohchengyong201 @MikeDavidsohn @Insinuare @Davidxvx https://cyberboris.wordpress.com/2016/05/16/sky-news-desperate-to-silence-boris-johnson-over-his-warning-of-an-eu-superstate/ … Same behaviour as Napoleon, Hitler, Charlemagne  #Brexit"""
304,"*@mjs64 Maybe look at history?  Caligula, Charlemagne, Louis XlV, Napoleon, Hitler. All killed democracies, for superstate. #Brexit"""
305,"*@mjs64 Napoleon, Caligula, Charlemagne, Hitler, did same, look how that worked out!  Killed off democracy like EU is doing. #brexit"""
306,"*@CornesLawNZUK Any1 who overthrows democracy is a traitor Also a dictator like Caligula, Napoleon, Charlemagne, Hitler & Louis XlV.  #Brexit"""
307,*Britain in a close 4th but only because of Charlemagne and Brexit
3153,*Heath didn't realise he was conned out of our waters at time he was so desperate to get Charlemagne Prize #brexit 
3152,*Vote Leave – it’s what St Augustine would have wanted http://buff.ly/1TJg2Kd  by Alan Fimister 
3151,*Libido dominandi - the perpetual curse of mainland Europe from Charlemagne on #brexit for true religion 
3150,"*It's didn't have to be a straight in/out debate - Cameron has fucked up here.  Charlemagne, Napoleon, Hitler... When will we learn? #Brexit"""
3157,*Domination of Europe
2765,"*EU elites, with Charlemagne complexes,are destroying the ancient nations of Europe. A soulless project for demoralized peoples  #Brexit"""
3155,*#Brexit compromise no. 3
3154,*David Cameron & the staged reports from IMF fail to mention thousands of jobs created from getting UK waters back 
3159,*@TelegraphNews once again it seems #DishonestDave the champagne Charlemagne has been misleading the public! #CantTrustIN #Brexit
2764,*Tony Blair won the Charlemagne Prize He is bought and paid for by the Nazis behind EU He would warn against Brexit 
