Number,Tweet
33328,*@TheBillyMathers @Gjon777 @DavidJo52951945 Things have moved on since the dark ages You can only fill a cup so far then it overflows #Brexit
33329,*how did Brexit even come about? if y'all screw this up in Britain by leaving.... it's a wrappinngton for ya. dark ages.
33322,"*Met je 'Rule Brittania, Brittania rules the waves'... In the dark ages ja. #lafvolkje #Brexit"""
33323,*@jones1066AD @thehistoryguy Gladiators abolished by then; more slavery with Anglo-Saxons than Rome; GB in Dark Ages after 4thC Brexit. Sorry
33320,*Farage and Johnson and their playground politics need to be smashed back to the dark ages. #Remain #brexit. Improve from within.
33321,*For anyone who has't grasped it yet: #Brexit means back to the Dark Ages https://twitter.com/NorthAges/status/745900542224891904 …
33326,*Given the recent history of sheep to vote for their slaughter:
33327,*@realDonaldTrump  also Mr.Trump Europe is set back to the dark ages countries are building walls everywhere #Brexit cause of it yea Clinton
33324,*By voting 4 Brexit you r sending us back to the dark ages. Please VOTE REMAIN.
33325,*Sri Lanka worries #Brexit will return Britain to the Dark Ages - that was a rough time for cats. #catsagainstbrexit
25263,*Calm down ffs. Threats to workers and women's rights?? We are not going to be suddenly plunged back into the dark ages #Brexit
3856,*The regressive world is in full swing..
0,*I've always wondered what it'd be like to time travel; to experience the horror of the dark ages. 
3854,*They say things go full circle and by that I mean seems that the world is going back to the dark ages. #Brexit #Trump I'm officially scared!
3855,*That feeling of waking up to the Dark Ages... #Brexit #USElection2016
3852,"*New reality show, brexiteers and trump voters on an island, over 6 weeks we watch how far into the dark ages they go #Election2016 #brexit"""
3853,"*Between Brexit and this election night, I feel like we've gone back to the dark ages. There are no words..."""
3850,*First #brexit and #LePen now #trump isolationism and a return to the Dark Ages... #USElection2016
3851,*Back to the dark ages then. #trump #brexit
3858,*Hasn't been nearly enough coverage on Clinton potentially becoming the first female President?
3859,*Brexit then Trump-it. Wow #2016 you're a portal to the dark ages aren't you? #ElectionNight
2912,"*Trump, Brexit, Farage feels like the dawning of a new dark ages """
2913,*Brexiters & Brexit are doing their best to 'do away with' experts altogether........ university by university
2914,*@BrexitBin stay strong no amount of #Brexit flim-flam will take Modern Britain back to the dark ages
2915,"*@twiterney @H_L_Thompson Brexit meandering a big sister of the teenage mutant ninja turtles, in a club of the dark ages."""
2916,*“a major setback if not devastating.It cld put us back into the ‘dark ages’ of almost the pre-satellite era”.Brexit+++(on the stupid scale). 
2917,*Trump’s right to emphasise exploring deep space if he’s intent on destroying life on earth via climate change… https://www.theguardian.com/environment/2016/nov/22/nasa-earth-donald-trump-eliminate-climate-change-research?CMP=Share_iOSApp_Other …
2918,"*Given Brexit and Trump, @badreligion were prescient as always. New Dark Ages. https://youtu.be/RGqA1lNXYhg  via @YouTube"""
2919,*That's what progress looks like. Not Clarkeson/UKIP/Brexit-back-to-the-f
31066,*I think this is how the Dark Ages started. #westernciv #brexit #copolitics
1069,"*From Obama to Trump, from the EU to #Brexit, what a collapse of sanity."""
1068,*Back to the dark ages...gone with the principles of enlightenment..#Brexit #Trump
36265,"*Agree, except perhaps not first time in history — similar in mediaeval dark ages. Brexit would take us back there. """
41846,*#Roman Fort dig starting near #Lancaster Priory reminds me last #Brexit ended with a few centuries of the dark ages! 
33319,*King Alfred the Great... In search of.. The dark Ages Uk brexit 
41847,*@WorthingUKIP I'm against a Brexit as it would isolate the UK & SEND THE COUNTRY BACK TO THE DARK AGES LIKE Pakistan or East Europe #brexit
31060,"*Would it be the horror of dark ages, or millennia of new Renaissance?Don't know. But for now it seems Rome is falling.#Brexit #EURefResults"""
36257,*@Telegraph We may see more of that if there's Brexit  back to the dark ages #Brexit
1087,*BrExit Cons: We're headed back to the dark ages.
1086,*So we are now moving to the dark ages #brexit
1085,*Looks like Theresa May is absolutely convinced Brexit is a time machine to send us back to the dark ages no matter how poor it will makes us
1084,*@TheLawMap @jurylady5 @guardian Brexit is sending UK back to the Dark Ages in no uncertain terms..
1083,*Definite article definitely more appropriate. Brexit loser in scale to 
1082,*EU should be grateful for BREXIT. Why would the rest endure a country that is devolving to the dark ages.
1081,*@EdmundTuckey is that why trump said UK was doing well after Brexit as May leads up back into the dark ages?
1080,"*Welcome to the western dark ages, eastern dominance is coming. #brexit #TrumpInauguration #PresidentTrump #lepen2017"""
15924,"*""""Let's take our country back .... to the Dark Ages."""" #Brexit"""
15925,*More 4 have replaced A Place in the Sun with Time Team. So it seems we can't have a holiday home & we're going back to the dark ages #Brexit
15926,*The rise of racism amidst Brexit is worrying. Never expected this to happen in the UK. Guess we're going back to the dark ages
15927,"*@richardbranson We are finally free Richard from the corrupt EU, why would we return to the dark ages? #Brexit"""
15920,*Brexit: a referendum on returning to the Dark Ages. The Dark Ages wins: Brits choose bleeding to cure ills. #nobrexithere
15921,*Brexit - taking your country back...to the Dark Ages. ironically (I guess) by removing people with dark skin.
1089,"*UK heading back to the Dark Ages. UK risks 'disorderly crash landing' on #Brexit, business leaders warn"""
1088,*Not long to go until Theresa May puts the UK economy back in to the dark ages #brexit
270,*@JaniceLRobinson Thsts just what a woman on her period would 
271,"*Welcome to the new dark ages, where only the wealthy can retire | Peter Fleming https://www.theguardian.com/commentisfree/2017/feb/14/wealthy-retire-austerity-pensioners-work?CMP=share_btn_tw … #Resist #Brexit"""
272,"*I'm beginning to think your an anarchist. #brexit is a nihilistic nightmare for UK population. No hope, no future. Return of the dark ages. """
273,"*@davdiy Your country is part of the Union that belongs to the EU. You peers voted to stay in that Union. Therefore, your country is out."""
5414,*Problem for us is that Brexiteers would be happy to send UK back to the dark ages if it still meant #Brexit 
5415,"*Britain may decide against Brexit when they realise just how painful it will be, warns EU chief http://www.telegraph.co.uk/news/2016/10/13/britain-may-decide-against-brexit-when-they-realise-just-how-pai/?utm_source=dlvr.it&utm_medium=twitter …"""
5416,*@GreenpeaceUK Uk going back to the dark ages post Brexit
5417,"*Perhaps they should have put """"Vote leave for your trip to the dark ages"""" on the side of the bus. #Brexit"""
5410,"*Welsh slate mines are hoping for a post #Brexit boom, as we re-enter the dark ages we will all need something to write on!"""
5411,*Brexit leaders wanted to take the UK back to the dark ages. On this estimate they've a long way to go. But they will make it if they try. 
5412,"*The last time the £ was this low Faraday was still alive, Pluto hadn't been discovered, the penny black postage stamp was a mere 7 years old"""
5413,*All over England the lights are going out. Brexit Dark Ages approaches: Art history A-level scrapped 
36268,*London’s Muslim Mayor To Ban Sexualised Images Of Women http://bit.ly/21i7YlV  
15527,"*#brexit get ready for the dark ages. Most of the British companies lost close to 1/3rd of their valuations, in less than a week."""
25280,"*#Brexit A labour led walk into the economic dark ages for UK. In 8 years, Britain will apply for membership of the EU. #EURefResults #rte"""
36269,*And it's all the retired folks who will plunge us back into the dark ages with their Brexit bullshit because the younger ones cba to vote.
15528,"*#Brexit respect the vote, because counting votes is better than when we fought to control who or what is """"right or wrong"""" back in Dark Ages"""
47828,*Brexit ‘could leave UK with blackouts and gas shortages’ http://thetim.es/1T3Te9M  
15529,*Hi @TonyRobbins What are your thoughts on #Brexit ?  I suspect more enlightening than Dark Ages 2.0.
47826,*#bbcqt voting  #UKinEU scared by how xenophobic and selfish  #uk has become. This is 21st century #Brexit take us back to dark ages...
47827,*Brexit = dark ages. 
47824,*@ernietvr @ukleave_eu @StrongerIn @The_TUC @M_Star_Online anybody would think we lived in the dark ages before the wonderful EU saved us
47825,*@smithnicole896 this guy lives in the dark ages. Totally disrespectful of modern women
47822,*@al_bealby No but you can look the most likely brexit settlement/transition which is EEA/Efta - which is hardly the dark ages.
47823,"*@Telegraph Not many can remember what the UK was like pre EU. We have moved on, but by how much? Would #Brexit be a return to the dark ages?"""
47820,*@FrancescoLari @Richlin11a they seem to be suggesting we'll go straight back into the dark ages after #Brexit! We'll make our own laws ffs!
47821,*@Mr__Smiley_ YES
12594,"*@afneil With another pro Brexit campaigner stepping aside after throwing the UK into the dark ages, surely there should be another vote?"""
12595,*Disgusting! What is wrong with people? Are we going back to the Dark ages? #Brexit has taken off many masks. 
12596,*Brexit: BBC journalist called a 'n
12597,"*The symbol of #EuropeanUnion was conceived by #CatholicEurope as """"DARK AGES"""" project http://tinyurl.com/hclmr3d  #Brexit """
