Term,Value
suicidal,12.87
hordes,1.5
skynews,1.784
holyrood,10.374
protest,1.001
asian,17.701
erexit,7.593
saved,0.857
3m,1.365
votes,16.307
inlike,2.997
voted,30.969
recycle,9.462
teaching,34.5
sorry,18.316
sinking,2.769
void,0.426
rise,41.361
jacob,0.536
school,7.68
ref,19.463
296,22.537
shows,3.003
kevinpbreslin,1.492
voteleave,23.756
744109418904584192,8.1
leaders,7.47
warns,3.003
271,0.378
second,12.997
decadence,7.2
blue,9.804
brexit,2983.669
oldest,4.851
326577,1.155
incompatible,27.555
1vnxyl0,0.569
victoriapeckham,1.005
resilient,34.569
new,183.996
net,18.817
ever,25.082
consisting,2.986
reviving,13.436
viii,20.205
specialist,0.716
never,26.054
reported,17.316
china,5.427
whatthehellareyoutalkingabout,16.091
path,6.552
growing,6.3
leaves,24.295
changed,10.434
military,6.237
heatherwheeler,10.224
golden,2.977
campaign,7.177
29hdktr,1.541
pdsutherlandun,2.976
forums,21.742
spoke,4.473
theordinaryman2,36.0
army,6.802
29fbym8,2.136
century,85.043
reemergence,9.711
kneepads,6.696
call,18.858
telegraph,101.343
recommend,2.544
survive,8.923
tell,0.713
barbarous,2.142
holy,423.433
successful,21.279
adrianople,14.196
warn,5.112
746387871402176512,6.6
lord,3.216
must,49.409
word,1.385
rights,0.067
plunged,4.032
mk,5.081
movies,4.465
era,16.485
ms,23.448
henry,19.464
experts,18.837
give,8.319
dragons,0.333
malign,19.647
want,59.073
christianvoice,3.807
oppressing,2.7
end,91.961
trsresearch,11.859
far,2.079
stupidity,11.711
interview,0.3
turk,3.408
ancestor,15.939
michelledewbs,6.39
less,0.071
assimilated,5.229
insecure,0.268
earlier,1.384
lay,17.7
arch,8.922
thesun,0.501
attempt,3.94
third,9.24
descends,25.875
1lv7wv,2.138
greek,3.207
suggest,0.885
sucessor,9.672
first,66.912
order,10.628
wine,1.941
danhannanmep,4.851
tricked,1.809
whizzing,13.104
london,27.876
nyti,19.547
globalpulsemag,0.154
writing,0.499
destroyed,16.548
wales,10.35
gents,20.7
overcome,9.64
eventually,12.831
killerkai3,6.552
jenit,10.209
break,1.72
sixteen,23.547
bank,11.088
bread,2.488
germanic,7.553
swancom74,132.0
hadrains,15.6
victory,6.455
went,20.198
side,0.356
mean,75.204
financial,1.017
milan,11.088
forgot,10.374
richardlander,1.005
rt,18.307
reminding,0.213
goo,0.735
god,82.86
tried,1.384
monitor,0.3
re,59.811
daniel,21.393
ûªt,17.547
got,34.926
abbott,0.067
turning,6.3
veto,3.408
rustyrockets,0.285
free,33.0
boosting,6.24
wanted,3.696
1dn7azou3,1.249
r4,12.567
days,75.439
isn,35.065
ladyfohf,21.312
already,13.424
leaveeuofficial,13.604
nhs,10.224
wasn,6.468
ditch,11.583
service,8.012
top,0.324
historian,5.246
hist100b1,0.804
confirming,19.647
compromise,20.979
hollywood,4.465
john,5.112
bitter,18.315
owensmith_mp,78.004
collapse,33.789
took,7.477
western,16.176
symptom,17.701
spoiler,6.725
bloated,1.365
immigrants,55.749
nations,8.305
2ekpbqq,12.567
historical,15.939
thewerelizard,13.5
boudica,19.2
feeling,2.769
palace,1.772
modern,21.354
mind,15.939
migrantcrisis,4.8
lbc,1.065
sounding,9.009
telegraphnews,73.26
tells,2.415
forced,4.387
cloudfront,1.026
responsible,30.005
merichio,0.462
fitting,14.228
tintagel,1.86
empireand,2.997
even,34.875
nobody,1.914
cymbeline,3.058
though,0.231
pdpgb,15.936
