Number,Tweet
30683,*#bbcqt STAGED on the Moon! #Brexit #LeaveEU #indyref2 Break up this EVIL MEDIEVAL Monarchy #Labour @peepsassemblene #SNP
20199,*Scotland and Northern Ireland now calling for referendums! Where does this end? Can London have a referendum to leave England Pls! #sadtimes
14178,"*Overheard arguing about the #Brexit today and one guy called """"us"""" (People from Gloucester/ Forest) medieval pig farmers  he ain't wrong!"""
14179,"*""""Widescreen TVs"""" will get more expensive, but not """"socks & jumpers."""" Maybe the plan is to go back to a medieval wool-based economy. #Brexit"""
20198,*Id fucking love that! Extend old medieval City Walls to include boroughs which voted Remain & #Brexit  
30686,*Man in Pakistan killed mother for 'honour' and didn't go to jail because his own father pardoned him - now killed his 2 sisters for 'honour'
29619,*Another example of the corrupting influence of EU medieval style patronage with our money. #Brexit  https://twitter.com/michaeldhollins/status/730371717349126144 …
0,"*Spare me the """"You should support independence because of Brexit, Duncan"""". You're like medieval quacks, treating every ailment with leeches."""
3333,*Three judges went to work and made a legal decision
3332,*Brexiters want to take us back to medieval times #brexit 
3331,*Court throws Brexit into doubt! BreXit & TrumpXit=Medieval! Japanese letter to May BreXit= mfg jobs out of UK to EU!
3330,*Sales of pitchforks and medieval torches soaring - http://bit.ly/2evy2dS  via @newsthump #Article50 #Brexit
3337,"*Corbyn wants a """"Brexit that works for everyone""""."
3336,"*Appalled at High Court's Brexit ruling and I fully support Government appealing the decision. Brexit was the people's vote, not politicians'"""
3335,*Ruling was on the medieval power of a PM (royal perogative) over parliament. Wasn't Brexit about sovereignty of our parliament? 
2072,"*Brexit y ahora Trump, el mundo cae nuevamente en las manos del proteccionismo medieval"""
1499,*@_dpaj ha! everyone knows Bojo isn't fit for purpose like all Brexit liars! May to continue to crawl after medieval murderers in Saudi...
3339,"*Breaking: U.K. government can't trigger Brexit without parliamentary approval, High Court rules; pound surges  http://on.wsj.com/2ffiASb """
3338,*Brexit & TrumpXit Reason Will Prevail Over Medieval Minds! 
14189,*@ChristieC733 @BeladonnaRogers @FredZeppelin12  brexit used medieval instrument to break a powerful fake union  
14188,*@timesofindia  fake EU  surprise  how a small Medieval instrument used by BREXIT  to shatter biggest NUTSHELL 
6299,*@Independent 26 bishops sitting in the House of Lords. Isn't it more than time to #Brexit out that Medieval System and face the Modern World
14181,"*Before people cry racism over #Brexit, remember that it's taken us centuries to dumb down Christianity. Islam is still medieval. #QandA"""
14180,*FTAC – Sideways on Brexit and Putin’s Medieval Theater 
14183,*The Brexiteers have succeeded in taking the UK back. Back to medieval times. #Brexit
6298,*For @mharoldpage & @Cube68 in particular... https://twitter.com/DamienKempf/status/770350473056575490 …
14185,"*@Exiphias ah, cool, I'll try and catch up with you. I like the medieval patter, and Brexit is a good thing if you're all cat eyed freaks."""
14184,"*I don't care who leads Labour at the next election, as long as they win. "
14187,*@indy100  yes may be but the MARVELOUS MEDIEVAL INSTRUMENT  BREXIT  used to break fake union EU  excellent 
14186,*@Ironwand @JimKerr1973 the idea to pay markets access and get centralized ruled is a little medieval. #Brexit #BrexitVote
30675,*Forget Brexit - Why the British and French are feuding over a medieval ring 
30666,*In case there's any doubt these people are medieval: BBC News: Bible verse linked to Brexit mural on gable wall 
30677,*Sign of things to come? >--Medieval barbarity:Hardline Muslims spill blood in their London mosque http://dailym.ai/1T1Nug6  #Brexit
30676,*In #Internet age tragic to see elderly mostly male leaders advocating #brexit believing almost medieval view of borders will make #UK safer?
30671,*#Brexit is like Galileo: a new way of seeing. The EU is like the medieval church: desperately defending an outdated world view.
30670,*we need to knock the medieval queen off her perch BAN CRUCIFIXION CRAP +start again #Brexit @RepublicStaff #Labour #SNP @nusuk #auspol
30673,*Cost of war...or is that Freedom? 
30667,*MEDIEVAL MONSTROSITY whore of Babylon the Great Britain Corrupt REGIME TAX HAVENS Royals ABOVE THE TAX LAWS #Brexit https://twitter.com/KrazyFella/status/721650790041948160 …
30679,*Serving the Self +NOT an external power in Queen +Pope UNDEMOCRATIC MEDIEVAL NON-ENTITIES! #India #auspol #Brexit  
30678,*@itvnews @skinskinny still think this medieval place belongs in the #EU ? #Brexit
5410,*.@Medieval_Probs  Maybe re-run the #BrExit referendum again but only those in the 14–45 age bracket are allowed to vote. @bsideup
5411,"*If medieval theocracies arent your thing, then #Brexit may be a great opportunity to take one down. UK first, then Iran !!"""
20629,"*#brexit I'm running through pound moves from """"medieval coin"""" thru WW2.....trying to find a larger self inflicted one...."""
20628,*#Brexit won for the same reason @realDonaldTrump will win. No one wants their children raped and killed by medieval freaks. #notscience
20627,*El #Brexit no es más que la reminiscencia feudalista medieval que vive en los ingleses más ignorantes...
20626,"*There was Frankish Gold in Anglo-Saxon England, Just sayin'. #medieval #brexit"""
20625,"*When 1400 little girls are raped by immigrants in medieval fashion  & dgovt covers it, u get #Brexit. Deal with it. """
20624,*Amazon currently sending me medieval european board game ads tonight. Hope that's not prescient #EUvote #Brexit 
20623,*What impact does Brexit have on Medieval Times? I have a groupon I gotta use or lose.
20622,*Looks like the #UK might be about 2 revert 2 that medieval village/castle/drawbridge mentality.. Serfs & Lord of the manor. #Brexit Tally ho
20621,*#brexit #tbt to medieval age https://www.instagram.com/p/BHBnD47gcyn/ 
20620,*#Brexit PANIC! Will we rtn to #Pound #shilling and #pence #medieval dark days #war #racist #Britain #NigelFarage
30668,*@LeaveEUOfficial 
30669,"*#Brexit #Boris says #eu bad for democracy, he's not bothered though about medieval unelected #monarchy in the #uk """
641,*@Clark_Barrett84 @Ian_Fraser One can't advocate #Brexit & then deny the Scots their own choices. That's the act of a medieval bully.
640,"*#Brexit will be a mild version to the middle ages of late 1400's during medieval times when Roman Empire fell, and EU was an Italian idea?!."""
643,*The logic of Brexit is a return to a Puritan pre-industrial crofting economy although we exported a lot of wool in Medieval times to Europe. https://twitter.com/stonertim/status/819124321222361088 …
642,"*we want a substantial, cloudy and medieval brexit"""
645,"*""""The Unbearable Whiteness of Medieval Studies: Post-Brexit, Post-Trump,"""" by @dorothyk98. (Cf. #MLAsowhite)"""
