Number,Tweet
2269,"*Good morning, middle ages... #BRexit"""
1260,*Trump wants all countries to go back to Middle Ages.  #Brexit
663,*King Nigel and his jester Boris want #GB back in the Middle Ages.   #Brexit
662,*Hoohoo told you Brittain would plunge back into the Middle Ages is a weeks time? Hoohoo? #brexit 
661,*@GaryLineker playing football and politics like in the middle ages #Brexit #ENGISL #engijs
660,"*I want to write something about Brexit and the past, the middle ages, etc. But it all feels too raw, too close. Any ideas?"""
133,*For some reason both Brexit & yesterday's election are making me think of the Peasant's Revolt in the Middle Ages:
132,"*#Brexit #Trumpocalypse #Calexit #wall , welcome to the new Middle Ages."""
131,*@DanielAlpert they let Brexit happen and still have a fucking monarchy like it's the Middle Ages
130,*Turkey makes child rape LEGAL for men who MARRY their victims. http://shr.gs/gS9sFXj  
137,"*Welcome to the """"New Middle Ages"""" America! You deserve your #Berlusconi , #Trump #Brexit #change #bitcoin"""
136,"*#Brexit and now #Trump, really? 2016 may go down as the year the world became a colder, more isolated place. Welcome back to the Middle Ages"""
135,"*Today is not the day I lose faith in the world, but really can we not go back to Middle Ages please! #USElection #Trump #Brexit #Poutine """
134,"*Brexit inspired Trump, Trump and Brexit will inspire Marine le Pen and Frexit.  Great Britain: fucking up the world since the Middle Ages."""
139,"*The paradox of #DataDriven Gov't, #PostTruth Politics & an Ideologically Rigid Electorate. We are regressing into The Middle Ages. #brexit """
138,"*Mealy mouthed, spineless gobshite. Just how far back into the Middle Ages does he think #brexit is going to take us?"""
20,"*@ericsfraga Never thought I would experience the Middle Ages in my lifetime, but I think it's happening! #brexit #fascism #PostTruth"""
21,*@BrexitBin They are purely motivated by sovereignty as if this is the middle ages or something. Muddle ages more like. Brexit is for fools.
22,*@MAntheaume you really have to feel sorry for them! They really deserve Brexit and going back to Middle Ages...
1254,*@FoxBusiness @moralKerosene UK used #Brexit as time machine 2go back2 1960's. A Trump Presidency = time machine taking USA back2 middle ages
344,*Homophobic attacks have risen 147% since Brexit? wtf i thought it was 2016 not the fucking middle ages
345,*@B4dstr1ng @theresa_may May is turning Brexit into her excuse to take UK back to Middle Ages. Her statements are divisive and disgraceful.
346,*Jeez do we now live in the Middle Ages?  Look what you did #Brexit types #unacceptable
347,"*I mean, the state of this. """
340,"*Umberto Eco being rather prescient... pp74-75, Living in the New Middle Ages, Travels in Hyper-Reality, Picador, 1987 #Brexit #Trump"""
4,*Sturgeon The duplicitous traitor. Honestly wish this was still medieval times so we could hoist her head onto a spike on London bridge.
342,"*Poorest families to lose an extra £100 a year as rising inflation compounds benefit freeze, says @TheIFS https://www.ifs.org.uk/publications/8699 … #brexit"""
343,"*If we are going back to the middle ages b/c Brexit, does that mean we lose the liberal intelligentsia? Not all bad..."""
8,"*@Telegraph @TelegraphNews that's where brexit will  take us ,back to the middle ages """
348,*@TheEconomist and it will be again with. Brexit. It will sink Into the backwater town it was in the Middle Ages.
349,"*It's actually frightening the amount of people that, genuinely, think the UK will revert to the middle ages immediately upon Brexit."""
1250,*#brexit - the return of mercantilism. Because things were so much better in the Middle Ages.
120,"*Don't be surprised that May is visiting Bahrain – after #Brexit, we're in a Faustian pact over human rights abuse"
121,*Good luck with that. One of her reasons for Brexit is ditching human rights as to send UK into Middle Ages. Still has a Queen after all... 
122,*Nov15 - Gary McKinnon: Theresa May saved my life – now she’s the only hope for the Human Rights Act https://www.theguardian.com/commentisfree/2016/nov/15/theresa-may-saved-my-life-human-rights-act …
123,*Apparently #Brexit means a return to the Middle Ages. #tolerance #religion #superstition #ethics #rationalism
124,*All this because Empress Merkel opened the floodgates and brought the Middle Ages into the heart of Germany. Time for #Brexit 
125,*Cologne Police Consider Helicopters and ‘Women Retreats’ to Fight Migrant Sex Attacks http://www.breitbart.com/london/2016/11/29/cologne-police-consider-helicopters-women-retreats-fight-migrant-sex-attacks/ … 
126,"*So according to this logic, Enlightenment and the Middle Ages are all pretty much the same thing. No wonder JRM thinks #brexit is terrific. """
127,"*Experts, soothsayers, astrologers are all in much the same category - Jacob Rees-Mogg #AutumnStatement #Newsnight """
128,*Brexit threws UK back into middle ages. Queue of 30 minutes pasport control at Stensted
129,"*This is #Erdogan's idea of democracy?? Lets face the facts, #Turkey is #Islamic and still stuck in the Middle Ages. #Brexit #Trump #Merkel"""
115,"*@jonesier @withorpe """"tronc"""" system - wtf ?! Brexit & Tories are returning Britain to Middle Ages"""
117,"*Never mind Brexit, Michael Jecks Middle Ages it. """
116,*@PrisonPlanet @raeeesak Savages from the Middle Ages....all because of Brexit of course
2933,*Complex decision taken with middle ages thinking?:#Brexit will leave 2 million Britons in #legal #limbo abroad [..]
119,*It's horrendous - give up progressive union and go to a state when human rights is in the middle ages - charming - thanks #brexit 
118,*Christmas Giveaway! http://writerlywitterings.com/2016/12/09/christmas-giveaway … 
1858,*I thought we had evolved past the feudal Middle Ages. Clearly I overestimated the maturity of our species. Faith in humanity lost. #brexit
1859,*#Brexit #England and #Wales welcome back in the Middle Ages and welcome #Scotland and Northern #Ireland in the 21st Century
1850,*#brexit #Nexit #Dexit #Frexit ... Back tot the Middle Ages: small plots of land with a fence. Meanwhile in Moscow 
1851,"*Last night during Sant Joan’s feasts, I imagined I lived in the Middle Ages. Waking up with Brexit I fear them. """
1852,"*What a great u-turn, back to the Middle Ages. #Brexit"""
1853,*Welcome back to the middle ages! #Brexit
1854,"*#brexit #DavidCameron good bye cameron. Sad loss. And back to the Middle Ages, postman pat and his black & white cat for England."""
1855,*Maybe it's time UE question itself before we get back to the middle ages. UE should be people centric and not only bank interests. #Brexit
1856,"*You people are bringing Europe back to Middle Ages, but it's fine as long as you are free, independent and shit, right? #Brexit"""
1857,*Existing scenarios for Europe with #brexit are not too bright:
1256,*Can we ask now if Europe isnt still burried in the politics of the Middle Ages?:Welcome to the world after Brexit 
1257,*Aaaaand back to the middle ages... #Brexit  #EUref
3,"*Brexit is all about getting England back to the Middle Ages and killing """"traitors"""" like Jo Cox. #ScotRef"""
1255,*The first brexit brought us the Middle Ages...what will this one bring?
1252,"*Just arrived in Scotland. Place is going wild over the vote. They took their country back, just like we will take America back. No games!"""
1253,"*Oh, it seems that the Middle Ages are back... #Brexit #BrexitVote #Bremain"""
7,"*@LibDemPress @timfarron You want your country back alright, back in the middle ages and we dont #brexit"""
1251,"*Should we tell him #Scotland voted to """"REMAIN""""??. Indeed, you'll take America back to Middle Ages. #Brexit """
