Number,Tweet
13357,*Looks like someone in #Brexit campaign basically copied map of Roman Empire when adding N Africa #euref #VoteRemain
13356,"*BREXIT IS BENEFICIAL FOR UK'S ECONOMY, ALLOWS FOR MORE TRADE OPPORTUNITIES, all the backlash is just the Roman empire trying to not dissolve"""
11542,*Facts about #StGeorgesDay - St George was actually from Turkey http://bit.ly/1No4RXt  
11543,"*On BRExit: no army has crossed Rhine river in more than 70 yrs, and  this is the longest period of peace on the Rhine since Roman Empire"""
11541,"*Bloody Turks, coming over 'ere, slaying our dragons... Probably got a Visa for the Roman Empire too... #Brexit """
11544,"*3/4 In Cymbeline, the king is tricked into pursuing #Brexit from the Roman Empire by wicked queen & dopey son @The_Globe @TheRSC"""
11548,"*Islamist extremists aim to break up the European Union, which they see as a successor to the Roman Empire. #Brexit http://time.com/4293818/aimen-dean-isis-brexit/ â€_"""
11549,*#Gove claims the #EU is like the late Roman Empire. Exit Brittania - #Brexit and the Fall of Rome. http://goo.gl/UJGzgp  #Remain #UKIP
5988,*Nicola Sturgeon says Holyrood could try to block Brexit http://bit.ly/291cEx3  
5989,"*Brexit, Bible Prophecy & The Revived Roman Empire #Prophecy #Bible #Christians #"""
5982,"*#Brexit, #Bible #Prophecy & The Revived Roman Empire http://po.st/RJSpzi  via @po_st #EU #10"""
5983,"*Brexit, Bible Prophecy & The Revived Roman Empire"
5980,*#brexit will usher in the revived Roman Empire due to global chaos. You just watch! And there's no such thing as status quo anymore! #change
5981,"*Brexit, Bible Prophecy & The Revived Roman Empire"
5986,*It's funny how immigrants of the Roman Empire are telling other Immigrants to go back home. So sad. #Brexit
5987,*She's like Nero in the last days of the Roman Empire. She's gone power crazy.
5984,*@Independent Jeremy likes Remain but it seems for him personnaly Brexit. It looks like the Roman empire. Heads fall fast.
5985,"*The end is clear. The path is developing. Good read: Brexit, Bible Prophecy & The Revived Roman Empire http://po.st/tTJ2Tu  via @po_st"""
12441,"*Brexit, Bible Prophecy & The Revived Roman Empire   http://www.rapturewatch.net/apps/forums/topics/show/13363442-brexit-bible-prophecy-the-revived-roman-empire?page=last â€_"""
6796,*The Guardian view on post-Brexit politics: in place of leadership | Editorial http://d.gu.com/LhTkrN 
6797,"*#Brexit, #Bible #Prophecy & The Revived Roman Empire http://po.st/aJE4bN   #News on implications"""
6794,*DID BIBLE PROPHECY FORETELL OF BREXIT & RISE OF NEW ROMAN EMPIRE? #o4a #brexit #RT #Bible - http://overpassesforamerica.com/?p=31099 
6795,*#UK politics looks similar to the last days of the Roman Empire. #Brexit #downfall
6792,*Brexit forming new Roman Empire :: Prophecy Dude http://buff.ly/29vumVt 
6793,"*Has there been been this much political backstabbing in any era, in any country, since the fall of the Roman empire? #Brexit #makinghistory"""
6791,"*@RodneyMarsh10 Also """"learned"""" whole of Europe is Socialist; Muslims caused Brexit; foreigners were responsible for fall of Roman Empire."""
6798,*@HomerHickam I'm seeing a lot of parallels with #Brexit. The EU is arguably the Roman Empire reincarnated and the UK rose up again!
6799,"*Connecting #Brexit, the Roman Empire, and the future of #scicomm, all in one post! http://www.sciencewithstyle.org/sws-blog/an-expat-scientists-perspective-on-a-world-post-brexit â€_ pic.twitter.com/o6236JA5Fm"""
13549,"*The UK's assertion of Britishness, known as Brexit, seems to reflect the disunity of a revived Roman empire that was prophesied in Daniel 2. """
270,*@JWils60 This is post #Brexit reasoning Immigrants are to blame for everything including fall of Roman empire
271,*#UKIP Donor @Arron_Banks Mansplains Fall of Roman Empire to Classicist Mary Beard - @HuffPostUKPol
272,"*Today's #BrexitEnemies List: 1) The Roman Empire (day 2 on charts),2) Welsh Govt, 3) People who ask what Red, White&Blue Brexit means"""
273,"*@garybrannan It beggars belief. She is THE authority on the Roman Empire but hey, Brexit man knows better!!"""
274,"*No, the Roman empire was not destroyed by immigration: why history is a useful discipline https://www.indy100.com/article/brexiter-tries-to-correct-actual-historian-about-ancient-rome-because-he-studied-it-at-school-7458281 â€_ #Brexit @ExeterCIGH"""
275,"*This whole Roman Empire/Brexit thing is interesting,the way that people think our civilisation as we know it will continue for ever #brexit"""
276,*#Brexit
277,*Britain actually did a kind of #Brexit (with Northern France) for 10 years from Roman Empire in AD 286-296 under Carausius & Allectus 
279,*This leading Brexit campaigner mansplained the fall of the Roman Empire to classicist Mary Beard http://huff.to/2gJTD44 
12019,*What isn't #Brexit responsible for? except the fall of the Roman Empire 
12018,*Food for thought on 1-nation Europe?
12015,*Does anyone know how many medals the Roman Empire won at the Olympics? #Rio2016 #Brexit
