Number,Tweet
14118,*On what planet can any sensible person believe it is right to pay British Benefits to children in foreign countries? #Brexit #StrongerIn
14113,*BREXIT - So Boris is going for Brexit no doubt with a homily about Fall of Roman Empire as hordes attacked it!
12583,*@richardlander @VictoriaPeckham Rome wasn't built in a day. Cf denazification after WW2. Shd by rights have equivalent of Nuremberg Trials
2842,"*#Brexit, #Bible #Prophecy & The Revived Roman Empire http://po.st/RJSpzi  via @po_st #EU #10"""
2841,*#brexit will usher in the revived Roman Empire due to global chaos. You just watch! And there's no such thing as status quo anymore! #change
133,"*""""The Roman Empire"""" fell 'cause a biased ref awarded a penalty in extra time."
132,*This leading Brexit campaigner mansplained the fall of the Roman Empire to classicist Mary Beard http://huff.to/2gJTD44 
130,*Britain actually did a kind of #Brexit (with Northern France) for 10 years from Roman Empire in AD 286-296 under Carausius & Allectus 
11114,*@Nigel_Farage Brexit is possible. UE the 2.0 version of wicked Roman Empire.
14121,*Or even the new Roman Empire. Iam Boudica. #LeaveEU #Brexit #StopTheEU #banislam
8477,*#Brexit compromise no. 3
11119,"*On BRExit: no army has crossed Rhine river in more than 70 yrs, and  this is the longest period of peace on the Rhine since Roman Empire"""
1,"*Classics DOS Dr Toner explains how the 'First Brexit', when Britain left the Roman Empire, can guide us now. 2Mar https://www.hughes.cam.ac.uk/news/the-first-brexit-when-britain-left-the-roman-empire-2nd-march/ …"""
20,*Isotope evidence for poss movement between South Wales & Byzantine N. Africa in the 5th-7thC http://www.sciencedirect.com/science/article/pii/S030544031300023X … 
22,*#Brexit - this must be what it was like to witness the fall of the Roman Empire in Britain.
3185,"*Brexit, Bible Prophecy & The Revived Roman Empire #Prophecy #Bible #Christians # http://www.prophecynewswatch.com/article.cfm?recent_news_id=446 …"""
11111,*@crown_cardinal @globalpulsemag The Roman army stopped at roughly same latitude right across Europe. Because climate determines culture.
9748,*@David_Cameron One Nation this. One Nation that. Sounds quite fascist. #brexit to escape the new Roman Empire.
11113,"*Egyptian empire died, Greek empire died, Roman empire died, British empire died, now the European empire dying. #Brexit  for a strong UK."""
11115,"*The #EU, in the form of a revived Roman Empire, is a vital #KEY in the construction of a New World Order. #Brexit """
1409,*Brexit has done to Britain what Christianity did to the Roman Empire
11117,"*Bloody Turks, coming over 'ere, slaying our dragons... Probably got a Visa for the Roman Empire too... #Brexit """
