Number,Tweet
1300,"*Who the fuck is voting UKIP? Third place?! Jeez, this country. Paxman was right, bunch of barbarians."""
133,*@ReebarrRees @OverTheMoonbat @markydeedrop @UKIP @YouTube despicable barbarians - time we had major protest every time they have a gathering
132,*@UKIP @Askrigglad ffs. This is a bloody war not a playground spat   Shoot the buggers on their return. They deserve nothing less. Barbarians
131,"*@anglorist ... barbarians here. No more Muslims and no more """"people with low IQ's poor impulse control"""". UKIP are wrong to say it's about..."""
130,"*Official #Ukip Account: All Muslims are """"12th Century Barbarians"""" """
134,"*@HowardKoch_UKIP That's OK, just don't come back here if you want to join the Barbarians."""
20,*UKIP barbarians within the gates. (This man is a councillor.) 
21,*Tristram Hunt symbolising the modern Labour Party on #bbcdp today supporting councils wasting money on art galleries and music lessons
22,*@WistfulCass @DianeJamesMEP hope he has been arrested. Irrespective if he is a fellow UKIP MEP. #Barbarians #Disgraceful
0,*UKIP Calls On BBC To Stop Using 'Honour Killings' to Describe Murder http://bit.ly/2ai2AQ8  via @BreitbartNews
4,"*@JamessReality @Keir_Starmer PLP are snakes, tories are elitist barbarians, Farron is just an opportunist twat, and UKIP is unelectable"""
8,"*Hackney @AntiRacismDay @garyyounge """"#Trump #May #Ukip - The barbarians are at the gates. We have to stop them. No-one else will."""" #M16"""
368,*Culture? No. @UKIP will abolish the department that protects & promotes our cultural & artistic heritage. Barbarians! 
120,"*Hanging is too good for such depraved barbarians, but #EU rather feed/house them. #islamistheproblem #ukip #pegida"""
121,"*Muslim sex gang showed 'no shred of humanity' as they repeatedly raped vulnerable schoolgirl, 13 http://www.thesun.co.uk/sol/homepage/news/6916861/Asian-sex-gang-showed-no-shred-of-humanity-as-they-repeatedly-raped-vulnerable-schoolgirl-13.html …"""
122,*@UKIP @Nigel_Farage The true dark side of democracy will arrive when the barbarians are in a localized majority and vote for inhumanity.
123,*WILDERS: EU #women should arm themselves with pepper s against ‘Barbarians’: http://bit.ly/1RlzDRE   #ukip #tcot #2a
124,*Resurrecting the Middle Age Moat to keep the Middle Age Barbarians OUT! http://bit.ly/1Q5nKhi  .@bbcpm .@BBCBreaking #r4today .@DVATW @UKIP
125,*#OpNimr #banislam #stopislam #banMuslims #SaudiArabia behead more ppl than #isis barbarians #Trump2016 #pegida #ukip 
126,*.#OpNimr https://twitter.com/birdychirps/status/674448709648785409 …
127,"*@pimpmytweeting @JohnBickleyUKIP Nah, ya missed the top one. Its #UKIP and related racist barbarians"""
128,*@peterthomas410 @Nigel_Farage @UKIP yes flowers do not stop guns and barbarians
129,*Official #UKIP account responds to Paris terror attack by characterising 
982,"*""""He who comes from the sea is here to steal"""" It seems ukip is saying something everyone thinks about barbarians!  http://books.google.co.uk/books?id=fhJAn7fPkqAC&pg=PA34&lpg=PA34&dq=%22One+Barbagia+proverb+said+it+all+about+foreigners%22&source=bl&ots=XMaj6Js1Sf&sig=WYobVLMtAjxwlTa-pIOehYLw8Ts&hl=en&sa=X&ei=ixuCU-2AAYLMOZDsgLgH&redir_esc=y#v=onepage&q=%22One%20Barbagia%20proverb%20said%20it%20all%20about%20foreigners%22&f=false …"""
983,"*""""@DPJHodges: If Ukip want a culture war with London, bring it on > Telegraph > http://tinyurl.com/m3rv564 """"Effetes v Barbarians? No contest !"""
