Number,Tweet
15018,*#Ukip want to bring back fox hunting + they support killing Badgers. Just another cruel barbaric #Tory party really.#bbcnew #skynews #labour
15019,"*@andyhodder @UKIP They can't stop people smelling without cutting off their noses, which is barbaric and racist. And they're not racist..."""
6595,*@mollyboots99 @neillyfabi @dalrympleforum They can't enforce oppression on us. UKIP want to. And killing animals is barbaric per se.
0,"*@AMDWaters @UKIP @trotman_deirdre I agree too, no quarter should be given to Islam on any of its barbaric practices. NO appeasement to Islam"""
3999,"*This is the reality of Tory/Ukip inspired 'debate' on immigration - pure, cold racism. Its barbaric, an embarassment https://the13thcolony.wordpress.com/2015/03/17/welcome-to-uks-higher-education-please-leave-your-money-at-the-door-and-dont-even-think-about-growing-roots/ …"""
3998,*@Nigel_Farage I quit the Tory party due to their backing of fox hunting with dogs. It CANNOT be allowed to return - it's barbaric! #UKIP
3997,*@LBC As a UKIP supporter I was very disappointed to hear Nigel say he supports ritual slaughter for Halal meat. This is a barbaric practice
3996,"*@SLATUKIP I want an end to all Kosher, Halal barbaric slaughter. UKIP will do that. @toryofold @UKIP"""
3995,*@EthnicAssets @Jonteinspain @UKIP It does but there is no barbaric 7th century stuff  in our law any more
3994,*@UKIP what will u do regards to the barbaric halal meat issue in the U.K
3993,"*@HagueyUK @TRobinsonNewEra halal is much more barbaric, especially when it is non-stun. UKIP only party to be against halal."""
3992,*@Patrick66013298 Farage's #UKIP only party will put stop to barbaric 'religious' slaughter of animals in England.
3991,"*@AndrewStoneman Sorry not sure what you mean, UKIP will put a stop to barbaric archaic slaughterhouse method in England. @Patrick66013298"""
3990,"*#Racism is barbaric in any shape or form.My skin colour makes me superior to no-one, or them me. Voting #Tory or #UKIP means you disagree."""
298,*@UKIP_Voter @GoldenOldieC @HoCpetitions  ..be labelled either. The EU doesn't seem to demand halal labelling. Sick as it us barbaric!
299,*@DVATW What about some convictions for barbaric FGM? @UKLabour @UKIP @chunkymark @afneil @jongaunt @KTHopkins @juliaHB1 @BBC @LBC @mrjamesob
296,*Why #UKIP is NOT the party for those who support animal welfare.
297,* Supports the barbaric slaughter of animals ( HALAL) 
295,*Do you support #UKIP and their active support in barbaric animal slaughter ( halal).  Please Retweet
591,*@patcondell @Nigel_Farage @UKIP 
590,*Meanwhile in a pedestrian zone in Italy... washing day. Cultural enrichment at the highest level  via @OnlineMagazin
593,"*@UKIP @MargotLJParker Lack of action on FGM is a capitulation to Liberals who want to be PC toward Backward, Barbaric, 3rd World countries"""
592,*@theresa_may @UKIP Hillary is a  brutal barbaric excrement of a person! No one will take Clinton and USA seriously..
595,*@UKIP a group of #narcissistic #barbaric closet #racists who aided in messing up the infrastructure of the UK. #Pathetic #Brexit.
594,"*@SLATUKIP @adakeld @rog_ukip you are 100 % wrong. This is not  """"people"""".This is one group of cruel barbaric religious fanatics worldwide ."""
597,"*UKIP pledge investigation into barbaric actions of its members. In other news, Velociraptor promises to take good long look at himself."""
596,"*@Anti__UKIP I wouldn't want to eat any meat that hadn't been stunned, it's barbaric to treat an animal in this way."""
6598,*‘Barbaric’: 500 #FGM cases found in UK hospitals in a single month http://rt.com/uk/226255-gfm-uk-hospital-cases/#.VMdOeofdA6k.twitter …
598,*UKIP ritually battered their new King #barbaric
8600,*@ukip_4_me @davidbritain7 Long Live UKIP ... Crush the medieval Barbaric cult.
8601,"*@gsdlady2 @4Carmilla @RIBERABA we should leave barbaric Europe, its not a sport its sick, pleasure from animal suffering. @Number10gov @UKIP"""
8606,"*@Chris1ll I would vote against it, it's barbaric in my view. labour didn't ban it. Note Ukip would ban live animal exports 4 slaughter"""
8607,*@shirleykay11 to tweet 
8604,"*@MartinJTelf @ShropshireStar exactly Martin its barbaric and inhumane, voters should understand UKIP support this awful so called sport to"""
8605,*We strongly condemn this barbaric act of terror on innocent worshippers at prayer. Time for the PA to stop incitement 
16253,"*@_Lilykins @simon_UKIP @Shadow_Alchemy No. I'll try again. One is a viewpoint, other is an act of barbaric cruelty! They're NOT equivalent!"""
16252,"*@JasnaBadzak @SLATUKIP I'd warrant most country UKIP types defend their barbaric """"sports"""" involving hunting and shooting as """"tradition"""""""
16251,*@DavidJo52951945 @ShortfuseLiz muslim filth & their barbaric customs will insure UKIP victory!
