Number,Tweet
151,*Herod joins UKIP? Michael Rosen: Caesar Curbs Immigrants in Year Zero http://michaelrosenblog.blogspot.com/2014/12/caesar-curbs-immigrants.html?spref=tw …
150,"*@drhmwilliams @robfordmancs I think u'll find #UKIP has libertarian respect for freespeech, but expects candidates to be like Caesar's wife."""
704,"*The man in front of me on the train, Caesar works for UKIP. He is a furious typer."""
380,*Extra EU pressure must be coming from US Democrats and their Barmy Caesar. This too shall pass…
701,"*#UKIP members remind me of a quote allegedly from Caesar The Geezer which was something like 'I'm very clever. I'm a member of MENCAP""""."""
702,"*UKIP member/ Zoroastrian/,hail Caesar. always searching for the truth / -- Time for us all to stand up and be counted !"""
703,*@UKIP_ete Render unto Caesar etc.
698,*@siretty23 @arobertwebb SIR DIGBY CHICKEN CAESAR (now a Lord for UKIP)
137,*BBC News - UKIP's Nigel Farage rules out quitting as leader http://www.bbc.co.uk/news/uk-politics-32746300 …
136,"*#News #UK #LatestStories """""
139,"*Bye bye, you sad little man. #ukip #farage"""
138,"*The current politicking in UKIP uncannily traces the cyclical political lessons found in """" Julius Caesar"""" - times change, men don't ...."""
692,*Nigel Farage 'facing expenses complaint' over UKIP office costs. Politics a messy business. Even for Caesar's wife! 
693,"*@timothy_stanley Caesar has a voracious appetite when it comes to power, and the Church tends to get in its way.  Ergo, UKIP seeks to cut"""
20,"*Nigel Farage Steps Down As UKIP Leader, Adding To Post-Brexit Political Turmoil: Nigel Farag... http://bit.ly/29HtQ6V  #finance #market"""
697,"*Propitious day to join #UKIP, being as it is the anniversary of Caesar’s crossing of the Rubicon. The cleaning of the Augean stables."""
694,*@Autonomous_Mind @kilkeal @rog_ukip O yea of little faith. Render unto Caesar that which is Caesar's. You seem transfixed by that which is.
695,*.@jameskirkup I came to bury Caesar not to praise him...also ....er to impress angry OAPs who might vote UKIP
381,"*Friends, Romans, countrymen, lend me your ears; I come to bury Caesar, not to praise him #NigelFarage #UKIP """
699,*@Tent101 you need to speak to some UKIP people. Some of them thin Caesar is still lining up his legions at Calais
1,"*If you want to stop the establishment from backsliding on Brexit, vote UKIP... by @Caesar_ViaosNus"""
0,"*Now, on UKIP-History, a look at how Julian Caesar-Salad led the Roman army across the Rubiks-cube. """
3,*applying for arts council funding for my UKIP-inspired production of Shakespeare's Julius Caesar as we speak
2,"*Let's be real, Carswell's departure from UKIP merely strengthens the most robustly xenoracist elements of the party..."""
5,*@DPJHodges 'He was never UKIP' Farage gives Carswell his highest compliment ever..... 
4,"*@MikkiL Tell Nuttall not everyone has Got 20 years to wait ,the leaders in Ukip are like the Senators that were around Julius Caesar SELFISH """
7,"*..and what's more, frees Farage et al from the confines of parliamentary niceties. UKIP's power never rested in outright electoral successes"""
