Number,Tweet
20,*@JackCapronPlaid sad to see UKIP gains in Wales. Expected more from our celt brethren.
21,*@JarlOfCaledonia You seen the poll showing how many Glastonbury attendees vote Tory or UKIP? = 87%
1078,"*@milroy666, You say you are """"partly Irish"""" (thus Celt) what  other part to your cultural/tribal mix, please? I note UKIP abhors culture-mix!"""
1079,"*@antonvowl The horrors of UKIP porno: Nick Griffin in a Union Flag mankini, in proximity to an uncomely inbred celt."""
1076,*With #LibDems finished and #Tories morphing into #UKIP seems like a gap for some party to represent majority of folks views #OrAmIwrong?
1077,"*My UKIP daughter accused of racism, policy challenged yes, racist (hard for a Jewish/Saudi Arabian/Celt) no!"""
1074,*@RFCSwitcheroo Celtic nationalism is benign #SNP excepted but English version likely to be quite different #UKIP
1075,*@RFCSwitcheroo Recent changes I agree Stan #UKIP but first shift in 90's was them trying to find themselves in face Celtic nationalism
1072,"*@scooterrab @DavidCoburnUKip I want to hear UKIP and I am a Scot. BTW , EDL, BNP etc are not a patch on the IRA that Celt fans praise."""
1073,*@AineAislingMam @ticgran Ask them if they vote UKIP ;-)
1070,*@GrahamSpiers Chris Graham is to investigative journalism what #UKIP is to weather forecasting
1071,"*@davidschneider Got to keep Britain British though. And when I say British I mean Roman, Viking, Celt and anyone else who invaded #ukip"""
0,*Pictures #RedHair #redhair #Celticwoman #Scottishgirls #Celtic #Celt #clans #Braveheart @TheCelticParty @ScotBNP @UKIP_Scotland @UKIP4SCOTS
4,"*Ruth Davidson's 'fratricidal conflict' speech, her Enoch Powell moment? """
8,*@JellyTim @Tom_Celt 
1069,*Massive man love of VVD going on. I predict the heavens will soon open up #UKIP #Weatherforecast
1068,*@DannyLenaghan @MikejMcDermott The irony is .....Tory heartland. Better stop now before I go all #UKIP lol #karma
1065,*Help make it happen for 'Elect Maggie Chapman & Stop UKIP In Scotland' http://igg.me/p/elect-maggie-chapman-stop-ukip-in-scotland/cstw/6499518 … #indiegogo via @indiegogo
1064,"*@nikolaiwiskoski @JimTorranceSNP All good for Indy but not healthy for democracy. 3 Tory parties, SNP, Greens and UKIP are voters options"""
1067,*@Briandamge64 @sharko67 @CelticResearch Can you seriously suggest voting NO knowing exactly what UK will be like? #UKIP #Tory #Slavery
1066,*@Tom_Celt @sharko67 @CelticResearch UKIP? Didn't they beat the LibDems at the recent Holyrood by-election in Fife?
378,"*As a Gay lowly Celt you likely think I dance around in a druid outfit causing floods & ebola muslims @UKIP, yet know we'll fight your hate"""
860,*Oooft! Well done Nick Robinson: Nigel Farage says German wife is not taking Briton's job http://www.live.bbc.co.uk/news/uk-politics-27115043 … #UKIP #hypocrits
371,*UKIP warns of Schrödinger’s immigrant who ‘lazes around on benefits whilst simultaneously stealing your job’ http://newsthump.com/2014/11/28/ukip-warns-of-schrodingers-immigrant-who-lazes-around-on-benefits-whilst-simultaneously-stealing-your-job/ …
370,*UKIP supporting independence?  http://i100.io/GN7ZlQE 
373,*@Celtic__Tigress @paulthetim @NeilJung67 Majority being Tory/UKIP?  Agree with that and thank god that it is so !
372,*http://www.theguardian.com/politics/2014/nov/27/-sp-ukip-mistakes-westminster-cathedral-for-mosque … UKIP showing their colours and intelligence again.
375,*@13MoonWillow @MissLilySummers : One of us (we are many) is a Viking / Celt / Hispanic / American Blackfoot :-) - Ultimate #UKIP nightmare
374,*@NeilJung67 @paulthetim Beat me to it Neil ! Lots of English folk respect Celtic. Who gives a toss what EDL/UKIP/Huns think :)
377,"*@ukschizophrenic @UKIP I'd love to dance around in a Druid outfit, but then I'm a Celt too...Irish...they'll hate that!"""
376,"*@Stephen62572390 @Hullbhoy You're lucky you're up north, I've sadly heard enough idiots down here say they like UKIP (one even a Celt)!"""
88,"*General Election 2015: Nigel Farage is on course to lose in South Thanet and Ukip faces wipeout, experts predict """
89,*@hoppinghaggis #UKIP Bingo ! That is now a thing !
3,*She is already finished in Scotland. Teeing up a nice safe UKIP/Tory seat in England 
520,*Ukip is a party that gets beamed into Scotland courtesy of the BBC. http://huff.to/1me0R9B  via @HuffPostUKPol
7,"*@Noody69Noody It is. I utterly despise them. Dancing with Tories, cheering when that UKIP twat was elected,supporting Tory policies at WM"""
369,*@MarkGSparrow @Stevedubwin Interesting perspective Mark. I agree with diversity but liberal? Naaa See UKIP !
366,"*Ban climate change teachings in schools, says UKIP MEP http://shar.es/1ooDIj  via @sharethis  Another ridiculous policy by UKIP ;-)"""
367,*Haha! Was bit of a one sided fight Humza v UKIP moron http://shr.gs/0KSYDNN 
364,*@Tom_Celt @maxkeiser @georgegalloway @UKIP_Egham it's ppl who illegally invaded Iraq &support Israeli genocide ofPalestine who world reviles
365,*@maxkeiser @georgegalloway @UKIP_Egham Galloway is a laughing stock in his own country !
362,*@molesteeth @maxkeiser @georgegalloway @UKIP_Egham Im with you on that Mary
363,*@SimonBurke17 @maxkeiser @georgegalloway @UKIP_Egham Erm....I meant Scotland ! ;-)
360,*@UKIP_Egham @molesteeth @Tom_Celt @maxkeiser @georgegalloway @Nigel_Farage No and because he had no vote he can now tell any lie he likes
361,*@UKIP_Egham @molesteeth @Tom_Celt @maxkeiser @georgegalloway @Nigel_Farage Nobody knows if this is true he never had a vote 2020 hindsight
861,*@nataliemcgarry Agreed! If Greens had same media coverage as UKIP they would become a major party. Got my vote ;-)
102,*@Tom_Celt @57d2e8b8ba774cb 
100,"*@Tom_Celt @Jane_Samuels Your original post said Vote Labour, get UKIP'. That suggested that Labour wld give you UKIP policies"""
101,*@Prof_Phillipson @Jane_Samuels I would love open borders #Dream You happy that Labour are following UKIP position ?
106,"*@HamBevan @Trumpton_UKIP and if you're from Scotland, Wales, Cornwall or Cumbria, you're more likely to have pagan/Celt heritage."""
107,*@molesteeth @Tom_Celt @maxkeiser @georgegalloway @UKIP_Egham absolutely 
104,*To be a Celt is to be an inheritor of extraordinary heritage!
105,"*@NickChallis92 @UKIP @Nigel_Farage Unless you're a Celt you're an immigrant. No discrimination means NONE - against anyone, for any reason."""
847,"*""""@The_Celt_: Since when is it excusable for politicians to act like cubes because they are """"tired""""? Ban UKIP."""""""
