Number,Tweet
0,*Wonder if #SNP can appreciate the irony
1,*#Brexit has the #SNP completely dumbfounded
2,*Sturgeon's shrill #Indyref2 shrieks have become  muted whimpers
3,"*Chris Sutton is White Van Man, Brexit, UKIP & Trump rolled into one. Come on then, who you looking at?!?!? Htf did he ever play for Celtic? â€“ at Satellite Sound & Vision"""
4,*#SNP tell you to mind your own business - unless you agree with them
5,*I see the state aid guy and his UKIP pal are convinced of impropriety by GCC/Celtic. Shame no one is listening 
6,"*@andymuirhd @Casumptious @UKIP same number of people that voted UKIP turn out for Celtic each week, """"a shit comedy act"""""""
7,*Remember the time on Periscope that everyone pretended they could not hear @DavidCoburnUKip 
8,"*@msfreakinrosie @eddwilson I am a proud inhabitant of the English Riviera, yes. But it is time now for our nation to lose its Celtic fringes"""
9,*@MarkBarry67 @Gunnie67 Celtic fans complaining about Rangers racism is like Ukip caring about women's rights only when discussing Islam.
10,*Zeal Monachorum; a beautiful Mid Devon village. Like many locally it has an ancient Celtic-British foundation and Christian foundation. 
11,"*@PS_Aitch if Celtic nationalism was driven by hatred like the EDL or BNP or the core of UKIP, I wouldn't be within a thousand miles of it."""
12,"*@talkSPORTDrive @chris_sutton73 Nasty small minded ukip fuds Blackburn,Chelsea,Celtic match that then argue your case fkn phonies"""
13,*Leafletting in Down St Mary in the shadow of an ancient church built atop Celtic foundations The ancient cross is at least 1500 years old 
14,*One traitor sacked. It's not much but is a start
15,*@Casumptious @ticgran so you are saying straight out Celtic and the Pope are sex offender sympathisers? @UKIP oops forgot#ukip
16,*@Casumptious @ticgran Aye ok @UKIP This nut who is linked to the party says Celtic fans are sex offender sympathisers  #ukip pic.twitter.com/MAy28jPB0J
17,*@ScotIndyDebate @UKIP @MarkReckless Why did the basket of ukip contemptibles find a home in a poor dominated Celtic country. #indyref2
18,*@andymuirhd Not just UKIP members and Celtic coaches. Live with it. Let's hope they all rot in jail.
19,*https://www.google.co.uk/amp/www.dailymail.co.uk/news/article-4008404/amp/There-t-remember-Paedophile-former-Celtic-coach-71-admits-waging-20-year-campaign-sexual-abuse-against-young-players-cleanse-soul.html â€_
140,*@NeversurfaceUR @gjust67 he tapped up UKIP and the nazis within their ranks to try to target Celtic and GCC.
141,*@WingsScotland [And also for discovering the core UKIP vote are Celtic fans...]
142,"*@rosieclwilson @amieyoung_x @marc_celtic @_rachelllx All lies I bet. Probably voted no, leave and support Tory/UKIP"""
143,*@UKIP I long for the simplicity of the great British Tallow candle. Fuck this cheap clean light Bollox.
144,*@petertimmins3 UKIP just wanted a return to pre Blair policy.Same rules for EU as Non EU. Work permit & visa for all.
145,"*So the UKIP's Caroline Santos would rather pursue more Celtic state aid allegations peddled by an anonymous coward, rather than ridding her"""
146,*I have to accept that there are many fans of Celtic and Liverpool who are just fucking idiots. Ukip/Unionist types.
147,"*@AaronBastani @DouglasDaniel So...imbedded in the Tory Party & the (Scottish) labour party,  whilst being a UKIP flag waver.  Scary days."""
148,*@celtic_spring @BBCNews i thought i was watching a party political broadcast by UKIP. bbc is a disgraceful organisation imho
149,"*FFS, @BBCNews doing a shit load of campaigning for UKIP in Stoke. Impartial? Not so much that you'd notice."""
150,"*@prospect_uk Imo: That would end the U.K. As 2 of the Celtic nations would leave a perpetually right wing governed U.K"""" !  #UKIP #Labour"""
151,*#SNP didn't sing 'Scotland the Brave' but still claim they want #indyref2 
152,*@weecass1888 @JC_JC1971 seen a few oddball scotland in union kicking about -SDL -ukip-bnp types -to bitter to use celtic -be dumb labour !!
153,"*I'M CELTIC TO THE CORE AND BREXIT TO THE HILT, I'M UKIP IN MIND BODY AND SOUL AND IF BREXIT FAILS UKIP WILL PREVAIL. """
154,*I'M A 1ST NATION BRITON & THEREFORE HAVE SPECIAL RIGHTS THAT OVERRULE ALL THOSE WHO SETTLE IN UK LATER & I SEE BREXIT AS MY REPRESENTATIVES
155,"*@SabastianHood Votes UKIP,  likes Katie Hopkins,  claims he hates racists """
156,*@celtic_spring i would never vote for ukip in a UK election only voted for them in EU election.
157,"*@SabastianHood Sez a UKIP voter & Katie Hopkins fan.  Aye,  right  """
158,"*@ianfarquharson8 Cardiff is great to be fair. It didn't vote UKIP, was rest of Wales. Welsh are a bit more chilled out than us back home."""
354,"*Just had an invite to an Anti-Trump March in Cardiff... We are in Wales, where the majority voted for UKIP, how about addressing that first."""
