Number,Tweet
26948,*@dejavousagain @button123456 @MarkSeddon1962 Everyone I know and respect have same fears.UKIP-Tory coalition would take us back to dark ages
26949,"*FWIW, UKIP's take on climate: """"We do not ... regard CO2 as a pollutant""""; the Dark Ages were a climate cycle - http://bit.ly/17BoKBE """
26940,*Well done the #HouseofLords for upholding progressive societal change #SameSexMarriage. #UKIP you will not drag us back to the dark ages.
26941,*@LiamSheanon #UKIP are the party of the dark ages. Any employee should seriously consider the implications of a vote for #NigelFarage.
26942,*@4K_Jason @bwalker_1995 ... #UKIP cannot be trusted. Their proposed employee rights cuts are a return to the dark ages.
26943,"*A million Christians were sold into #Islam slavery in """"the dark ages"""".  #ukip   http://www.youtube.com/watch?v=t_Qpy0mXg8Y … … …"""
26944,"*In short, UKIP is a bigoted organisation of Daily Mail readers bent on dragging Britain into the dark ages."""
26945,*Why shouldn't businesses adapt to recognise the rights of their workers. Do we go back to the dark ages? #Tories #UKIP #Labour2015
26946,"*@UKIP - I actually can see fear in their eyes, not fear of the English but the fear that the SNP are leading them into the dark ages!"""
26947,*@Mark_UKIP were still in the dark ages!
6723,*@David_Cameron you have just lost my vote can't actually see the difference between and ukip ... Living in the dark ages
6722,*UKIP reverting back to 'Thatcherism' clearly stuck in the dark ages!
6721,*@iSiMMUSiC and @UKIP should fuck off back to the dark ages where they belong.
6720,*Sunday Politics London http://bbc.in/15zPkOY  via @bbciplayer @natalieben @TheGreenParty leader - CLOWN!! wants dark ages back! vote @UKIP
6724,"*""""Cameron is still dancing to UKIP’s tune from the dark ages, & Scottish Labour is busy picking out which hat they’ll wear today"""""""
12095,*@Independent revolting person UKIP want to return the country to the dark ages
9678,*@RTTV_UK and people support UKIP... why? Maybe their supporters live in the Dark Ages as well
9679,"*If you ever just wanna time travel, you can vote UKIP because they're literally sending us back into the dark ages."""
3258,*This is wholly unacceptable in a civilised society: http://guyfawk.es/1KCTHbH 
3259,"*UKIP.....well let's not get started, voting them will put this country into the dark ages."""
23691,*http://news.sky.com/story/1197250/ukip-councillor-blames-floods-on-gay-marriage …
23690,"*Some people still live in the dark ages --- """"Gay marriage has 'caused floods' says Ukip councillor"""" - Channel 4 News http://www.channel4.com/news/gay-marriage-in-britain-has-caused-floods-says-ukip …"""
12094,"*How long until UKIP realise robots have """"stolen"""" more jobs than any Romanian and decide to campaign to send us all back to the dark ages?"""
1942,*A month ago we had UKIP threatening to drag us back to the dark ages - they failed. 2 weeks later Catholic Ireland... http://fb.me/vghjwxgn 
1943,*#VoteNo is basically like a vote for UKIP it'll drag you back to the dark ages
1940,"*@Daily_Express  just shows how far back in the dark ages they actually are. You have to pity their upbringing, they don't know any better."""
1941,"*@CroydonCyclists UKIP say Cycling as road transport is like clogs as footwear, throwbacks to dark ages most of us hoped we had moved on from"""
3254,"*@MarrShow """"gay people deserve their rights, but..."""" #ukip still in the dark ages. #labour2015"""
3255,"*@SummoTCB @Wilson21Andy it's labour that have kept this city in the dark ages, #ukip"""
3256,*@ukip_member @ukindependence1 @599tb @MikkiL Its due to lack of education no real jobs and live in the dark ages..
3257,"*& this is where we are heading w/o UKIP common sense, a return to the dark ages! """
344,*@pollitix @EUVoteLeave23rd I never knew @UKIP had a time machine to take us all the way back to the Dark Ages!
0,*Knowledge of chemistry is now “propaganda”. UKIP really will take us back to the Dark Ages. 
346,"*UKIP now want to take the penal system back, to the dark ages! """
347,*Ukip leadership contender Bill Etheridge wants to ban prison visits for the first six months of a sentence. Where do they find these morons?
340,*@Far_Right_Watch @antianti1978 UKIP are unfamiliar with the concept of moving on. They like it in the Dark Ages.
341,*@peterwhill1 @DVATW What else would you expect from a UKIP member other than take us back to the dark ages.
342,*@DavidHadley1973 @UKIPNFKN @UKIP what did the Romans ever do for us ? When they left UK (c.AD400) Dark Ages ensued - for next 400 years
343,*He can fuck right off. We need progress not Dark Ages.
12091,*@Picto2010 Common sense?! Dark ages more like. #FlatEarthers #ukip
348,"*@AndrewDunnLinc How the hell can she call @UKIP """"policy of dark ages""""? I assume she means islam?"""
349,"*@SocialistVoice @GiftedNutter We lost a lot of good people to UKIP during the New Labour """"Dark Ages"""". I say WELCOME BACK COMRADES #policies"""
3858,*A Tory- UKIP coalition would the most dangerous government to form in UK's history! They will take UK to the dark ages! #BBCDebate
3859,"*The UKIP are full of lies and fake facts, they will cripple the country and send us back to the dark ages!! Hidden aryan Nazi like agenda"""
12093,*.@MichaelBrailsfo @bat_152 
12092,"*@UKIP bravo, proving the EAW is a throwback to the dark ages and embarrassing the establishment who over reacted."""
26939,*@Reality_Tim Incredible reaction on here from some quarters tonight. Stoked up by UKIP and The Sun. Back to the Dark Ages... UK not OK!
26938,*@Goddersukip i trust the EU with my workers rights far more than i ever would you UKIP nutjobs! You'd take us back to the dark ages!
12097,*@Cllrjwarmisham @WomenDefyUKIP They're determined to drag us back to the dark ages. UKIP and ISIS cut from the same cloth.
4732,*Disgusted that these racist thugs are trying to associate themselves with @UKIP. Piss off back to the dark ages with the Islamic extremists!
4733,"*@UKIP @Nigel_Farage UKIP want to send the UK back to the dark ages, vote for them at your peril.  Don't let them take us backwards."""
4730,"*One thing is clear to me, a vote for Farage and UKIP is a vote that would put our country back to the dark ages #leadersdebate"""
4731,*UKIP trending news following me? Errr no you're not. Sod off back to the dark ages.... #blocked
4736,*Will @Ed_Miliband take #UK back to the dark ages? #Hell_Yes!
4737,*@shp42 Don’t laugh! It might happen. Or it could be UKIP and the DUP who are still in the Dark Ages.
4734,"*Power cut... To be fair, they did warn us UKIP would take us back to the Dark Ages #rochesterandstrood"""
4735,"*Conservatives and Labour are still stuck in the 'dark ages' and they prove it by promoting Islam! Vote UKIP,,you know it makes good sense!"""
12099,*If UKiP doesn't do it first “@CapitalismsDEAD: Superbugs 'Could Send UK Back To The Dark Ages' http://news.sky.com/story/1293362/superbugs-could-send-uk-back-to-the-dark-ages …”
4738,*Dear @RogerHelmerMEP 
4739,"*@princepaulious @WomenDefyUKIP the dark ages would fuck UKIP up totally, more immigration into these islands then than at anytime since.."""
12098,*@DavidCoburnUKip How many UKIP MEPs does it take to change a lightbulb?
9677,*how many #ukip & #tory members does it take to change to change a #lightbulb?? 
12096,*@somerandomhash @SLATUKIP That's because Ukip are living in the Dark Ages
25288,*@JWales12 @SirGully @TrickyBee UKIP is basically based on ex Con voters who are living in the dark ages and left the modern Tory party
25289,*@Channel4News @krishgm Wow! What a car crash interview. Brilliant advert for @UKIP as a party. Stuck in the dark ages. He sounds daft too.
25286,*@Atlantis0712 @Ph65PauloDingle @UKIP @DavidCoburnUKip Aust PM is a far right ultra-conservative racist homophobe living in the dark ages.
25287,*My god @UKIP are full of shit. Are they living in the dark ages? Women will never vote for you!
25284,*@CreatesDarkness @pdc690 @flipflop_07 @UKIP do you think GB was in contractual dark ages before zero contract hours??
