Number,Tweet
9072,*#ukip  The Warmists say it necessary to remove the Medieval Warm period from the historical record. It does not fit with their Hockey Stick.
9070,*Wonder how many UKIP voters will be standing on the cliffs of Dover in full medieval armour tomorrow awaiting the Romanian/Bulgarian masses
9071,*RT @GarethJAnderson: Support UKIP or it is medieval feudalism plus communism for all. >> hahahaah! :-)
4026,*@KevinInEssexUK @UKIP They are definitely medieval. Dangerous too. Another good reason to vote UKIP. Nigel is our God and saviour.
4027,"*@UKIP People who live their lives with religion, are simple minded.  Stupid Halal beliefs show the medieval mindset of muslims etc."""
4025,*@IsabelHardman @alexmassie and credit #UKIP for standing up to medieval practices that pander to faiths.No other party has the balls.
4028,"*@fs_ealing @ThomasEvansUKIP @UKIP  halal procedure is barbaric and medieval, animals must be stunned so they do not feel pain"""
4029,*#UKIP  the press seem to focus on their incompetence. Is there a good part to them? are they that medieval? #racism #StupidPeople
7302,*@Cat_314 @UKIP That idea was emblazoned on the English conscious in the Medieval period. We still don't get the BIble!
7303,*UKIP member Paul Wiffen stated 'Muslim nutters who want to kill us and put us all under medieval Sharia law'
7300,*If you voted for UKIP today there is a good chance that you have considered going to an England match dressed as a Medieval knight.
7301,*I'm not actually pro UKIP and anyone that thinks of someone differently because of the colour of their skin is sick and medieval
7306,"*@davidisky If you look at it, isn`t UKIP the Modern Day King John, and The EU, the medieval Catholic Church?"""
7307,*@Independent what a load of shit. IF you vote UKIP you should be BURNED at the stake. Medieval justice for medieval mindsets!
7304,*@DanNerdCubed Vote UKIP if you want to live in medieval Europe...
7305,*@marwilk @AnneTytherton88 @UKIP @IndyPolitics Opportunities for highly-paid sinecures - like bishoprics in medieval Europe #TimeForUKIP
7308,*Ahh I get @Nigel_Farage's plan. Its to return Britain to medieval conditions so no one will want to stay. He is scared of #Modernity UKIP
7309,*Why do the sort of people who support UKIP & the BNP still exist in this generation? Incredible how people still refuse diversity #medieval
344,*@SuzanneEvans1 Who has a drawbridge these days anyway? And they accuse UKIP of being stuck in the 50's - they are stuck in medieval times!
8156,*Anti-Gay marriage stance by UKIP is medieval out of touch #cringe #FaragevClegg
346,*@GlasgowStarling
347,*Ukip councillor Chris Wood in medieval race row over BBC's Sophie Okonedo casting criticism http://dlvr.it/LLP4Rx 
340,*UKIP seem to share somewhat similar medieval ideas towards their prospective victims as ISIS. 
341,"*""""Shame"""" called in Lords as UKIP bench call for EU nationals to be used as hostages in discussions with Brussels"""
342,"*@UKIP With what is going on at the moment, how the hell did we manage to survive in medieval England all those centuries ago?"""
8157,*#ukip  Warmist academics want to remove the Medieval Warm and the Middle Ages Little Ice Age  because they conflict with their Hockey Stick
348,"*@RebeccaAHardie Ha, yes, loved that. I presume slapping down UKIP-style clowns is one of the main pleasures of PhD medieval studies, right?"""
349,*This makes me happy. Medieval literature studies beat UKIP so eloquently: 
8155,"*@_Lilykins @Shadow_Alchemy @simon_UKIP Cruelty to animals should not be condoned on the back of medieval, barbaric rituals."""
8152,*@EllieFearn22 (2/2) his voters have always existed but used to vote Tory. Now desperate to save their medieval ideas they have ukip
8153,*Horrible and Disgusting advert on Tv from #UKIP . Full of contradiction and a medieval idea of the world. Racism and stupidity at max level
8150,"*@MichaelLCrick on #C4News: UKIP donor Demetri Marchessini's medieval views on gays, women, slavery > Another day; another bigot."""
1087,*Unbelievable that #Conservatives and #UKIP call Corbyn a security threat yet relationship with medieval ISIS arming Saudi Arabia is fine?
1086,"*PM Cameron rightly called Daesh militants """"medieval monsters"""" during parliamentary debates–"
1085,*@Miguelencasa think for yourself #UKIP want a right wing mono ethnic single faith medieval society - just like ISIS
1084,*WUWT:Study shows they are still trying to erase the ‘Medieval Warm Period’ #tory #Labour #UKIP #SNP #r4today
1083,*YouGov says 61% of UKIP voters back Trump's proposal to ban Muslim migrants entering the US. Are they racist? 
1082,*NO because Muslim is NOT a Race its an evil medieval religion! #Muslim #UKIP #Trump #Islam
1081,*@UKIP @DouglasCarswell Medieval mythology should have no place in modern governance.
1080,"*Bloody Huguenots, coming over here from medieval France,  doubting transubstantiation. #ukip"""
1089,*Labour Friends of Bangladesh here to return @CllrJimMcMahon as the next MP for #OldhamWest with fab @ShabanaMahmood 
