Number,Tweet
0,"*UKIP say we must #Brexit bcoz """"Roman Empire crucified Jesus"""" ... "
1,*You couldn't make it up. But he did. UKIP Donor Mansplains Fall Of Roman Empire To Classicist Professor Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter â€_
2,"*lol so according to a UKIP politician the downfall of the roman empire was due to, you won't guess, EVIL IMMIGRATION"""
3,*@katherinejnowak over here in the UK we had Arron Banks (UKIP donor) mansplaining the fall of the Roman Empire to a famed classics professor
4,*the article i have to read is abt the time that ukip guy argued with mary beard about the fall of roman empire and got shut down lmao
7,*What is it with UKIP donors and mannabe MPs using the 1000s year old Roman Empire as an example to illustrate their point? 1/2
8,*The TV historian and the Ukip donor were recently at Twitter war about immigration in the Roman empire. So what ... 
9,*esto.> Ukip donor mansplains fall of roman empire to classicist Mary Beard 
10,*Oh boy. Missed this: Ukip donor mansplains fall of roman empire to classicist @wmarybeard. http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_ #education #NobHead
11,*The Fall of the Roman Empire...on Twitter
12,*Ukip Donor Mansplains Fall Of Roman Empire To Classicist @wmarybeard -love this 10x more as I'm reading her book now http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6 â€_
13,*LOL that this UKIP donor thought it was a good idea to mansplain Averil Cameron and MARY FUCKING BEARD on the fall of the Roman Empire :') 
14,"*Since when has this been true? Terribly out of date idea, what has he been reading? https://twitter.com/arron_banks/status/805508156143128576 â€_"""
15,*UKIP leader and others debate the fall of the Roman Empire vis Ã¡ vis modern immigration. 
16,*A few reflections on Twitter and Fall of the Empire http://bit.ly/2hhDb7W  And why there is stil (more than ever) a role for the expert.
17,*@RobJLow Itâ€™s in response to UKIP bankroller Banks mansplaining the fall of the Roman Empire to historian Mary Beard.
18,"*Sorry folks, experts do know a lot: when a UKIP finder tried to explain the fall of the Roman Empire to @wmarybeard http://bit.ly/2h2sxTc """
19,*.#UKIP vs Professor #MaryBeard on fall of the #RomanEmpire - #EUreferendum #mansplaining #Brexit #EU #history #Rome
120,*. @wmarybeard elegantly debunking UKIP's 'explanation' for the fall of the Roman Empire... 
121,"*@wmarybeard Obviously when  I want knowledge about the Roman Empire,I go to experts ( pacÃ© UKIP supporters & Gove!)."""
122,*UKIP donor Arron Banks becomes embroiled in row with Cambridge classicist Mary Beard after claiming the Roman Empire was 'destroyed by immiâ€_
123,*#Ukip donor mansplains fall of Roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_ via @HuffPostUK #feminism #mansplaining
124,*Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard | The Huffington Post http://buff.ly/2gf90AN 
125,*This has been my favourite banter today: UKIP Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard | http://huff.to/2gg57LK 
126,*A thread where a UKIP idiot argues that immigration destroyed the Roman Empireâ€_ with Mary Freaking Beard!  
127,*@Arron_banks i think you all need to do a bit more reading in Roman history before telling uswhat caused the fall of Rome. Facts guys!
128,*@88_shepard reminds me of ur grasp of history Ukip donor mansplains fall of roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_
129,*http://www.deadlinenews.co.uk/2016/12/06/millionaire-ukip-donor-argues-cambridge-uni-expert-roman-empire/ â€_ Millionaire UKIP donor argues with Cambridge Uni expert about Roman Empire
130,*#UKIP Donor @Arron_Banks Mansplains Fall of Roman Empire to Classicist Mary Beard - @HuffPostUKPol
131,*Jackass #Ukip Donor @Arron_Banks #Mansplains Fall Of Roman Empire To Classicist @WMaryBeard
132,*Why I am minded of that Fun Boy 3 track? #Ukip donor mansplains fall of roman empire to classicist http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_ via @HuffPostUK
133,*UKIP donor Arron Banks claims the Roman Empire fell because of immigration - gets corrected by actual historian 
134,*When facts don't matter... #facepalm  
275,*Watched this go down yesterday. | #Ukip donor #mansplains fall of roman empire to classicist Professor @wmarybeard
276,*HAHAHAHAHA UKIP BREXITER TRIES TO ARGUE THAT THE ROMAN EMPIRE FELL BECAUSE OF IMMIGRATION....WITH AN... 
277,"*""""I am Arron Banksius UKIPius..."""""
278,*Reading the Twitter spat on the Decline of the Roman Empire between @wmarybeard (respected Classicist) & a UKIP donor: echoes of David Brent
279,*Worst mansplaining ever? Ukip donor mansplains fall of roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_ # via @HuffPostUK
280,*UKIP funder Arron Banks mansplains the fall of the Roman Empire to classics professor Mary Beard. http://fb.me/12tMu7iWJ 
363,*This is a pretty funny way to start your day > Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard 
364,*lol on train today! Ukip donor mansplains fall of Roman Empire to classicist @wmarybeard. Go Mary! http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_ # via @HuffPostUK
365,*#Ukip Donor -> Fall Of #Roman Empire To Classicist Mary Beard. Everyone also laughed at the little Austrian corporal http://m.huffpost.com/uk/entry/uk_5845c2d5e4b07ac7244927f6?utm_hp_ref=uk â€_
366,*Watched a bunch of this in real time and it was p great - Ukip donor mansplains fall of roman empire to Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_
367,*Reading the @Arron_banks v. @wmarybeard 'debate' on #RomanEmpire. Really can't wait for the #UKIP version of #WW2.
368,"*Me too , it's enlightening - probably why conventional wisdom is often wrong @wmarybeard https://twitter.com/east3blinder/status/805888108059238401 â€_"""
369,"*The UKIP piggybank mansplaining the fall of the Roman Empire to a Roman Empire scholar with: """"I watched Gladiator"""" is #just2016things."""
370,*Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard. Of dear. #ukip #brave  http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6 â€_
472,*Goes as well as you might expect >>> Ukip Donor #Mansplains Fall Of Roman Empire To Classicist Prof. Mary Beard. 
473,*Huffington Post - Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard http://dld.bz/fjXYJ 
474,"*Douglas Carswell vs a scientist  re: tides was funny,but overall I think Some Other UKIP Gadgie vs Mary Beard re:the Roman Empire is better."""
475,*Ukip donor mansplains fall of roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 â€_ via @HuffPostUK
531,*Ukip donor Arron Banks 'mansplains' fall of Roman Empire to classicist Mary Beard http://huff.to/2g1Ze6x 
532,*UK in 2016. UKIP supporter tries to tell leading expert on Roman Empire why it fell. Another expert explains patiently why it's nonsense. https://twitter.com/kevinmfeeney/status/805881485400174593 â€_
533,*Watching some ukip spanner explain the fall of the Roman Empire to @wmarybeard is unfortunately what twitter was invented for
592,*Heard the one where the Ukip lot lecture Mary Beard on the Roman Empire? 
593,*@Mr__XYZ @Arron_banks sorry but you may have strong views but you guys don't know Roman history.
594,*@sanglesey @TheNewEuropean The moron doesnt realise that the Roman Empire was multi national. #ArronBanks #Ukip
596,*@SuzanneEvans1 @vote_leave @UKIP The Last days of the Roman Empire?
597,*Once the Roman Empire was destroyed it allowed the independent nations to prosper again. @UKIP #UKIP 
598,*@remain_eu @DavidHadley1973 We also spent some time as part of the Roman Empire. They also had a single currency. 
599,*@DavidHadley1973 @UKIP I'm not sure you know enough about the Roman Empire to really comment
600,"*.@DavidHadley1973 """"Britain existed long before Roman Empire"""""
601,"*@Charlton_UKIP @Nigel_Farage ..agreed EU will go the same way as Roman Empire, The Third Reich ,USSR.....and Thursday will be the trigger."""
603,*@UKIP @MikeHookemMEP 
604,*#Gove claims the #EU is like the late Roman Empire. Exit Brittania - #Brexit and the Fall of Rome. http://goo.gl/UJGzgp  #Remain #UKIP
606,*@englandpaddy It is the language of the Roman Empire - the precursor of the EU - of which we were a part - whence our Christianity ! B4 UKIP
909,*The Holy #RomanEmpire by #PeterHWilson review â€“ #Europe from Charlemagne to Ukip #EuropeanUnion http://ukip.trendolizer.com/2016/04/the-holy-roman-empire-by-peter-h-wilson-review-europe-from-charlemagne-to-ukip.html â€_
990,"*@LBC #Brexit First the Roman Empire now the European Union Empire what is it with the need to """"control"""" UK @UKIP @bbc @rustyrockets"""
992,*Some say UK has no influence with EU.. Does any member state? EU is a law unto itself and its sole purpose is to eradicate nation states ...
994,"*@SLATUKIP UKIP is no Roman empire. Maybe a PR empire, but that's as far as it goes ;)"""
995,"*#EU must stem migrant flow or risk the same fate as Roman Empire"""" http://dailym.ai/1XkrEYw   #pegida #UKIP #Auspol #pmlive #pjnet #tcot"""
996,*@anonjudge1 @rog_ukip It's called 'Bread & Circuses'. It's been around since the Roman empire.
997,*@rog_ukip @JASEMARKRUTTER History tells us that Empires collapse. Wheres the Roman Empire today? Why dont we take heed?!
998,*ScottishSceptic:The Roman empire â€“ the first â€œSceptic stateâ€ù #climate #UKIP #Labour #tory #libdems #SNP #BBC http://scottishsceptic.co.uk/2015/09/15/the-roman-empire-the-first-sceptic-state/ â€_
999,*@CarlaChamorros @UKIP I cannot believe I am watching the destruction of the Roman Empire all over again!! How did it come to this? OMG
1000,*@AkesterGeorge @DavidHadley1973 @UKIP A civilisation which will not defend itself will perish-happened before.Think Roman Empire 5th century
1001,*@RichH1337 @Roman___Empire @Alichat66 @RichardWS Look how well UKIP did in the Euroelections. That was PR too.
1002,"*@Roman___Empire @TheMockneyRebel i dont care about them, the numbers that didnt vote and voted ukip are the ones! """
1003,*@allriffnoraff @Roman___Empire @RichH1337 @Mancman10 a ukip labour coalition ?
1004,"*@Roman___Empire Labour is not a right-wing party, that is the job of the Tories and UKIP"""
1005,"*@Roman___Empire Difficult to say at this stage, current Tory policies and UKIP decline are boosting Corbyn's chances"""
1006,*Warren Meyer:My Five Causes of the Decline and Fall of the Roman Empire #climate #UKIP #Labour #tory #libdems #SNP http://feedproxy.google.com/~r/CoyoteBlog/~3/Z_-ZAwWnlzk/my-five-causes-of-the-decline-and-fall-of-the-roman-empire.html â€_
1007,*@DouglasCarswell @UKIP wasn't this how roman empire worked & now look at state of Italy. Seriously get us out of here. PM GET SPINE & MAN-UP
1008,"*@Roman___Empire who knows? People would vote differently with PR. But if results lead to a ukip gov, so be it. The people will have spoken."""
1009,"*@DouglasCarswell #Leadership#UKIP should keep problems out of the press, #RomanEmpire was destroyed from within!"""
1010,*@cole_davesc66 @UKIP are running down you face...
1411,*Why UKIP is better for immigrants than Labour or the Tories: One of the oldest well known r... http://bit.ly/1zEbXkh  #SPQR #RomanEmpire
1413,*@MrUnclevanya @Steven_Woolfe @UKIP look at at history this is the fourth attempt at the Roman Empire .Hitler was the third .EUbyStealth.
1414,*The Roman empire failed. The British empire failed. The European empire is failing. Learn from history and vote UKIP for Brexit
1415,* This Sunday Our Easter hamper & having UKIP candidate in DragonVale. Come true master than Roman Empire. #NoMoreGOPWar #UniteBlue #tcot
1416,*@holland_tom @ArchaeologyKent the Roman Empire did not have a UKIP equivalent. Resisting empire is not the same as resisting federation
1417,*The 1st portrayal of #London: a medallion celebrating the defeat of the Roman Empire's equivalent of UKIP in AD 296 
1418,"*@IroniesToo @johnmknox if ever I needed reminding #ukip stuck in the past, you did it with that quote comparing EU and Roman@Empire #brexit"""
1419,*ill bet it was #labour party type people who allowed the #Huns to settle in the #roman empire...which led to the fall of the RE!!! #UKIP
1420,*#RomanEmpire fell 2 #barbarians in the end. As will the #EuropeanUNION because we afraid 2 stand up 
1421,*@ThomasEvansUKIP @ukip_sththanet @MopCrop ... or your complete ignorance of the history of the Roman Empire!
1422,*@Avitusparta the guy/you Avatar photo was one migrant and mercenary...very common at Roman empire! #Cameron #UKIP
1423,"*@FrenchR1ck @rog_ukip Nah, we're the good guys. Brussels and the EU are the old Roman empire aka 4th Reich."""
