Number,Tweet
0,"*UKIP say we must #Brexit bcoz """"Roman Empire crucified Jesus"""" ... "
1,*You couldn't make it up. But he did. UKIP Donor Mansplains Fall Of Roman Empire To Classicist Professor Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter ‰Û_
2,"*lol so according to a UKIP politician the downfall of the roman empire was due to, you won't guess, EVIL IMMIGRATION"""
3,*the article i have to read is abt the time that ukip guy argued with mary beard about the fall of roman empire and got shut down lmao
4,*Oh boy. Missed this: Ukip donor mansplains fall of roman empire to classicist @wmarybeard. http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_ #education #NobHead
5,*@Anti__UKIP @SummerBaySoph @Titanic_Britain And i also just provided a source about the avg age of menstruation in the Roman empire.
8,*What is it with UKIP donors and mannabe MPs using the 1000s year old Roman Empire as an example to illustrate their point? 1/2
9,*The TV historian and the Ukip donor were recently at Twitter war about immigration in the Roman empire. So what ... 
10,*@katherinejnowak over here in the UK we had Arron Banks (UKIP donor) mansplaining the fall of the Roman Empire to a famed classics professor
11,*esto.> Ukip donor mansplains fall of roman empire to classicist Mary Beard 
12,*The Fall of the Roman Empire...on Twitter
13,*Ukip Donor Mansplains Fall Of Roman Empire To Classicist @wmarybeard -love this 10x more as I'm reading her book now http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6 ‰Û_
14,*LOL that this UKIP donor thought it was a good idea to mansplain Averil Cameron and MARY FUCKING BEARD on the fall of the Roman Empire :') 
15,"*Since when has this been true? Terribly out of date idea, what has he been reading? https://twitter.com/arron_banks/status/805508156143128576 ‰Û_"""
16,*UKIP leader and others debate the fall of the Roman Empire vis ÌÁ vis modern immigration. 
17,*A few reflections on Twitter and Fall of the Empire http://bit.ly/2hhDb7W  And why there is stil (more than ever) a role for the expert.
18,*@RobJLow It‰Ûªs in response to UKIP bankroller Banks mansplaining the fall of the Roman Empire to historian Mary Beard.
19,"*Sorry folks, experts do know a lot: when a UKIP finder tried to explain the fall of the Roman Empire to @wmarybeard http://bit.ly/2h2sxTc """
20,*.#UKIP vs Professor #MaryBeard on fall of the #RomanEmpire - #EUreferendum #mansplaining #Brexit #EU #history #Rome
147,*. @wmarybeard elegantly debunking UKIP's 'explanation' for the fall of the Roman Empire... 
148,"*@wmarybeard Obviously when  I want knowledge about the Roman Empire,I go to experts ( pacÌ© UKIP supporters & Gove!)."""
149,*UKIP donor Arron Banks becomes embroiled in row with Cambridge classicist Mary Beard after claiming the Roman Empire was 'destroyed by immi‰Û_
150,*#Ukip donor mansplains fall of Roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_ via @HuffPostUK #feminism #mansplaining
151,*Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard | The Huffington Post http://buff.ly/2gf90AN 
152,*This has been my favourite banter today: UKIP Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard | http://huff.to/2gg57LK 
153,*A thread where a UKIP idiot argues that immigration destroyed the Roman Empire‰Û_ with Mary Freaking Beard!  
154,*@Arron_banks i think you all need to do a bit more reading in Roman history before telling uswhat caused the fall of Rome. Facts guys!
155,*@88_shepard reminds me of ur grasp of history Ukip donor mansplains fall of roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_
156,*http://www.deadlinenews.co.uk/2016/12/06/millionaire-ukip-donor-argues-cambridge-uni-expert-roman-empire/ ‰Û_ Millionaire UKIP donor argues with Cambridge Uni expert about Roman Empire
157,*Jackass #Ukip Donor @Arron_Banks #Mansplains Fall Of Roman Empire To Classicist @WMaryBeard
158,*Why I am minded of that Fun Boy 3 track? #Ukip donor mansplains fall of roman empire to classicist http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_ via @HuffPostUK
159,*UKIP donor Arron Banks claims the Roman Empire fell because of immigration - gets corrected by actual historian 
160,*When facts don't matter... #facepalm  
266,*Watched this go down yesterday. | #Ukip donor #mansplains fall of roman empire to classicist Professor @wmarybeard
267,*HAHAHAHAHA UKIP BREXITER TRIES TO ARGUE THAT THE ROMAN EMPIRE FELL BECAUSE OF IMMIGRATION....WITH AN... 
268,"*""""I am Arron Banksius UKIPius..."""""
269,*Reading the Twitter spat on the Decline of the Roman Empire between @wmarybeard (respected Classicist) & a UKIP donor: echoes of David Brent
270,*Worst mansplaining ever? Ukip donor mansplains fall of roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_ # via @HuffPostUK
271,*UKIP funder Arron Banks mansplains the fall of the Roman Empire to classics professor Mary Beard. http://fb.me/12tMu7iWJ 
354,*This is a pretty funny way to start your day > Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard 
355,*lol on train today! Ukip donor mansplains fall of Roman Empire to classicist @wmarybeard. Go Mary! http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_ # via @HuffPostUK
356,*#Ukip Donor -> Fall Of #Roman Empire To Classicist Mary Beard. Everyone also laughed at the little Austrian corporal http://m.huffpost.com/uk/entry/uk_5845c2d5e4b07ac7244927f6?utm_hp_ref=uk ‰Û_
357,*Watched a bunch of this in real time and it was p great - Ukip donor mansplains fall of roman empire to Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_
358,*Reading the @Arron_banks v. @wmarybeard 'debate' on #RomanEmpire. Really can't wait for the #UKIP version of #WW2.
359,"*Me too , it's enlightening - probably why conventional wisdom is often wrong @wmarybeard https://twitter.com/east3blinder/status/805888108059238401 ‰Û_"""
360,"*The UKIP piggybank mansplaining the fall of the Roman Empire to a Roman Empire scholar with: """"I watched Gladiator"""" is #just2016things."""
361,*Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard. Of dear. #ukip #brave  http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6 ‰Û_
463,*Goes as well as you might expect >>> Ukip Donor #Mansplains Fall Of Roman Empire To Classicist Prof. Mary Beard. 
464,*Huffington Post - Ukip Donor Mansplains Fall Of Roman Empire To Classicist Mary Beard http://dld.bz/fjXYJ 
465,"*Douglas Carswell vs a scientist  re: tides was funny,but overall I think Some Other UKIP Gadgie vs Mary Beard re:the Roman Empire is better."""
466,*Ukip donor mansplains fall of roman empire to classicist Mary Beard http://www.huffingtonpost.co.uk/entry/ukip-arron-banks-mary-beard-rome_uk_5845c2d5e4b07ac7244927f6?ncid=engmodushpmg00000004 ‰Û_ via @HuffPostUK
522,*Ukip donor Arron Banks 'mansplains' fall of Roman Empire to classicist Mary Beard http://huff.to/2g1Ze6x 
