Topic,Term,Value
62,since,0.026
48,worst,0.024
38,support,0.013
9,trading,0.07
17,puerta,0.017
62,military,0.03
27,told,0.017
17,attack,0.042
58,western,0.029
52,military,0.015
19,resignation,0.016
23,likely,0.029
40,puerta,0.018
63,ago,0.025
65,since,0.054
42,security,0.038
62,mohammed,0.025
29,dora,0.027
21,kashmir,0.032
53,scheduled,0.02
62,sydney,0.014
67,holiday,0.039
21,shootout,0.023
5,dead,0.027
13,territory,0.049
32,war,0.032
42,e,0.024
16,year,0.023
53,trading,0.048
2,chief,0.02
27,shot,0.035
51,southern,0.067
17,accused,0.037
69,stunned,0.018
2,oxide,0.021
11,presidency,0.013
4,southern,0.073
43,13,0.048
47,act,0.013
14,tat,0.057
61,officer,0.022
56,lending,0.015
56,along,0.031
5,quit,0.018
2,war,0.031
24,eight,0.044
29,along,0.054
35,militant,0.066
45,daunting,0.017
12,seen,0.031
68,shot,0.033
33,three,0.035
47,troops,0.026
35,massing,0.065
52,45,0.021
56,involved,0.021
23,shootout,0.018
29,soared,0.024
52,said,0.012
58,road,0.025
24,died,0.019
46,accused,0.061
25,caretaker,0.015
48,srinagar,0.035
0,accused,0.067
24,resigned,0.017
13,within,0.016
37,sides,0.027
39,kilometers,0.013
20,act,0.038
13,million,0.016
48,christmas,0.038
58,70,0.013
54,raids,0.035
67,extremist,0.023
51,soared,0.026
47,pakistani,0.024
44,shootout,0.016
44,sides,0.013
31,years,0.017
46,shootout,0.036
64,territory,0.024
31,tony,0.014
34,key,0.023
2,unprofessional,0.013
61,kashmiri,0.023
57,militant,0.033
5,saeed,0.017
43,trading,0.04
27,free,0.018
31,two,0.03
21,holiday,0.024
3,carrying,0.024
60,road,0.024
1,isolated,0.013
66,march,0.023
50,village,0.024
66,war,0.017
5,forces,0.038
60,isolated,0.025
0,groups,0.034
57,eight,0.025
23,economic,0.022
30,raids,0.028
49,arrested,0.045
17,southern,0.014
41,soared,0.018
7,role,0.014
43,accused,0.021
41,fatality,0.034
38,southern,0.039
49,assume,0.018
23,period,0.043
36,taiba,0.019
40,well,0.05
65,action,0.013
40,kilometers,0.061
14,pakistani,0.034
46,summer,0.027
17,long,0.021
1,fewer,0.025
4,deepened,0.019
46,worst,0.017
26,along,0.02
16,peronists,0.018
14,new,0.028
65,night,0.071
47,indian,0.018
19,remain,0.024
35,senior,0.012
51,told,0.017
57,stands,0.023
32,western,0.018
57,security,0.04
23,capital,0.015
63,pakistan,0.04
25,deaths,0.026
11,forces,0.018
58,elections,0.017
25,dora,0.057
63,days,0.013
19,two,0.026
40,will,0.03
26,eight,0.02
32,groups,0.03
25,pakistani,0.02
24,mohammad,0.018
15,promising,0.019
46,yesterday,0.022
65,extremist,0.021
40,soared,0.026
22,two,0.032
21,lawmaker,0.014
60,announced,0.015
16,fatality,0.024
23,arrested,0.023
47,conduct,0.015
64,office,0.022
15,toll,0.023
34,sanctions,0.035
39,e,0.015
66,massing,0.03
36,presidency,0.012
5,debt,0.015
58,behest,0.022
56,suspected,0.08
45,toll,0.015
11,announced,0.017
45,people,0.016
51,wales,0.019
67,three,0.021
55,border,0.024
69,toll,0.012
50,capital,0.037
62,says,0.015
27,international,0.014
63,police,0.071
28,summer,0.024
20,escalated,0.041
15,militant,0.025
46,trading,0.02
22,took,0.07
37,tensions,0.049
43,indian,0.038
42,tit,0.034
11,arrested,0.027
16,fewer,0.047
25,stands,0.04
20,recession,0.015
48,mohammed,0.016
32,dozen,0.037
45,1971,0.019
3,well,0.039
31,said,0.015
24,assumes,0.021
61,13,0.046
59,karachi,0.025
32,dora,0.016
11,senate,0.016
59,suspected,0.039
15,summer,0.026
59,chief,0.026
14,militants,0.033
24,put,0.014
14,shootout,0.031
60,two,0.098
32,45,0.018
55,lashkar,0.024
35,southern,0.055
59,capital,0.054
50,time,0.015
68,three,0.016
60,50,0.039
57,predecessor,0.017
54,failed,0.015
18,militants,0.029
66,capital,0.017
49,southern,0.064
18,tasmania,0.019
25,foreign,0.015
15,hafiz,0.014
28,sanctions,0.056
14,likely,0.023
32,50,0.017
1,police,0.033
21,long,0.025
33,raids,0.025
32,1971,0.023
51,south,0.047
33,shootout,0.031
9,forces,0.018
58,senior,0.019
58,saeed,0.026
56,soared,0.022
44,place,0.023
4,seen,0.045
54,since,0.019
53,daunting,0.015
35,western,0.014
60,45,0.042
54,kashmiri,0.013
34,tat,0.048
31,massing,0.026
67,diplomatic,0.062
29,fatalities,0.021
42,parliament,0.027
60,india,0.022
20,india,0.017
34,launched,0.017
37,based,0.02
52,chief,0.049
16,march,0.016
53,kilometers,0.039
17,jaish,0.018
41,attack,0.02
44,two,0.017
7,eight,0.014
5,launched,0.075
35,staff,0.013
37,suspected,0.021
30,dora,0.056
51,kashmiri,0.024
64,suspected,0.031
7,suspected,0.073
38,road,0.017
25,leader,0.014
66,1971,0.022
68,massing,0.026
9,time,0.023
23,tit,0.026
11,kashmir,0.013
13,fewer,0.042
27,organisations,0.02
47,repayment,0.013
67,hafiz,0.014
28,rodregiuez,0.015
55,saeed,0.042
19,role,0.015
51,took,0.055
29,massing,0.039
53,saeed,0.032
52,well,0.018
13,australia,0.041
15,act,0.022
16,50,0.035
55,eight,0.035
39,jobs,0.016
49,came,0.061
59,leaving,0.012
7,sanctions,0.022
25,troops,0.035
59,involved,0.019
48,fatality,0.037
24,political,0.017
15,interim,0.017
8,since,0.018
27,mohammed,0.047
62,groups,0.064
66,likely,0.02
47,border,0.033
20,police,0.02
45,50,0.041
3,pakistan,0.018
40,border,0.039
2,shootout,0.044
43,kilometers,0.076
9,pakistani,0.017
7,parliament,0.026
39,indian,0.034
0,india,0.081
54,13,0.023
17,shot,0.023
43,likely,0.032
44,militants,0.043
40,likely,0.023
38,resigned,0.016
48,dead,0.031
32,office,0.028
14,tasmania,0.012
41,police,0.024
29,task,0.016
1,scheduled,0.016
52,arrested,0.05
17,end,0.018
67,organisations,0.032
23,indian,0.022
52,dead,0.051
65,recession,0.018
34,dozen,0.04
37,military,0.024
66,accused,0.059
10,assumes,0.015
9,announced,0.027
37,12,0.019
37,13,0.05
12,queensland,0.018
4,troops,0.013
2,tat,0.026
41,behest,0.015
55,1971,0.046
64,level,0.052
6,dead,0.019
69,13,0.022
7,nation,0.023
47,srinagar,0.021
21,intelligence,0.012
51,week,0.019
33,new,0.012
64,wollongong,0.014
65,says,0.012
45,border,0.016
18,tit,0.021
33,rescue,0.025
21,mohammed,0.031
21,just,0.012
9,indian,0.017
42,currency,0.013
31,tit,0.029
40,say,0.014
36,encounter,0.021
65,massing,0.02
40,indian,0.027
49,area,0.015
27,soared,0.073
6,srinagar,0.062
36,sides,0.032
37,lashkar,0.051
66,tensions,0.017
11,diplomatic,0.028
27,1971,0.017
61,militants,0.032
66,tat,0.026
38,end,0.021
44,tit,0.021
15,australia,0.015
48,fatalities,0.032
50,kashmir,0.053
32,encounter,0.028
27,senate,0.027
22,long,0.033
32,70,0.017
21,scheduled,0.022
13,war,0.017
2,time,0.017
0,south,0.022
33,fewer,0.025
46,took,0.028
16,raids,0.027
8,tensions,0.028
17,srinagar,0.03
33,lawmaker,0.021
3,capital,0.028
5,kashmir,0.031
45,rodregiuez,0.018
61,jobs,0.015
51,western,0.044
68,launched,0.064
19,soared,0.014
48,eight,0.015
3,attack,0.021
66,summer,0.056
47,tat,0.017
21,encounter,0.032
52,militant,0.013
39,karachi,0.027
53,arrested,0.012
57,indian,0.034
21,e,0.015
40,plan,0.017
10,suspected,0.037
1,congress,0.013
36,yesterday,0.023
51,parliament,0.03
5,since,0.029
26,launched,0.016
8,night,0.042
6,indian,0.03
66,two,0.017
62,act,0.04
62,died,0.039
69,roads,0.023
68,seen,0.028
8,accused,0.022
60,new,0.017
43,tackling,0.021
10,kashmiri,0.031
22,work,0.02
40,fatality,0.065
54,kashmir,0.019
2,told,0.015
66,end,0.019
53,raids,0.029
44,suspected,0.032
64,deaths,0.015
38,office,0.025
16,took,0.028
12,karachi,0.027
35,staging,0.04
10,well,0.03
5,arrested,0.015
13,suspended,0.014
33,dozen,0.049
36,saeed,0.026
60,came,0.047
10,police,0.036
38,eight,0.021
14,45,0.023
1,new,0.069
8,december,0.017
31,soared,0.014
38,ramon,0.022
48,troops,0.014
67,1971,0.017
1,quit,0.013
49,pakistan,0.026
23,tasmania,0.027
6,pakistani,0.036
69,targetting,0.017
55,massing,0.013
1,say,0.029
50,forces,0.036
6,elections,0.023
67,body,0.015
26,e,0.046
23,unprofessional,0.013
12,two,0.021
59,taiba,0.048
3,likely,0.051
38,behaviour,0.014
30,organisations,0.024
49,launched,0.024
9,ramon,0.029
47,summer,0.024
29,kashmir,0.024
3,task,0.016
60,south,0.033
29,default,0.018
48,oxide,0.019
37,place,0.023
38,organisations,0.034
52,escalated,0.041
2,new,0.016
49,fatalities,0.056
61,carrying,0.022
2,say,0.032
30,mohammed,0.022
68,military,0.027
28,people,0.011
63,chief,0.017
49,well,0.027
30,carrying,0.012
40,toll,0.015
26,national,0.021
10,will,0.016
49,leader,0.017
11,escalated,0.015
51,capital,0.045
59,southern,0.031
58,organisations,0.025
37,territory,0.021
64,attack,0.088
23,worst,0.019
9,say,0.02
24,targetting,0.107
37,plan,0.018
6,recorded,0.03
0,days,0.019
16,two,0.024
4,likely,0.028
48,13,0.046
52,aldolfo,0.022
37,escalated,0.053
35,four,0.026
35,resignation,0.013
4,kashmir,0.017
19,escalated,0.04
9,organisations,0.04
63,india,0.019
59,western,0.033
29,key,0.018
28,parliament,0.019
2,20,0.027
45,caretaker,0.024
44,based,0.038
42,lashkar,0.079
15,tony,0.019
19,promising,0.021
62,tit,0.024
13,well,0.046
18,shootout,0.045
30,well,0.058
24,came,0.026
51,dozen,0.036
12,war,0.015
55,capital,0.021
59,saa,0.019
42,war,0.043
47,attack,0.032
69,australia,0.018
36,predecessor,0.02
19,says,0.03
6,troops,0.042
53,time,0.015
58,level,0.02
33,died,0.013
20,military,0.025
65,western,0.025
37,following,0.015
7,diplomatic,0.024
49,scheduled,0.031
33,indian,0.028
20,fatality,0.021
62,along,0.016
45,likely,0.035
30,srinagar,0.099
60,sanctions,0.025
20,staging,0.019
27,days,0.015
10,scheduled,0.014
29,militant,0.015
49,eight,0.023
44,announcing,0.015
60,said,0.017
62,raid,0.057
20,diplomatic,0.035
46,forces,0.022
38,mohammad,0.018
58,targetting,0.025
68,deaths,0.05
62,tackling,0.035
5,military,0.028
9,congress,0.014
6,next,0.015
27,yesterday,0.03
18,says,0.018
68,1971,0.026
13,will,0.026
69,failed,0.015
40,militants,0.019
22,put,0.016
36,kashmir,0.043
37,1971,0.042
63,place,0.026
25,parliament,0.021
16,southern,0.029
52,13,0.017
54,behaviour,0.014
43,presidency,0.022
11,well,0.06
63,staging,0.032
63,southern,0.034
33,shot,0.027
49,militant,0.022
4,carrying,0.02
25,agencies,0.016
56,pakistani,0.049
59,night,0.032
49,dead,0.053
48,two,0.049
34,military,0.036
31,three,0.016
31,fellow,0.052
65,will,0.026
62,srinagar,0.016
17,soared,0.032
21,police,0.018
67,hours,0.013
21,accused,0.034
27,launched,0.028
24,remain,0.019
38,war,0.03
69,tat,0.047
34,village,0.033
11,argentina,0.019
6,shot,0.027
65,encounter,0.041
39,along,0.028
40,hafiz,0.018
8,place,0.019
4,time,0.015
18,likely,0.03
65,launched,0.036
4,role,0.018
51,time,0.023
31,say,0.019
32,leader,0.02
3,caretaker,0.012
32,kashmir,0.041
59,based,0.026
61,say,0.022
30,summer,0.024
0,sides,0.016
50,suspending,0.019
39,mohammad,0.025
19,suspected,0.052
24,took,0.051
14,sanctions,0.021
67,economic,0.021
66,dozen,0.032
10,escalated,0.058
45,trading,0.017
29,india,0.029
36,accused,0.03
47,deepened,0.015
51,crisis,0.015
13,argentina,0.02
6,karachi,0.021
42,aldolfo,0.013
67,president,0.013
39,tensions,0.028
50,angry,0.017
55,mohammed,0.014
3,roads,0.016
15,along,0.037
68,senior,0.018
45,mohammed,0.028
6,1971,0.03
9,since,0.022
69,attack,0.054
6,crisis,0.017
27,carrying,0.032
63,worst,0.015
8,militant,0.057
9,put,0.019
49,dozen,0.031
52,tat,0.031
52,kashmir,0.033
57,will,0.013
44,13,0.022
55,south,0.028
35,based,0.029
32,arrested,0.013
7,srinagar,0.054
26,use,0.014
1,peronists,0.013
32,level,0.036
61,resignation,0.026
69,seen,0.021
55,tit,0.036
42,escalated,0.02
50,13,0.014
64,shot,0.024
11,night,0.014
57,dora,0.026
42,crisis,0.019
34,whoever,0.015
13,massing,0.055
60,period,0.035
17,announced,0.036
38,massive,0.018
40,fewer,0.026
30,sides,0.038
15,likely,0.046
40,staging,0.022
49,tit,0.034
24,tasmania,0.015
15,s,0.026
13,office,0.016
57,border,0.021
68,december,0.037
49,three,0.014
36,staging,0.027
15,e,0.021
46,behest,0.027
30,fellow,0.015
69,president,0.015
39,plan,0.024
3,service,0.012
26,karachi,0.032
7,kashmir,0.042
43,daunting,0.018
55,level,0.014
39,national,0.048
68,place,0.023
31,yesterday,0.024
3,s,0.024
43,seen,0.018
14,taiba,0.019
50,took,0.03
33,agencies,0.015
10,shootout,0.022
20,behest,0.024
3,groups,0.035
4,remain,0.052
52,lashkar,0.036
6,launched,0.014
43,launched,0.059
57,long,0.021
52,forces,0.018
63,night,0.023
33,fatalities,0.024
9,two,0.048
8,work,0.016
32,period,0.033
12,night,0.027
21,western,0.028
7,support,0.014
23,seen,0.026
27,period,0.032
8,organisations,0.041
1,territory,0.024
35,wales,0.024
0,staging,0.021
66,extremist,0.021
22,congress,0.021
56,year,0.015
50,national,0.038
8,action,0.021
26,argentina,0.022
34,s,0.029
50,trading,0.04
15,fellow,0.027
32,say,0.023
11,government,0.018
22,war,0.025
45,assumes,0.023
14,people,0.022
44,police,0.028
55,arrested,0.024
69,night,0.016
28,e,0.077
43,health,0.014
2,says,0.013
50,place,0.017
7,raids,0.015
10,puerta,0.018
44,dozen,0.025
69,dead,0.025
31,government,0.019
57,worst,0.019
41,tat,0.044
60,e,0.025
14,came,0.036
55,will,0.04
57,aldolfo,0.014
49,national,0.013
39,wales,0.073
65,nation,0.014
60,s,0.04
25,queensland,0.025
53,well,0.013
13,conduct,0.014
61,women,0.016
68,kashmir,0.022
23,50,0.046
3,chief,0.03
28,queensland,0.019
12,worst,0.016
66,e,0.028
50,targetting,0.023
33,queensland,0.031
49,since,0.026
1,capital,0.045
3,fatality,0.043
57,tit,0.032
44,mohammed,0.052
60,well,0.015
28,promising,0.012
47,eight,0.028
51,fatalities,0.025
57,military,0.025
16,border,0.061
4,deaths,0.027
24,place,0.018
52,eight,0.033
24,will,0.026
67,likely,0.069
2,parliament,0.019
67,well,0.013
1,argentina,0.035
30,nation,0.019
25,crisis,0.017
59,caretaker,0.017
21,free,0.023
4,one,0.028
1,ago,0.012
37,behest,0.032
52,leaving,0.015
21,years,0.016
25,tat,0.017
19,shootout,0.051
57,hafiz,0.029
0,pakistan,0.037
7,within,0.016
53,police,0.027
27,militant,0.019
31,dozen,0.036
28,southern,0.023
31,troops,0.039
33,india,0.031
12,india,0.019
2,raid,0.045
58,currency,0.014
49,indian,0.057
56,kashmiri,0.023
51,launched,0.069
14,dora,0.011
40,tat,0.03
30,last,0.029
40,jaish,0.019
21,extremist,0.023
69,parliament,0.048
38,police,0.013
31,place,0.032
9,december,0.068
67,since,0.035
45,end,0.015
9,territory,0.018
14,south,0.022
55,repayment,0.014
46,international,0.015
3,behest,0.034
51,extremist,0.037
34,intelligence,0.023
64,trading,0.022
37,kashmiri,0.016
12,13,0.026
48,fewer,0.017
10,mohammed,0.014
65,chief,0.029
11,caring,0.017
60,staging,0.056
32,midwives,0.017
1,senate,0.012
