Term,Value
strawa,0.003
communitiesuk,0.014
hordes,0.029
leejasper,0.003
beachthistle,0.006
holyrood,0.008
four,0.011
hanging,0.012
diisgrace,0.008
localized,0.011
marching,0.011
dunleavy138,0.007
ukelections2015,0.007
augustine,0.008
ecominimalnick,0.013
stevesurrey1,0.007
cole_davesc66,0.002
lord,0.009
sinking,0.005
regional,0.001
trojan,0.013
pigment,0.008
forties,0.007
bringing,0.006
enddate,0.002
scholar,0.009
wooden,0.003
clientele,0.002
commenter,0.032
patrickwintour,0.002
smethwick,0.005
chalupatime,0.008
katiecelf,0.008
hague,0.005
zzzzzz,0.002
charter,0.008
utm_hp_ref,0.01
specially,0.007
bbqt,0.028
bacon,0.009
second,0.009
autonomous_mind,0.008
feck,0.008
bbcqt,0.012
brexit,0.024
jonteinspain,0.011
casumptious,0.01
skynewsbreak,0.001
sheenmate,0.003
chieftans,0.014
fossil,0.003
scottishlabour,0.018
scottishreferendum,0.005
jackcapron,0.004
ohbrokenbritain,0.025
hero,0.01
splinter,0.009
brainwashed,0.009
lgbt,0.01
china,0.012
cult,0.008
affiliated,0.015
shriek,0.006
mickzippy,0.007
realclimatescience,0.001
cyclical,0.011
kids,0.027
kaltesonne,0.001
k,0.014
davidisky,0.002
reports,0.013
transfixed,0.009
military,0.011
bbcone,0.008
cancellation,0.004
criticism,0.007
golden,0.012
divide,0.008
criticise,0.001
loudoun,0.006
norse,0.008
replace,0.008
foodbanks,0.005
classicfail,0.007
unis,0.003
unit,0.001
hoping,0.003
dna,0.006
spoke,0.001
aidan_celtic,0.007
music,0.011
telegraph,0.026
passport,0.014
e2,0.013
pstani,0.011
holy,0.043
relax,0.017
successful,0.003
brings,0.003
0aqfxwm,0.001
99,0.007
90,0.006
93,0.011
hold,0.013
sarahhemyukip,0.009
britfirst,0.006
morally,0.009
locked,0.012
pursue,0.012
plunged,0.029
rkzins_8hfo,0.014
revenues,0.008
example,0.015
richardhilton1,0.003
grumpydenier,0.005
protestants,0.003
household,0.009
dragons,0.014
currency,0.001
bbcnew,0.009
want,0.038
absolute,0.012
poverty,0.007
hoc,0.01
worldview,0.007
hehehehehe,0.007
complaining,0.006
travel,0.013
damage,0.008
antiracismday,0.011
machine,0.006
preferable,0.004
salmond,0.007
swine,0.013
renounced,0.011
jamesvondoom,0.009
outlawed,0.008
shores,0.01
wrong,0.017
junkscience,0.006
gsdlady2,0.013
shocker38,0.007
types,0.012
typer,0.008
_deanwilson94,0.007
eyers,0.008
occasions,0.003
paullewismoney,0.014
wins,0.013
fictional,0.001
keeps,0.009
p4ljta,0.005
democratic,0.009
wing,0.01
wind,0.011
senators,0.01
angelahaggerty,0.006
welcomed,0.012
govern,0.009
chriscox69,0.007
continentals,0.001
luisbaram,0.004
jackbrosnan_,0.002
eddieizzard,0.015
luke_e_boy,0.005
fit,0.01
screaming,0.008
10153212_233154013546003_3162180114676654568_n,0.005
discourse,0.001
deeneking,0.006
wales,0.027
hidden,0.005
jihadis,0.008
lukebozier,0.001
schools,0.017
silver,0.008
xfactor2014,0.005
represents,0.007
