Term,Value
6agmynuhr,0.01
weavervaleukipremfry,0.01
pointing,0.008
hordes,0.003
bull,0.003
go,0.021
children,0.01
57d2e8b8ba774cb,0.009
hunting,0.026
sharethis,0.005
thursday,0.007
0,0.023
voted,0.089
supplies,0.02
homepage,0.01
sent,0.01
poshdoshy,0.006
yr,0.006
hoards,0.024
facebook,0.018
minded,0.011
fall,0.062
reich,0.01
saudi,0.026
fence,0.006
jesus,0.007
brexit,0.008
stood,0.007
wreck,0.02
celt,0.243
ukip,0.055
celts,0.158
prof_phillipson,0.025
capital,0.005
reply,0.006
learned,0.01
hairy,0.008
justification,0.006
muslim,0.036
french,0.008
9950083,0.018
let,0.005
mep,0.018
vikings,0.0
shove,0.005
brilliant,0.009
study,0.009
davidhadley1973,0.035
york,0.012
via,0.016
suddenly,0.014
bloody,0.016
moral,0.019
opnimr,0.008
isles,0.008
fed,0.01
army,0.005
voters,0.01
saxons,0.065
france,0.005
ukip_scotland,0.006
georgegalloway,0.052
holy,0.191
gauls,0.014
indiegogo,0.01
overrun,0.01
rights,0.009
julius,0.137
oh,0.007
plaid_cymru,0.014
can,0.0
lazes,0.013
fuck,0.006
want,0.03
batten,0.015
civilisation,0.015
sin,0.008
stop,0.047
southern,0.007
calais,0.01
breitbart,0.006
mad,0.01
snp,0.043
thesun,0.01
classics,0.007
register,0.015
st,0.008
ultimate,0.018
charlemagne,0.263
fan,0.014
sa,0.008
webpage,0.001
whilst,0.024
scots,0.023
london,0.117
austrian,0.006
mayor,0.003
roman___empire,0.008
islam,0.024
eliotandersen,0.018
ll,0.023
28,0.009
councillor,0.0
better,0.022
ixucu,0.0
2015,0.003
tory,0.096
ly,0.008
good,0.017
telsah1,0.007
_newsextra,0.02
practice,0.0
uklabour,0.013
now,0.018
day,0.012
bread,0.007
stevesteveblog,0.006
rhetoric,0.006
domac2000,0.008
found,0.039
normans,0.033
legions,0.008
em,0.006
ukip_egham,0.073
england,0.059
hard,0.0
idea,0.034
related,0.011
eu,0.113
barbaric,0.0
re,0.016
investigation,0.006
27115043,0.006
correct,0.008
million,0.008
romans,0.039
coastline,0.008
conservatives,0.001
obligation,0.008
scary,0.005
warsand,0.009
language,0.014
islamic,0.005
rog_ukip,0.008
british,0.005
thing,0.012
place,0.018
20proverb,0.007
claudius_p,0.015
castle,0.008
think,0.007
industrial,0.01
saving,0.008
one,0.11
mcguireonfire,0.009
vote,0.01
sounds,0.017
city,0.018
story,0.003
district,0.0
chased,0.0
man,0.005
beard,0.017
costajoaoda,0.0
rejected,0.018
part,0.007
msfreakinrosie,0.001
haven,0.001
stopislam,0.01
iron,0.128
fishermen,0.014
ages,0.071
horrors,0.005
say,0.006
halal,0.023
seem,0.009
saw,0.017
tells,0.043
wilson,0.06
scotland,0.063
anglo,0.043
retweet,0.0
labour,0.019
take,0.057
new,0.104
engip,0.008
registered,0.009
normal,0.0
hopenothate,0.005
ukip_voter,0.009
involving,0.006
pleasure,0.005
coin,0.019
don,0.029
classicist,0.03
margotljparker,0.006
m,0.008
wyrdtimes,0.018
fact,0.018
joining,0.01
claudius,0.018
gold,0.018
nigel_farage,0.004
cheesy_kobold,0.008
jane_samuels,0.031
resisting,0.009
northern,0.001
writer,0.001
fans,0.006
finalised,0.001
going,0.001
